S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-12-28,2,100.00,104875.00,1050.00,1045.00,1050.00
2,2021-12-27,5,575.00,584325.00,1030.00,1015.00,1030.00
3,2021-12-23,1,25.00,25375.00,1015.00,1015.00,1015.00
4,2021-12-22,2,210.00,213150.00,1015.00,1015.00,1015.00
5,2021-12-21,1,50.00,50750.00,1015.00,1015.00,1015.00
6,2021-12-20,2,225.00,228375.00,1015.00,1015.00,1015.00
7,2021-12-16,4,100.00,101500.00,1015.00,1015.00,1015.00
8,2021-12-15,1,25.00,25375.00,1015.00,1015.00,1015.00
9,2021-12-09,1,30.00,30450.00,1015.00,1015.00,1015.00
10,2021-12-08,3,850.00,862745.00,1015.00,1014.90,1015.00
11,2021-12-07,3,250.00,253550.00,1015.00,1013.00,1015.00
12,2021-12-05,6,550.00,550015.00,1000.30,1000.00,1000.00
13,2021-12-02,1,100.00,101100.00,1011.00,1011.00,1011.00
14,2021-11-30,1,10.00,10261.00,1026.10,1026.10,1026.10
15,2021-11-25,5,375.00,378795.00,1025.00,1006.00,1006.00
16,2021-11-22,1,70.00,71750.00,1025.00,1025.00,1025.00
17,2021-11-21,6,550.00,567100.00,1035.00,1020.00,1035.00
18,2021-11-17,2,130.00,132900.00,1030.00,1020.00,1030.00
19,2021-11-14,2,190.00,193050.00,1020.00,1015.00,1020.00
20,2021-11-11,1,25.00,25875.00,1035.00,1035.00,1035.00
21,2021-11-08,5,340.00,351925.00,1035.50,1035.00,1035.00
22,2021-11-02,1,35.00,36235.50,1035.30,1035.30,1035.30
23,2021-10-31,2,75.00,76375.00,1020.00,1015.00,1015.00
24,2021-10-28,2,75.00,76125.00,1015.00,1015.00,1015.00
25,2021-10-27,2,100.00,101562.50,1016.00,1015.50,1015.50
26,2021-10-25,2,125.00,129250.00,1035.00,1030.00,1035.00
27,2021-10-24,1,50.00,51250.00,1025.00,1025.00,1025.00
28,2021-10-19,1,15.00,15075.00,1005.00,1005.00,1005.00
29,2021-10-18,2,260.00,263905.00,1015.10,1015.00,1015.00
30,2021-10-06,3,1500.00,1547750.00,1032.00,1030.00,1032.00
31,2021-10-05,4,210.00,216901.00,1035.00,1025.10,1035.00
32,2021-10-04,4,125.00,129500.00,1040.00,1030.00,1040.00
