S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-12-29,1004,209153.00,92183343.80,448.00,428.30,445.00
2,2021-12-28,928,175848.00,75912542.50,440.00,420.00,433.00
3,2021-12-27,1073,261231.00,114786632.20,450.00,426.00,428.00
4,2021-12-26,1016,208918.00,92832767.50,455.00,439.10,443.00
5,2021-12-23,1610,287019.00,128545771.30,459.00,435.00,444.90
6,2021-12-22,1461,270703.00,117592202.10,449.80,416.00,447.00
7,2021-12-21,597,100032.00,41124594.80,418.00,401.20,414.20
8,2021-12-20,697,133791.00,53868318.00,412.00,393.00,401.00
9,2021-12-16,958,167764.00,68733566.60,425.00,403.00,404.00
10,2021-12-15,1921,324500.00,138894190.80,440.00,411.20,422.10
11,2021-12-14,775,113772.00,46107149.30,422.00,389.00,422.00
12,2021-12-13,1408,254711.00,99502539.50,406.00,381.00,384.50
13,2021-12-12,1152,171302.00,70483880.00,430.00,400.20,402.80
14,2021-12-09,995,202778.00,86221900.90,435.00,419.00,426.60
15,2021-12-08,838,119360.00,51831623.80,447.00,428.00,429.00
16,2021-12-07,1122,229217.00,104088067.60,464.00,441.10,445.00
17,2021-12-06,1698,301431.00,132118806.80,456.90,424.00,453.90
18,2021-12-05,1470,248270.00,110638117.80,468.00,437.00,438.00
19,2021-12-02,1044,184584.00,85433106.40,483.50,457.00,460.00
20,2021-12-01,817,147269.00,70239045.80,480.60,470.00,475.40
21,2021-11-30,825,131549.00,61593152.30,479.00,461.00,470.00
22,2021-11-29,1046,174468.00,82828260.80,486.90,467.50,470.00
23,2021-11-28,1822,334217.00,158546361.40,491.00,467.00,470.90
24,2021-11-25,857,141727.00,70087634.20,505.00,490.00,490.10
25,2021-11-24,1406,346950.00,170630876.20,503.00,479.00,498.00
26,2021-11-23,1236,207607.00,103356055.90,506.00,492.00,494.00
27,2021-11-22,881,170070.00,85949322.80,514.90,502.00,504.90
28,2021-11-21,923,120962.00,61315727.40,515.00,501.00,506.00
29,2021-11-18,1389,217470.00,110472973.70,516.00,500.00,503.40
30,2021-11-17,2211,388095.00,203325759.40,531.80,509.00,510.00
31,2021-11-16,2510,455303.00,233673435.80,525.00,497.00,521.00
32,2021-11-15,1285,260059.00,132924022.40,519.00,502.00,507.00
33,2021-11-14,1306,263213.00,130336134.30,504.00,478.00,495.00
34,2021-11-11,1711,298347.00,147338000.80,508.00,483.00,489.00
35,2021-11-09,2369,437634.00,223664041.60,530.00,497.00,510.00
36,2021-11-08,1341,245456.00,131729650.40,547.00,530.00,534.00
37,2021-11-03,2526,551444.00,289149102.60,539.00,507.00,530.00
38,2021-11-02,1359,284143.00,141234688.00,505.80,481.00,504.00
39,2021-11-01,2140,344774.00,173377777.30,520.00,490.00,492.00
40,2021-10-31,2355,450857.00,227461184.30,522.00,480.00,511.00
41,2021-10-28,1474,276654.00,131486521.90,489.90,455.00,484.00
42,2021-10-27,1887,356498.00,166063467.70,480.00,442.00,467.00
43,2021-10-26,1812,291565.00,137036025.60,483.00,458.00,467.00
44,2021-10-25,1436,297767.00,134555145.80,464.00,431.20,460.00
45,2021-10-24,895,181796.00,77419197.50,436.00,410.00,432.00
46,2021-10-21,670,137696.00,57010785.80,420.70,397.00,417.00
47,2021-10-20,744,165513.00,67871865.10,416.00,398.00,413.00
48,2021-10-19,1211,252759.00,99577885.50,406.00,380.00,393.00
49,2021-10-18,906,182485.00,75256334.10,428.00,404.00,412.90
50,2021-10-17,266,41747.00,17946740.80,440.00,423.00,428.00
51,2021-10-11,622,116592.00,49695519.00,433.00,420.20,429.00
52,2021-10-10,806,124466.00,55595088.40,466.00,433.00,435.00
53,2021-10-06,926,177721.00,78884969.70,453.00,431.50,449.00
54,2021-10-05,664,122186.00,53142143.90,445.00,427.00,435.00
55,2021-10-04,961,167560.00,72081755.70,440.90,416.00,428.50
56,2021-10-03,1835,338736.00,150616221.90,460.80,430.00,434.00
57,2021-09-30,1498,235356.00,108332730.80,478.00,438.50,443.00
58,2021-09-29,2365,514439.00,226754372.80,459.80,414.00,459.80
59,2021-09-28,1689,326705.00,140191947.30,464.00,411.00,418.00
60,2021-09-27,1338,252408.00,115621806.10,490.00,443.00,447.00
61,2021-09-26,1325,256164.00,121120083.90,492.00,460.10,463.00
62,2021-09-23,1633,287371.00,140846159.50,504.00,480.00,492.00
63,2021-09-22,1810,275751.00,135371733.30,500.90,473.00,495.00
64,2021-09-21,2413,395237.00,180843935.90,480.00,428.00,464.00
65,2021-09-20,2382,360064.00,166320859.30,489.00,445.00,449.00
66,2021-09-16,3318,525367.00,255878209.00,508.00,480.00,489.00
67,2021-09-15,1675,231390.00,118384261.20,525.00,506.70,508.00
68,2021-09-14,1568,214707.00,112503687.70,538.50,516.00,522.40
69,2021-09-13,3541,528339.00,283554455.10,568.00,525.00,528.00
70,2021-09-12,3887,590234.00,315164236.20,544.60,505.00,544.60
71,2021-09-09,2158,346746.00,169075478.00,503.00,467.00,495.10
72,2021-09-08,1291,190334.00,89504023.10,484.00,465.00,467.00
73,2021-09-07,2865,395281.00,191221137.20,495.00,458.00,478.00
74,2021-09-06,2521,352895.00,160816311.60,476.30,425.00,476.30
75,2021-09-05,2696,400225.00,177169188.50,480.00,430.90,433.00
76,2021-09-02,4402,613640.00,329998458.00,562.00,520.00,529.00
77,2021-09-01,3142,424353.00,237515077.20,578.00,544.00,551.50
78,2021-08-31,2521,531501.00,297826078.90,580.00,553.00,558.40
79,2021-08-29,3062,571851.00,335674460.20,609.00,570.00,576.00
80,2021-08-26,2369,410230.00,241862915.50,612.00,560.00,598.00
81,2021-08-25,2767,494204.00,277637391.60,579.00,543.90,560.00
82,2021-08-24,3585,609900.00,353208469.30,613.00,566.00,567.00
83,2021-08-19,3658,596038.00,365778751.50,635.00,605.00,613.90
84,2021-08-18,4847,985423.00,634671924.20,665.90,625.00,630.00
85,2021-08-17,6331,1341240.00,863824717.50,670.00,634.00,640.00
86,2021-08-16,3240,763623.00,479731594.50,640.90,605.00,631.80
87,2021-08-15,4789,1175489.00,702718685.00,620.00,568.40,600.10
88,2021-08-12,2607,660607.00,415426724.70,640.00,618.00,626.00
89,2021-08-11,3303,842791.00,531745387.50,649.00,608.00,634.00
90,2021-08-10,3903,842878.00,519268617.40,641.00,600.00,612.00
91,2021-08-09,4214,855879.00,538060513.20,659.00,611.00,631.00
92,2021-08-08,4844,1388891.00,819224560.70,607.20,545.00,607.20
93,2021-08-05,4728,1037392.00,584247857.80,587.00,550.10,552.00
94,2021-08-04,5994,1447672.00,795019388.40,564.30,523.20,564.30
95,2021-08-03,3537,950319.00,468217090.70,515.00,465.00,513.00
96,2021-08-02,1485,325742.00,155009018.20,490.00,467.50,472.00
97,2021-08-01,2427,562022.00,268633342.70,487.00,467.00,475.00
98,2021-07-29,1766,388051.00,179876587.90,469.90,455.00,464.90
99,2021-07-28,3043,620392.00,295955091.20,498.20,462.00,468.00
100,2021-07-27,4146,1022918.00,483201414.30,485.00,436.00,479.00
101,2021-07-26,2140,517464.00,228512025.70,450.80,430.00,444.00
102,2021-07-25,1369,323406.00,138257188.80,433.10,420.80,432.00
103,2021-07-22,1418,272552.00,117937567.20,439.00,424.00,425.00
104,2021-07-20,1521,356851.00,152106170.80,434.00,412.00,429.00
105,2021-07-19,1338,341502.00,142849105.00,424.00,410.00,419.10
106,2021-07-18,1186,229607.00,94400706.00,416.00,406.00,410.00
107,2021-07-15,1698,326534.00,132165734.00,415.00,392.00,403.00
108,2021-07-14,470,119216.00,46329191.00,393.00,385.00,393.00
109,2021-07-13,475,85278.00,33128145.00,396.00,378.00,388.00
110,2021-07-12,1135,224387.00,87776824.00,409.00,376.00,384.00
111,2021-07-11,1006,196813.00,75600231.00,395.00,370.00,395.00
112,2021-07-08,665,124783.00,45775754.00,376.00,357.00,365.00
113,2021-07-07,601,122421.00,44421633.00,374.00,358.00,360.00
114,2021-07-06,513,86901.00,32007711.00,387.00,364.00,368.00
115,2021-07-05,680,129167.00,47846866.00,382.00,366.00,369.00
116,2021-07-04,750,144466.00,55560600.00,401.00,374.00,378.00
117,2021-07-01,1335,300261.00,117201308.00,399.00,375.00,389.00
118,2021-06-30,1061,215342.00,78766064.00,381.00,357.00,374.00
119,2021-06-29,1125,246149.00,92708638.00,392.00,369.00,372.00
120,2021-06-28,1029,253762.00,98532766.00,414.00,383.00,387.00
121,2021-06-27,1103,261840.00,105145294.00,414.00,395.00,395.00
122,2021-06-24,1083,234677.00,95251321.00,419.00,394.00,402.00
123,2021-06-23,1514,264405.00,109812490.00,435.00,401.00,409.00
124,2021-06-22,1963,364146.00,148516384.00,429.00,382.00,427.00
125,2021-06-21,2388,521902.00,209833697.00,426.00,388.00,390.00
126,2021-06-20,1941,456901.00,193859810.00,444.00,405.00,418.00
127,2021-06-17,2432,505568.00,216159522.00,446.00,405.00,430.00
128,2021-06-16,3471,736173.00,314694019.00,458.00,405.00,423.00
129,2021-06-15,3152,664433.00,304462432.00,480.00,443.00,449.00
130,2021-06-14,4478,1191290.00,548697650.00,481.00,433.00,475.00
131,2021-06-13,3427,775017.00,336701417.00,446.00,410.00,443.00
132,2021-06-10,4960,1107296.00,445886115.00,419.00,378.00,411.00
133,2021-06-09,1913,465193.00,178300093.00,402.00,364.00,381.00
134,2021-06-08,1668,364804.00,138106921.00,387.00,372.00,375.00
135,2021-06-07,1601,336507.00,122782045.00,379.00,345.00,374.00
136,2021-06-06,1625,342420.00,119586371.00,371.00,339.00,349.00
137,2021-06-03,1452,270354.00,99128617.00,385.00,360.00,361.00
138,2021-06-02,1440,334985.00,124188628.00,376.00,359.00,376.00
139,2021-06-01,1567,338878.00,123744135.00,376.00,359.00,364.00
140,2021-05-31,3110,662815.00,247946204.00,410.00,360.00,364.00
141,2021-05-30,4722,1006857.00,401342890.00,413.00,382.00,391.00
142,2021-05-27,4358,1178496.00,432834401.00,376.00,334.00,376.00
143,2021-05-25,1904,448920.00,151190329.00,346.00,324.00,342.00
144,2021-05-24,976,206417.00,67346989.00,334.00,323.00,326.00
145,2021-05-23,1363,320245.00,103205448.00,330.00,314.00,325.00
146,2021-05-20,967,232982.00,75370581.00,329.00,319.00,323.00
147,2021-05-19,1582,364917.00,119555357.00,346.00,317.00,327.00
148,2021-05-18,1924,472440.00,156738560.00,342.00,316.00,340.00
149,2021-05-17,1017,290584.00,90387315.00,317.00,307.00,315.00
150,2021-05-16,930,240542.00,74304974.00,315.00,307.00,309.00
151,2021-05-13,1069,234461.00,73504341.00,320.00,311.00,313.00
152,2021-05-12,2282,477795.00,148493931.00,315.00,300.00,314.00
153,2021-05-11,2639,577295.00,202370381.00,358.00,349.00,353.00
154,2021-05-10,1123,226662.00,79485994.00,355.00,346.00,350.00
155,2021-05-09,1567,326754.00,115031753.00,365.00,346.00,349.00
156,2021-05-06,1997,433473.00,156728311.00,371.00,358.00,359.00
157,2021-05-05,2113,496544.00,182717889.00,372.00,363.00,367.00
158,2021-05-04,1879,401848.00,146767674.00,375.00,360.00,364.00
159,2021-05-03,3957,1060252.00,393559351.00,380.00,343.00,369.00
160,2021-05-02,848,209419.00,75297177.00,363.00,353.00,361.00
161,2021-04-29,549,171062.00,60780489.00,358.00,348.00,355.00
162,2021-04-28,614,174058.00,61865807.00,365.00,349.00,354.00
163,2021-04-27,1114,335355.00,117784471.00,364.00,331.00,361.00
164,2021-04-26,1199,319389.00,107797680.00,349.00,330.00,333.00
165,2021-04-25,1035,302408.00,105741347.00,365.00,345.00,347.00
166,2021-04-22,845,254262.00,92294993.00,383.00,357.00,363.00
167,2021-04-21,1472,428608.00,155216090.00,378.00,335.00,365.00
168,2021-04-20,872,242039.00,84604277.00,355.00,342.00,352.00
169,2021-04-19,676,199489.00,68965212.00,353.00,343.00,345.00
170,2021-04-18,1042,244057.00,85608709.00,358.00,346.00,350.00
171,2021-04-15,1291,370351.00,130125682.00,357.00,340.00,350.00
172,2021-04-13,1791,507390.00,173337226.00,349.00,328.00,344.00
173,2021-04-12,915,198093.00,65444287.00,335.00,327.00,328.00
174,2021-04-08,554,116381.00,38382346.00,333.00,327.00,329.00
175,2021-04-07,626,135122.00,44905821.00,342.00,328.00,330.00
176,2021-04-06,902,247582.00,82573351.00,340.00,323.00,334.00
177,2021-04-05,833,203847.00,67006534.00,343.00,324.00,328.00
178,2021-04-04,1150,234391.00,78897127.00,349.00,331.00,333.00
179,2021-04-01,2682,711253.00,240000761.00,349.00,322.00,340.00
180,2021-03-31,811,244068.00,77853835.00,322.00,315.00,321.00
181,2021-03-30,566,163662.00,51337771.00,318.00,311.00,315.00
182,2021-03-29,588,122788.00,38557141.00,320.00,310.00,312.00
183,2021-03-25,1186,270922.00,86145878.00,327.00,311.00,316.00
184,2021-03-24,2203,529911.00,170152308.00,325.00,313.00,322.00
185,2021-03-23,1371,331939.00,101636143.00,315.00,295.00,307.00
186,2021-03-22,353,101288.00,30008095.00,300.00,295.00,296.00
187,2021-03-21,497,123237.00,36802095.00,310.00,295.00,297.00
188,2021-03-18,451,92684.00,27615536.00,310.00,295.00,296.00
189,2021-03-17,385,89995.00,26659746.00,310.00,294.00,296.00
190,2021-03-16,466,93922.00,27848275.00,305.00,292.00,296.00
191,2021-03-15,537,129043.00,38372747.00,315.00,294.00,296.00
192,2021-03-14,955,235012.00,71279320.00,315.00,285.00,300.00
193,2021-03-10,1240,314328.00,94022786.00,308.00,276.00,300.00
194,2021-03-09,706,205109.00,59736977.00,295.00,282.00,290.00
195,2021-03-07,642,141475.00,40696449.00,295.00,283.00,286.00
196,2021-03-04,634,134863.00,39378833.00,295.00,286.00,294.00
197,2021-03-03,669,133903.00,37965493.00,298.00,279.00,285.00
198,2021-03-02,937,183361.00,53454608.00,305.00,284.00,288.00
199,2021-03-01,1084,260043.00,77551518.00,303.00,286.00,301.00
200,2021-02-28,1397,310140.00,92478755.00,326.00,292.00,292.00
201,2021-02-25,1574,377271.00,117915219.00,325.00,309.00,311.00
202,2021-02-24,1856,551352.00,174962639.00,340.00,307.00,315.00
203,2021-02-23,2977,747743.00,234812801.00,326.00,302.00,326.00
204,2021-02-22,1296,369490.00,110095200.00,303.00,294.00,297.00
205,2021-02-21,1198,311186.00,91642784.00,299.00,288.00,293.00
206,2021-02-18,471,104558.00,29707111.00,287.00,282.00,283.00
207,2021-02-17,359,70824.00,20176803.00,287.00,283.00,286.00
208,2021-02-16,578,162131.00,47050486.00,299.00,287.00,288.00
209,2021-02-15,755,198774.00,57136648.00,306.00,276.00,292.00
210,2021-02-14,244,67217.00,18977027.00,288.00,279.00,280.00
211,2021-02-11,328,96696.00,27392200.00,289.00,281.00,282.00
212,2021-02-10,256,82907.00,23611752.00,289.00,281.00,285.00
213,2021-02-09,338,113775.00,32655883.00,300.00,284.00,288.00
214,2021-02-08,480,151541.00,44776189.00,309.00,291.00,294.00
215,2021-02-07,895,340912.00,102140340.00,305.00,293.00,299.00
216,2021-02-04,474,144591.00,42077464.00,295.00,278.00,292.00
217,2021-02-03,611,243296.00,69063250.00,298.00,274.00,285.00
218,2021-02-02,303,91788.00,25736086.00,286.00,276.00,277.00
219,2021-02-01,273,64444.00,17752549.00,279.00,270.00,276.00
220,2021-01-31,391,126002.00,34330746.00,278.00,267.00,272.00
221,2021-01-28,331,99145.00,28058864.00,296.00,279.00,282.00
222,2021-01-27,461,175446.00,50292714.00,300.00,282.00,286.00
