S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2019-09-01,5,40001.00,4000100.00,100.00,100.00,100.00
2,2019-06-10,6,159334.00,15933400.00,100.00,100.00,100.00
3,2018-12-06,1,1000.00,101000.00,101.00,101.00,101.00
4,2018-12-05,14,18000.00,1818000.00,101.00,101.00,101.00
5,2018-10-28,2,43000.00,4343000.00,101.00,101.00,101.00
6,2018-10-15,17,72800.00,7352800.00,101.00,101.00,101.00
7,2018-03-27,15,53700.00,5370000.00,100.00,100.00,100.00
8,2018-03-26,1,60000.00,6000000.00,100.00,100.00,100.00
9,2017-07-18,1,82500.00,8250000.00,100.00,100.00,100.00
10,2017-07-17,6,313110.00,31662750.00,103.00,100.00,100.00
11,2017-05-22,2,30000.00,3150000.00,105.00,105.00,105.00
12,2017-05-21,2,35000.00,3675000.00,105.00,105.00,105.00
13,2017-03-29,4,247500.00,11397500.00,0.00,0.00,0.00
