S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-12-21,1,1944.00,1162512.00,598.00,598.00,598.00
2,2021-11-25,1,1944.00,1146960.00,590.00,590.00,590.00
3,2021-11-24,1,4.00,2312.80,590.00,590.00,590.00
4,2021-11-22,1,6.00,3469.20,590.00,590.00,590.00
5,2021-11-02,2,24.00,14170.00,591.00,590.00,590.00
6,2021-10-31,2,20.00,12080.00,610.00,598.00,598.00
7,2021-10-28,6,516.00,322746.00,637.00,620.50,620.50
8,2021-10-27,4,292.00,188100.00,655.00,633.00,633.00
9,2021-10-06,1,21.00,14028.00,668.00,668.00,668.00
10,2021-10-05,1,10.00,6680.00,668.00,668.00,668.00
11,2021-10-03,2,104.00,68120.00,655.00,655.00,655.00
12,2021-09-27,1,16.00,10480.00,655.00,655.00,655.00
13,2021-09-26,1,12.00,7860.00,655.00,655.00,655.00
14,2021-09-20,1,60.00,39000.00,650.00,650.00,650.00
15,2021-09-16,2,60.00,39650.00,661.00,660.00,661.00
16,2021-09-15,3,120.00,81040.00,677.00,672.00,672.00
17,2021-09-12,1,20.00,13540.00,677.00,677.00,677.00
18,2021-08-26,1,10.00,6700.00,670.00,670.00,670.00
19,2021-08-25,3,47.00,31635.00,673.00,673.00,673.00
20,2021-08-17,1,17.00,11629.70,684.10,684.10,684.10
21,2021-08-16,3,20.00,13900.00,695.00,695.00,695.00
22,2021-08-15,1,44.00,31152.00,708.00,708.00,708.00
23,2021-08-12,6,301.00,217882.50,732.10,704.00,722.00
24,2021-08-10,2,118.00,86946.00,747.00,735.00,747.00
25,2021-08-04,2,120.00,90092.00,754.60,750.00,750.00
26,2021-08-01,6,274.00,197690.00,770.00,700.00,770.00
27,2021-07-29,1,10.00,7550.00,755.00,755.00,755.00
28,2021-07-28,1,6.00,4500.00,755.80,755.80,755.80
29,2021-07-27,2,60.00,44904.00,755.80,741.00,755.80
30,2021-07-25,2,22.00,16122.00,741.00,726.00,741.00
31,2021-07-22,2,48.00,34341.00,726.60,712.50,726.60
32,2021-07-19,1,10.00,6990.00,699.00,699.00,699.00
33,2021-07-18,1,10.00,6854.00,685.40,685.40,685.40
34,2021-07-15,2,35.00,23520.00,672.00,672.00,672.00
35,2021-07-14,3,164.00,111924.00,685.00,677.00,685.00
36,2021-07-12,1,11.00,7590.00,690.00,690.00,690.00
37,2021-07-11,1,3.00,2001.00,680.00,680.00,680.00
38,2021-07-08,1,6.00,4002.00,680.00,680.00,680.00
39,2021-07-01,1,40.00,27200.00,680.00,680.00,680.00
40,2021-06-27,2,34.00,23684.00,704.00,690.00,690.00
41,2021-06-24,3,30.00,21810.00,732.00,718.00,718.00
42,2021-06-23,3,38.00,28096.00,746.00,732.00,746.00
43,2021-06-22,2,48.00,35136.00,732.00,732.00,732.00
44,2021-06-17,1,18.00,12924.00,718.00,718.00,718.00
45,2021-06-15,3,46.00,34008.00,744.00,732.00,732.00
46,2021-06-14,1,40.00,30320.00,758.00,758.00,758.00
47,2021-06-10,1,10.00,7440.00,744.00,744.00,744.00
48,2021-06-03,1,10.00,7440.00,744.00,744.00,744.00
49,2021-05-31,1,10.00,7590.00,759.00,759.00,759.00
50,2021-05-16,1,2.00,1490.00,745.00,745.00,745.00
51,2021-05-10,1,12.00,8940.00,745.00,745.00,745.00
52,2021-05-05,1,10.00,7380.00,738.00,738.00,738.00
53,2021-05-02,1,10.00,7380.00,738.00,738.00,738.00
54,2021-04-15,2,57.00,42263.00,753.00,739.00,753.00
55,2021-04-13,2,39.00,28275.00,725.00,725.00,725.00
56,2021-04-06,2,90.00,65250.00,725.00,725.00,725.00
57,2021-04-01,3,343.00,245300.00,720.00,715.00,720.00
58,2021-03-21,2,29.00,20619.00,711.00,711.00,711.00
59,2021-03-18,1,10.00,7250.00,725.00,725.00,725.00
60,2021-03-16,1,10.00,7250.00,725.00,725.00,725.00
61,2021-03-14,2,7.00,5033.00,719.00,719.00,719.00
62,2021-03-04,1,105.00,75495.00,719.00,719.00,719.00
63,2021-03-03,5,137.00,98353.00,720.00,706.00,706.00
64,2021-02-25,5,440.00,313858.00,722.00,708.00,715.00
65,2021-02-24,2,150.00,104750.00,705.00,695.00,695.00
66,2021-02-22,4,210.00,148550.00,710.00,705.00,705.00
67,2021-02-21,6,150.00,108470.00,725.00,719.00,719.00
68,2021-02-18,13,719.00,497837.00,719.00,667.00,719.00
69,2021-02-16,6,312.00,204048.00,654.00,654.00,654.00
70,2021-02-15,1,100.00,66500.00,665.00,665.00,665.00
71,2021-02-14,3,242.00,164350.00,685.00,675.00,675.00
72,2021-02-11,2,150.00,103000.00,690.00,685.00,685.00
73,2021-02-10,5,295.00,206715.00,708.00,697.00,697.00
74,2021-02-04,3,70.00,49300.00,708.00,695.00,708.00
75,2021-02-03,1,16.00,11120.00,695.00,695.00,695.00
76,2021-02-01,5,289.00,199469.00,695.00,681.00,695.00
77,2021-01-31,1,20.00,13860.00,707.00,707.00,693.00
78,2021-01-28,3,100.00,70700.00,707.00,707.00,707.00
79,2021-01-27,1,10.00,7210.00,721.00,721.00,721.00
80,2021-01-21,2,85.00,59965.00,707.00,694.00,707.00
81,2021-01-19,3,156.00,106131.00,682.00,680.00,681.00
82,2021-01-18,3,266.00,184398.00,695.00,678.00,678.00
83,2021-01-17,1,10.00,7050.00,705.00,705.00,705.00
84,2021-01-11,3,250.00,173000.00,692.00,692.00,692.00
85,2021-01-10,2,96.00,66866.00,697.00,696.00,696.00
86,2021-01-07,2,34.00,24284.00,720.00,706.00,706.00
87,2021-01-03,6,384.00,267376.00,734.00,681.00,734.00
88,2020-12-31,6,65.00,45243.00,706.00,680.00,694.00
89,2020-12-30,5,58.00,38675.00,680.00,651.00,680.00
90,2020-12-29,2,36.00,22220.00,620.00,615.00,620.00
91,2020-12-28,1,26.00,16172.00,622.00,622.00,622.00
92,2020-12-27,1,10.00,6100.00,610.00,610.00,610.00
93,2020-12-23,2,20.00,12090.00,610.00,599.00,599.00
94,2020-12-22,1,26.00,15860.00,610.00,610.00,610.00
95,2020-12-21,2,66.00,39726.00,611.00,599.00,599.00
96,2020-12-16,1,12.00,7476.00,623.00,623.00,623.00
97,2020-12-15,1,16.00,9968.00,623.00,623.00,623.00
98,2020-12-13,2,196.00,124310.00,635.00,620.00,635.00
99,2020-12-09,1,14.00,8722.00,623.00,623.00,623.00
100,2020-12-08,3,85.00,53675.00,635.00,623.00,635.00
101,2020-12-07,2,39.00,24765.00,635.00,635.00,635.00
102,2020-11-30,2,31.00,20187.00,660.00,647.00,647.00
103,2020-11-29,3,38.00,23746.00,629.00,617.00,629.00
104,2020-11-26,2,254.00,152670.00,605.00,600.00,605.00
