S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-03-21,2,14785.00,2557805.00,173.00,173.00,173.00
2,2021-01-19,15,114095.00,22476715.00,197.00,197.00,197.00
3,2020-07-20,1,4000.00,460000.00,115.00,115.00,115.00
4,2020-07-19,2,27917.00,3210455.00,115.00,115.00,115.00
5,2020-07-15,1,50000.00,5750000.00,115.00,115.00,115.00
6,2020-07-14,7,122509.00,14088535.00,115.00,115.00,115.00
7,2020-07-08,2,79000.00,9085000.00,115.00,115.00,115.00
8,2019-08-19,1,50000.00,5750000.00,115.00,115.00,115.00
9,2019-07-15,2,27530.00,3165950.00,115.00,115.00,115.00
10,2019-07-09,2,21613.00,2485495.00,115.00,115.00,115.00
11,2019-07-08,8,136293.00,15673695.00,115.00,115.00,115.00
12,2019-05-09,1,5000.00,575000.00,115.00,115.00,115.00
13,2019-04-29,2,2530.00,290950.00,115.00,115.00,115.00
14,2019-04-11,1,2145.00,246675.00,115.00,115.00,115.00
15,2019-04-09,18,334497.00,38467155.00,115.00,115.00,115.00
16,2018-07-15,3,24891.00,2862465.00,115.00,115.00,115.00
17,2018-07-10,7,65150.00,7492250.00,115.00,115.00,115.00
18,2018-07-09,13,75044.00,8630060.00,115.00,115.00,115.00
19,2018-07-08,4,37440.00,4305600.00,115.00,115.00,115.00
20,2017-12-20,4,89195.00,13914420.00,156.00,156.00,156.00
21,2017-12-19,6,66904.00,10437024.00,156.00,156.00,156.00
22,2017-12-18,11,73000.00,11607000.00,159.00,159.00,159.00
23,2017-12-17,12,129894.00,21042828.00,162.00,162.00,162.00
24,2017-07-25,1,51776.00,8543040.00,165.00,165.00,165.00
25,2017-01-31,22,184163.00,36832600.00,200.00,200.00,200.00
26,2016-04-12,2,34215.00,5987625.00,175.00,175.00,175.00
27,2015-12-27,46,523437.00,89507727.00,171.00,171.00,171.00
28,2014-11-02,13,138548.00,27709600.00,200.00,200.00,200.00
