S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-11-08,2,10439.00,3486626.00,334.00,334.00,334.00
2,2021-11-03,1,1917.00,640278.00,334.00,334.00,334.00
3,2021-11-02,8,122067.00,40770378.00,334.00,334.00,334.00
4,2021-07-07,1,15000.00,7410000.00,494.00,494.00,494.00
5,2021-06-13,1,25000.00,12350000.00,494.00,494.00,494.00
6,2018-01-16,2,24750.00,12870000.00,520.00,520.00,520.00
7,2017-11-13,3,374755.00,112426500.00,0.00,0.00,0.00
8,2017-10-29,2,138539.00,41561700.00,0.00,0.00,0.00
9,2017-09-06,2,174977.00,52493100.00,0.00,0.00,0.00
10,2017-08-30,1,162642.00,48792600.00,0.00,0.00,0.00
11,2017-08-22,1,66500.00,19950000.00,0.00,0.00,0.00
12,2017-08-17,1,45597.00,13679100.00,0.00,0.00,0.00
13,2017-07-06,1,112.00,57904.00,517.00,517.00,517.00
14,2017-07-02,5,8525.00,4541475.00,558.00,527.00,527.00
15,2017-06-28,4,800.00,468600.00,603.00,569.00,569.00
16,2017-06-18,1,10000.00,6150000.00,615.00,615.00,615.00
17,2017-06-04,2,18105.00,11134575.00,615.00,615.00,615.00
18,2017-05-31,2,200.00,123000.00,615.00,615.00,615.00
19,2016-06-16,1,13888.00,6249600.00,450.00,450.00,450.00
20,2016-01-24,1,5000.00,1675000.00,335.00,335.00,335.00
21,2015-07-22,6,15975.00,4447650.00,302.00,278.00,278.00
22,2014-10-27,1,6478.00,1995224.00,308.00,308.00,308.00
