S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-12-29,65,8427.00,3535145.50,429.00,415.00,415.00
2,2021-12-28,75,9022.00,3781368.00,438.00,401.00,425.00
3,2021-12-27,106,13055.00,5529036.90,436.00,415.00,415.00
4,2021-12-26,67,10641.00,4670823.00,447.00,435.00,436.00
5,2021-12-23,146,21525.00,9492329.50,456.00,423.40,434.90
6,2021-12-22,134,24695.00,10465706.10,437.00,409.20,432.00
7,2021-12-21,61,7920.00,3205157.00,412.00,400.00,410.00
8,2021-12-20,59,6570.00,2638781.90,410.00,395.00,395.00
9,2021-12-16,58,5984.00,2502995.50,430.00,410.00,410.00
10,2021-12-15,200,32198.00,14193660.30,462.60,414.60,430.00
11,2021-12-14,81,19944.00,8418595.50,429.00,395.00,429.00
12,2021-12-13,159,27908.00,11035116.60,415.00,378.00,394.00
13,2021-12-12,82,5996.00,2541930.50,441.60,412.00,412.00
14,2021-12-09,124,14817.00,6458862.50,454.00,424.00,433.00
15,2021-12-08,82,8963.00,4005599.00,469.00,438.10,440.00
16,2021-12-07,136,16612.00,7953036.20,501.00,460.00,460.00
17,2021-12-06,150,14296.00,6606551.50,484.00,440.00,473.00
18,2021-12-05,152,22759.00,10617527.30,487.40,460.70,464.00
19,2021-12-02,171,25066.00,12474745.50,513.00,486.00,488.10
20,2021-12-01,50,6713.00,3450798.50,525.00,505.00,512.60
21,2021-11-30,170,24461.00,12391584.50,526.90,499.10,505.00
22,2021-11-29,96,10190.00,5370634.40,540.00,516.00,516.60
23,2021-11-28,155,22942.00,12022953.80,539.30,517.00,519.00
24,2021-11-25,93,19423.00,10528991.00,563.00,532.00,539.00
25,2021-11-24,130,14642.00,7832651.10,561.00,519.40,545.00
26,2021-11-23,180,30934.00,16526155.40,553.00,525.00,530.00
27,2021-11-22,97,10828.00,5991970.00,571.00,547.00,553.00
28,2021-11-21,82,10949.00,6142814.00,572.00,554.00,564.00
29,2021-11-18,247,39573.00,22182911.40,570.00,545.00,563.90
30,2021-11-17,154,31590.00,18106476.00,585.00,545.00,545.00
31,2021-11-16,151,25514.00,14186902.50,567.00,546.00,567.00
32,2021-11-15,99,16565.00,9030764.00,555.00,536.00,546.00
33,2021-11-14,110,11854.00,6305603.20,546.00,520.00,530.40
34,2021-11-11,201,35723.00,18968640.00,548.00,522.00,525.00
35,2021-11-09,218,38906.00,21374519.00,580.00,535.00,550.00
36,2021-11-08,78,7850.00,4563487.00,590.00,574.20,580.00
