S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-08-04,1,600.00,389400.00,649.00,649.00,649.00
2,2021-07-20,42,26523.00,17213427.00,649.00,649.00,649.00
3,2021-05-09,1,9281.00,2403779.00,259.00,259.00,259.00
4,2021-01-21,1,6000.00,1056000.00,176.00,176.00,176.00
5,2019-06-27,9,181259.00,18125900.00,100.00,100.00,100.00
6,2018-10-29,62,257850.00,25785000.00,100.00,100.00,100.00
7,2018-10-25,3,5085.00,508500.00,100.00,100.00,100.00
8,2018-10-02,2,2750.00,275000.00,100.00,100.00,100.00
9,2018-09-27,25,34647.00,3464700.00,100.00,100.00,100.00
10,2018-09-17,7,8647.00,864700.00,100.00,100.00,100.00
11,2018-08-13,2,4563.00,456300.00,100.00,100.00,100.00
12,2018-08-07,19,17881.00,1788100.00,100.00,100.00,100.00
13,2018-06-10,8,29260.00,2926000.00,100.00,100.00,100.00
14,2018-05-24,21,77043.00,7704300.00,100.00,100.00,100.00
15,2018-04-24,3,2100.00,210000.00,100.00,100.00,100.00
16,2018-03-20,26,104999.00,10499900.00,100.00,100.00,100.00
17,2018-01-31,15,29675.00,2967500.00,100.00,100.00,100.00
18,2018-01-01,36,41317.00,4131700.00,100.00,100.00,100.00
19,2017-11-23,31,122893.00,12289300.00,100.00,100.00,100.00
20,2017-11-20,13,65016.00,6501600.00,100.00,100.00,100.00
21,2017-11-14,22,141593.00,14159300.00,100.00,100.00,100.00
22,2017-11-08,22,108158.00,10815800.00,100.00,100.00,100.00
23,2017-10-31,1,246474.00,8626590.00,0.00,0.00,0.00
24,2015-04-06,6,10197.00,1172655.00,115.00,115.00,115.00
25,2014-11-19,9,7343.00,844445.00,115.00,115.00,115.00
26,2014-11-10,5,5997.00,689655.00,115.00,115.00,115.00
27,2014-11-03,10,12000.00,1380000.00,115.00,115.00,115.00
28,2014-09-11,1,1800.00,207000.00,115.00,115.00,115.00
29,2014-09-07,5,20884.00,2401660.00,115.00,115.00,115.00
30,2014-08-25,4,17386.00,1999390.00,115.00,115.00,115.00
31,2014-08-14,1,13037.00,1499255.00,115.00,115.00,115.00
32,2014-08-05,8,61103.00,7026845.00,115.00,115.00,115.00
33,2014-07-30,4,34995.00,4024425.00,115.00,115.00,115.00
34,2014-06-18,5,13725.00,1578375.00,115.00,115.00,115.00
35,2014-06-15,4,19533.00,2246295.00,115.00,115.00,115.00
36,2014-06-10,6,44007.00,5278422.00,126.00,116.00,116.00
37,2014-06-05,1,10511.00,1345408.00,128.00,128.00,128.00
38,2014-06-04,4,26516.00,3561354.00,136.00,130.00,130.00
39,2013-05-27,1,1825.00,251850.00,138.00,138.00,138.00
40,2012-06-13,1,3014.00,409904.00,136.00,136.00,136.00
41,2011-02-22,1,2845.00,392610.00,138.00,138.00,138.00
42,2011-02-21,1,6520.00,912800.00,140.00,140.00,140.00
43,2010-09-02,2,2997.00,491508.00,164.00,164.00,164.00
44,2010-07-29,2,2250.00,375750.00,167.00,167.00,167.00
45,2010-06-03,1,1500.00,255000.00,170.00,170.00,170.00
