S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-12-27,1,12000.00,1752000.00,146.00,146.00,146.00
2,2021-12-22,4,105000.00,15765110.00,146.00,146.00,146.00
3,2021-12-15,1,9782.00,1428172.00,146.00,146.00,146.00
4,2021-11-28,1,21176.00,3091696.00,146.00,146.00,146.00
5,2021-11-23,1,29250.00,4387500.00,146.00,146.00,146.00
6,2021-10-28,1,5000.00,730000.00,146.00,146.00,146.00
7,2021-10-27,3,23846.00,3481516.00,146.00,146.00,146.00
8,2021-10-26,1,27000.00,3942000.00,146.00,146.00,146.00
9,2021-10-25,5,34144.00,4985024.00,146.00,146.00,146.00
10,2021-08-25,4,36541.00,5334986.00,146.00,146.00,146.00
11,2021-07-12,3,10104.00,1475184.00,146.00,146.00,146.00
12,2021-07-05,1,2282.00,333172.00,146.00,146.00,146.00
13,2021-06-21,1,4889.00,713794.00,146.00,146.00,146.00
14,2021-06-20,2,11409.00,1665714.00,146.00,146.00,146.00
15,2021-06-08,1,26933.00,3932218.00,146.00,146.00,146.00
16,2021-04-20,1,22824.00,3355128.00,147.00,147.00,147.00
17,2021-01-10,2,189614.00,21047154.00,111.00,111.00,111.00
18,2021-01-07,1,22000.00,2442000.00,111.00,111.00,111.00
19,2021-01-06,1,599345.00,67725985.00,113.00,113.00,113.00
20,2020-12-31,1,31000.00,3503000.00,113.00,113.00,113.00
21,2020-12-28,1,31586.00,3569218.00,113.00,113.00,113.00
22,2020-12-24,1,2744.00,304584.00,111.00,111.00,111.00
23,2020-12-16,1,6193.00,687423.00,111.00,111.00,111.00
24,2020-12-02,1,948.00,105228.00,111.00,111.00,111.00
25,2020-11-01,1,9052.00,1004772.00,111.00,111.00,111.00
26,2020-10-21,1,3159.00,350649.00,111.00,111.00,111.00
27,2020-10-20,1,90000.00,9990000.00,111.00,111.00,111.00
28,2020-10-15,1,1580.00,175380.00,111.00,111.00,111.00
29,2020-10-13,1,2565.00,284715.00,111.00,111.00,111.00
30,2020-10-11,1,6316.00,701076.00,111.00,111.00,111.00
31,2020-10-08,1,2368.00,262848.00,111.00,111.00,111.00
32,2020-09-28,1,22109.00,2454099.00,111.00,111.00,111.00
33,2020-07-30,1,29128.00,3233208.00,111.00,111.00,111.00
34,2020-07-22,2,10000.00,1110000.00,111.00,111.00,111.00
35,2020-07-05,1,35424.00,3932064.00,111.00,111.00,111.00
36,2020-05-12,1,8000.00,904000.00,113.00,113.00,113.00
37,2020-03-11,2,13100.00,1480300.00,113.00,113.00,113.00
38,2020-02-03,1,2093.00,236509.00,113.00,113.00,113.00
39,2019-12-31,2,120000.00,13560000.00,113.00,113.00,113.00
40,2019-12-26,2,27000.00,3051000.00,113.00,113.00,113.00
41,2019-12-22,1,100000.00,11300000.00,113.00,113.00,113.00
42,2019-12-08,1,10000.00,1130000.00,113.00,113.00,113.00
43,2019-11-25,1,40000.00,4520000.00,113.00,113.00,113.00
44,2019-11-20,2,6241.00,705233.00,113.00,113.00,113.00
45,2019-11-06,3,19304.00,2181352.00,113.00,113.00,113.00
46,2019-10-02,1,7133.00,806029.00,113.00,113.00,113.00
47,2019-09-29,1,10000.00,1130000.00,113.00,113.00,113.00
48,2019-09-25,2,14007.00,1582791.00,113.00,113.00,113.00
49,2019-09-24,3,51418.00,5810234.00,113.00,113.00,113.00
50,2019-09-09,1,4500.00,508500.00,113.00,113.00,113.00
51,2019-08-11,2,1673.00,189049.00,113.00,113.00,113.00
52,2019-07-23,3,15680.00,1771840.00,113.00,113.00,113.00
53,2019-02-17,7,6746.00,762298.00,113.00,113.00,113.00
54,2018-09-30,1,54452.00,6153076.00,113.00,113.00,113.00
55,2018-09-18,3,17608.00,1989704.00,113.00,113.00,113.00
56,2018-09-04,3,4179.00,472227.00,113.00,113.00,113.00
57,2018-08-09,2,17652.00,1994676.00,113.00,113.00,113.00
58,2018-08-07,2,21344.00,2411872.00,113.00,113.00,113.00
59,2018-07-16,2,11464.00,1295432.00,113.00,113.00,113.00
60,2018-06-13,5,44514.00,5030082.00,113.00,113.00,113.00
61,2018-06-12,4,67804.00,7661852.00,113.00,113.00,113.00
62,2018-05-22,2,13156.00,1486628.00,113.00,113.00,113.00
63,2018-05-21,11,148306.00,16758578.00,113.00,113.00,113.00
64,2018-05-20,1,37856.00,4277728.00,113.00,113.00,113.00
65,2018-05-14,4,24927.00,2816751.00,113.00,113.00,113.00
66,2017-12-28,7,221790.00,26614800.00,120.00,120.00,120.00
67,2017-12-26,3,20000.00,2400000.00,120.00,120.00,120.00
68,2017-12-21,8,79377.00,9525240.00,120.00,120.00,120.00
69,2017-11-19,3,60000.00,7200000.00,120.00,120.00,120.00
70,2017-10-31,2,120000.00,14400000.00,120.00,120.00,120.00
71,2017-10-30,14,207000.00,24840000.00,120.00,120.00,120.00
72,2017-10-29,5,30697.00,3683640.00,120.00,120.00,120.00
73,2017-07-10,14,7286.00,1194904.00,164.00,164.00,164.00
74,2017-04-26,12,28195.00,4708565.00,167.00,167.00,167.00
75,2017-04-25,7,17928.00,3047760.00,170.00,170.00,170.00
76,2017-02-09,1,3351.00,569670.00,170.00,170.00,170.00
77,2017-01-04,1,2480.00,421600.00,170.00,170.00,170.00
78,2017-01-03,5,41345.00,7028650.00,170.00,170.00,170.00
79,2016-12-27,9,89209.00,15165530.00,170.00,170.00,170.00
80,2016-11-29,8,15427.00,2622590.00,170.00,170.00,170.00
81,2016-11-24,6,66845.00,11363650.00,170.00,170.00,170.00
82,2015-10-19,5,33681.00,3368100.00,100.00,100.00,100.00
83,2015-10-04,3,15139.00,1513900.00,100.00,100.00,100.00
84,2015-07-09,1,20000.00,2000000.00,100.00,100.00,100.00
85,2015-04-09,1,2000.00,200000.00,100.00,100.00,100.00
86,2015-04-08,17,48816.00,4881600.00,100.00,100.00,100.00
87,2015-04-07,4,43560.00,4356000.00,100.00,100.00,100.00
88,2015-03-31,9,23844.00,2384400.00,100.00,100.00,100.00
89,2014-09-15,1,200.00,20000.00,100.00,100.00,100.00
90,2014-07-01,24,35250.00,3525000.00,100.00,100.00,100.00
91,2014-04-30,4,14000.00,1400000.00,100.00,100.00,100.00
92,2014-04-23,7,16500.00,1650000.00,100.00,100.00,100.00
93,2014-04-20,1,1000.00,100000.00,100.00,100.00,100.00
94,2014-03-25,6,12000.00,1200000.00,100.00,100.00,100.00
95,2014-03-24,5,6250.00,625000.00,100.00,100.00,100.00
96,2014-03-03,1,5000.00,500000.00,100.00,100.00,100.00
97,2013-12-04,1,500.00,50000.00,100.00,100.00,100.00
98,2013-10-27,1,5000.00,500000.00,100.00,100.00,100.00
