S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-12-29,18,4800.00,42980.00,9.10,8.92,8.94
2,2021-12-28,8,2600.00,23184.00,8.93,8.86,8.92
3,2021-12-27,26,7900.00,71146.44,9.20,8.86,9.00
4,2021-12-26,15,7600.00,68674.00,9.26,8.92,9.26
5,2021-12-23,22,14875.00,132918.00,9.00,8.85,8.95
6,2021-12-22,29,22610.00,203132.00,9.18,8.83,9.00
7,2021-12-21,32,25010.00,222293.60,9.15,8.82,9.00
8,2021-12-20,31,16865.00,149690.00,9.07,8.72,9.00
9,2021-12-16,10,8250.00,73941.00,9.00,8.90,8.95
10,2021-12-15,10,1840.00,16648.90,9.15,8.98,9.15
11,2021-12-14,8,4560.00,40595.40,9.00,8.75,8.89
12,2021-12-13,13,7320.00,64727.80,8.90,8.67,8.90
13,2021-12-12,17,6050.00,54765.00,9.10,9.00,9.01
14,2021-12-09,12,7245.00,65308.45,9.10,9.00,9.10
15,2021-12-08,20,8400.00,76061.00,9.18,9.00,9.18
16,2021-12-07,20,4530.00,41117.20,9.20,9.00,9.08
17,2021-12-06,36,31530.00,285025.80,9.20,8.98,9.03
18,2021-12-05,17,18100.00,167753.00,9.40,9.07,9.15
19,2021-12-02,37,32810.00,302214.10,9.50,9.16,9.25
20,2021-12-01,21,16220.00,151169.10,9.38,9.15,9.33
21,2021-11-30,22,17020.00,158527.20,9.32,9.31,9.31
22,2021-11-29,26,14300.00,134212.00,9.45,9.33,9.36
23,2021-11-28,20,9800.00,91887.44,9.50,9.32,9.38
24,2021-11-25,37,10005.00,94360.50,9.52,9.32,9.40
25,2021-11-24,33,23545.00,219598.50,9.50,9.31,9.33
26,2021-11-23,27,15700.00,147356.50,9.47,9.36,9.38
27,2021-11-22,33,9360.00,88545.70,9.56,9.41,9.47
28,2021-11-21,33,9805.00,92638.65,9.50,9.39,9.50
29,2021-11-18,26,11100.00,105776.00,9.64,9.39,9.48
30,2021-11-17,41,18320.00,175122.80,9.58,9.40,9.58
31,2021-11-16,53,76100.00,726497.00,9.74,9.45,9.56
32,2021-11-15,38,24410.00,233983.40,9.69,9.50,9.55
33,2021-11-14,44,34069.00,325164.93,9.68,9.50,9.68
34,2021-11-11,31,11470.00,110237.70,9.79,9.57,9.60
35,2021-11-09,25,22300.00,214633.00,9.70,9.60,9.62
36,2021-11-08,35,11450.00,110586.48,9.82,9.63,9.64
37,2021-11-03,30,9600.00,93376.00,9.80,9.62,9.71
38,2021-11-02,28,26080.00,253745.20,9.80,9.42,9.76
39,2021-11-01,40,30800.00,299488.00,9.81,9.63,9.80
40,2021-10-31,28,9440.00,91457.80,9.78,9.51,9.75
41,2021-10-28,34,20360.00,195388.60,9.70,9.41,9.70
42,2021-10-27,28,12060.00,116352.30,9.70,9.51,9.60
43,2021-10-26,40,34190.00,327419.40,9.85,9.42,9.70
44,2021-10-25,12,4590.00,43734.90,9.65,9.46,9.56
45,2021-10-24,34,9800.00,94854.00,9.82,9.38,9.63
46,2021-10-21,24,6750.00,64357.50,9.75,9.45,9.56
47,2021-10-20,19,57475.00,548357.00,9.73,9.34,9.60
48,2021-10-19,15,8550.00,80123.00,9.45,9.32,9.36
49,2021-10-18,16,8200.00,77288.00,9.50,9.33,9.37
50,2021-10-17,11,8100.00,78061.00,9.70,9.60,9.62
51,2021-10-11,18,24100.00,235354.00,9.84,9.47,9.80
52,2021-10-10,16,5700.00,53842.00,9.57,9.40,9.48
53,2021-10-06,27,12050.00,113482.50,9.59,9.11,9.40
54,2021-10-05,27,9541.00,87872.70,9.39,9.08,9.26
55,2021-10-04,27,33200.00,305749.00,9.25,9.18,9.20
56,2021-10-03,50,25610.00,239834.80,9.54,9.22,9.24
57,2021-09-30,38,43960.00,415399.20,9.59,9.10,9.45
58,2021-09-29,29,21410.00,200735.70,9.45,9.27,9.45
59,2021-09-28,43,32735.00,310148.30,9.73,9.37,9.39
60,2021-09-27,38,24800.00,237948.00,9.66,9.50,9.54
61,2021-09-26,48,23400.00,225438.00,9.79,9.52,9.62
62,2021-09-23,41,50750.00,491847.00,9.88,9.50,9.70
63,2021-09-22,44,59100.00,576816.00,9.99,9.43,9.60
64,2021-09-21,43,33863.00,323717.74,9.88,9.30,9.60
65,2021-09-20,50,39510.00,381200.50,9.95,9.46,9.50
66,2021-09-16,28,26200.00,260517.00,9.98,9.82,9.87
67,2021-09-15,39,22260.00,221813.20,10.00,9.96,9.97
68,2021-09-14,17,7600.00,75791.00,10.00,9.95,9.97
69,2021-09-13,40,16950.00,169423.00,10.03,9.92,10.00
70,2021-09-12,43,54810.00,547921.30,10.08,9.90,10.04
71,2021-09-09,47,45210.00,453032.80,10.12,10.00,10.00
72,2021-09-08,42,36710.00,369911.60,10.20,10.00,10.05
73,2021-09-07,70,37525.00,378597.50,10.29,10.00,10.29
74,2021-09-06,45,64990.00,651603.10,10.14,10.00,10.09
75,2021-09-05,62,80984.00,813241.60,10.26,9.90,10.14
76,2021-09-02,58,54500.00,549199.00,10.20,10.05,10.07
77,2021-09-01,59,40730.00,411283.20,10.20,10.02,10.09
78,2021-08-31,124,150860.00,1525684.50,10.33,10.03,10.05
79,2021-08-29,106,72995.00,738820.80,10.15,10.05,10.12
80,2021-08-26,79,56780.00,572971.40,10.20,10.05,10.11
81,2021-08-25,63,22710.00,229703.10,10.13,10.10,10.12
82,2021-08-24,96,67990.00,689008.80,10.18,10.10,10.13
83,2021-08-19,76,51330.00,521000.80,10.22,10.06,10.14
84,2021-08-18,103,94630.00,961570.90,10.20,10.08,10.15
85,2021-08-17,86,69905.00,712403.60,10.22,10.04,10.22
86,2021-08-16,117,234470.00,2393853.60,10.35,10.15,10.18
87,2021-08-15,68,75430.00,772977.90,10.47,10.16,10.23
88,2021-08-12,103,88700.00,922008.80,10.48,10.35,10.35
89,2021-08-11,63,62430.00,654352.90,10.60,10.32,10.50
90,2021-08-10,81,84755.00,890276.35,10.60,10.26,10.50
91,2021-08-09,86,179100.00,1900216.50,10.75,10.54,10.63
92,2021-08-08,146,344890.00,3715316.00,10.89,10.59,10.75
93,2021-08-05,105,228673.00,2468795.08,10.90,10.51,10.71
94,2021-08-04,106,197270.00,2120213.60,11.00,10.60,10.78
95,2021-08-03,148,289380.00,3172785.40,11.23,10.62,10.91
96,2021-08-02,180,267116.00,2853242.60,10.93,10.55,10.63
97,2021-08-01,85,131650.00,1421772.00,11.00,10.61,10.61
98,2021-07-29,131,184265.00,2032994.50,11.30,10.89,11.00
99,2021-07-28,99,124750.00,1369948.00,11.46,10.83,10.90
100,2021-07-27,77,34529.00,366855.10,11.24,10.35,11.24
101,2021-07-26,206,547081.00,5928956.10,11.13,10.56,10.56
102,2021-07-25,171,321173.00,3625890.30,11.65,10.90,10.92
103,2021-07-22,397,1021460.00,11498684.14,11.54,10.52,11.34
104,2021-07-20,231,246359.00,2635951.36,10.95,10.25,10.52
105,2021-07-19,57,32600.00,333611.00,10.45,10.05,10.25
106,2021-07-18,61,20940.00,213714.00,10.35,10.09,10.25
107,2021-07-15,78,41250.00,421233.50,10.50,10.00,10.50
108,2021-07-14,33,7750.00,78128.00,10.20,9.98,10.08
109,2021-07-13,34,22450.00,225709.00,10.15,9.90,10.14
110,2021-07-12,49,29700.00,298380.00,10.10,9.98,10.10
111,2021-07-11,47,16100.00,161423.00,10.10,9.97,10.06
112,2021-07-08,20,8300.00,83527.00,10.10,9.91,10.10
113,2021-07-07,36,19850.00,199902.00,10.18,10.00,10.01
114,2021-07-06,44,50410.00,509856.20,10.14,9.95,10.14
115,2021-07-05,31,9510.00,95589.00,10.10,10.01,10.10
116,2021-07-04,30,15460.00,156171.60,10.15,10.01,10.10
117,2021-07-01,44,28625.00,290654.80,10.29,10.09,10.15
118,2021-06-30,51,37470.00,385528.00,10.50,10.03,10.50
119,2021-06-29,46,28580.00,288150.20,10.13,10.02,10.06
120,2021-06-28,37,13550.00,137325.50,10.18,10.04,10.16
121,2021-06-27,61,38550.00,390825.00,10.24,10.05,10.18
122,2021-06-24,43,26920.00,273739.00,10.40,10.02,10.40
123,2021-06-23,55,56280.00,576725.00,10.45,10.07,10.40
124,2021-06-22,50,26430.00,269912.10,10.50,10.10,10.25
125,2021-06-21,77,68153.00,697587.69,10.40,10.00,10.40
126,2021-06-20,79,42329.00,435961.35,10.41,10.22,10.22
