S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-12-29,11,572.00,700223.00,1234.00,1220.00,1220.00
2,2021-12-28,8,228.00,284121.00,1254.00,1230.00,1232.00
3,2021-12-27,7,175.00,229360.00,1348.00,1279.00,1279.00
4,2021-12-26,13,307.00,389351.00,1330.00,1220.00,1330.00
5,2021-12-23,10,745.00,901710.00,1220.00,1201.00,1212.00
6,2021-12-22,18,938.00,1129718.00,1220.00,1149.00,1220.00
7,2021-12-21,9,609.00,694043.00,1149.50,1124.00,1149.50
8,2021-12-20,9,540.00,601795.40,1130.00,1105.00,1105.00
9,2021-12-16,3,94.00,105154.00,1120.00,1118.20,1120.00
10,2021-12-15,11,342.00,396389.10,1187.00,1141.00,1141.00
11,2021-12-14,5,133.00,150667.00,1141.00,1120.00,1141.00
12,2021-12-13,20,636.00,714660.00,1162.00,1072.00,1099.00
13,2021-12-12,7,213.00,252132.00,1202.00,1180.00,1184.00
14,2021-12-09,7,255.00,315655.00,1255.60,1225.40,1225.40
15,2021-12-08,5,190.00,237050.00,1260.00,1231.00,1231.00
16,2021-12-07,11,2384.00,3134603.50,1344.00,1248.10,1248.10
17,2021-12-06,8,105.00,131924.00,1294.00,1230.00,1294.00
18,2021-12-05,6,210.00,267640.00,1300.00,1245.00,1245.00
19,2021-12-02,8,390.00,505922.00,1345.00,1293.60,1294.00
20,2021-12-01,8,343.00,450320.00,1320.00,1300.00,1320.00
21,2021-11-30,2,110.00,145090.00,1319.00,1319.00,1319.00
22,2021-11-29,10,617.00,843558.00,1391.00,1340.00,1345.00
23,2021-11-28,7,270.00,372670.00,1395.00,1364.20,1364.20
24,2021-11-25,4,335.00,466165.60,1410.00,1374.10,1410.00
25,2021-11-24,6,166.00,233418.00,1429.00,1402.00,1402.00
26,2021-11-23,6,350.00,482693.80,1380.00,1378.90,1378.90
27,2021-11-22,9,548.00,775570.80,1423.20,1368.00,1407.00
28,2021-11-21,4,425.00,601875.00,1423.00,1394.00,1394.00
29,2021-11-18,4,53.00,75421.00,1425.00,1422.00,1422.00
30,2021-11-17,9,391.00,562060.00,1455.00,1425.00,1450.00
31,2021-11-16,11,833.00,1193878.00,1448.00,1415.00,1448.00
32,2021-11-15,15,565.00,804247.00,1430.00,1401.00,1430.00
33,2021-11-14,8,323.00,460704.00,1448.00,1420.00,1448.00
34,2021-11-11,11,351.00,513626.60,1480.00,1451.00,1451.00
35,2021-11-09,34,1731.00,2535249.00,1502.00,1431.00,1495.00
36,2021-11-08,4,159.00,247427.30,1559.00,1531.10,1531.10
37,2021-11-03,10,367.00,580582.00,1615.80,1560.00,1590.00
38,2021-11-02,16,724.00,1111039.00,1565.00,1510.00,1560.00
39,2021-11-01,14,672.00,1048344.00,1600.00,1537.80,1537.80
40,2021-10-31,14,593.00,908800.00,1569.00,1481.20,1569.00
41,2021-10-28,14,1276.00,1914699.20,1503.00,1469.00,1503.00
42,2021-10-27,22,1267.00,1894662.00,1521.00,1480.00,1480.00
43,2021-10-26,12,198.00,297420.00,1520.00,1453.00,1515.00
44,2021-10-25,13,496.00,705303.00,1435.10,1407.00,1425.00
45,2021-10-24,8,288.00,396482.00,1381.00,1354.00,1380.00
46,2021-10-21,11,437.00,592915.00,1380.00,1353.00,1354.00
47,2021-10-20,18,345.00,466588.00,1387.20,1295.00,1380.00
48,2021-10-19,19,378.00,505481.60,1396.00,1316.10,1320.00
49,2021-10-18,23,820.00,1142198.80,1451.00,1369.00,1369.00
50,2021-10-17,7,265.00,394760.00,1500.00,1475.00,1475.00
51,2021-10-11,17,919.00,1381530.00,1509.00,1475.00,1475.00
52,2021-10-10,36,2181.00,3312805.60,1550.00,1455.00,1480.00
53,2021-10-06,37,1636.00,2439689.30,1498.20,1389.00,1498.20
54,2021-10-05,17,599.00,797652.00,1369.50,1300.00,1362.00
