S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-11-25,1,2000.00,1570000.00,785.00,785.00,785.00
2,2021-11-03,1,1000.00,785000.00,785.00,785.00,785.00
3,2021-09-07,1,2000.00,1570000.00,785.00,785.00,785.00
4,2021-08-26,1,8000.00,6280000.00,785.00,785.00,785.00
5,2021-07-15,1,17820.00,13988700.00,785.00,785.00,785.00
6,2021-04-01,2,3000.00,2130000.00,710.00,710.00,710.00
7,2019-04-03,1,6000.00,2628000.00,438.00,438.00,438.00
8,2018-02-08,1,5000.00,4435000.00,887.00,887.00,887.00
9,2017-04-13,6,70000.00,56000000.00,800.00,800.00,800.00
10,2017-02-07,1,6000.00,4800000.00,800.00,800.00,800.00
11,2017-02-06,3,7000.00,5600000.00,800.00,800.00,800.00
12,2017-02-02,2,5000.00,4000000.00,800.00,800.00,800.00
