S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-10-25,1,12605.00,4802505.00,381.00,381.00,381.00
2,2021-09-30,1,20122.00,7666482.00,381.00,381.00,381.00
3,2021-09-09,3,63721.00,24277701.00,381.00,381.00,381.00
4,2021-07-18,1,6884.00,832964.00,121.00,121.00,121.00
5,2021-07-05,1,5953.00,720313.00,121.00,121.00,121.00
6,2021-06-29,1,5784.00,699864.00,121.00,121.00,121.00
7,2021-06-22,1,50000.00,6050000.00,121.00,121.00,121.00
8,2021-06-20,2,19336.00,2339656.00,121.00,121.00,121.00
9,2021-04-27,1,6884.00,832964.00,121.00,121.00,121.00
10,2021-04-22,1,22231.00,2689951.00,121.00,121.00,121.00
11,2021-04-12,1,20044.00,2465412.00,123.00,123.00,123.00
12,2021-04-04,1,100000.00,12300000.00,123.00,123.00,123.00
13,2021-03-03,1,15000.00,1845000.00,123.00,123.00,123.00
14,2021-01-17,1,1231.00,151413.00,123.00,123.00,123.00
15,2021-01-07,1,11333.00,1393959.00,123.00,123.00,123.00
16,2020-12-30,2,73608.00,9053784.00,123.00,123.00,123.00
17,2020-12-29,1,10421.00,1281783.00,123.00,123.00,123.00
18,2020-11-01,1,23448.00,2884104.00,123.00,123.00,123.00
19,2020-10-21,2,25666.00,3156918.00,123.00,123.00,123.00
20,2020-07-23,1,27500.00,2860000.00,104.00,104.00,104.00
21,2020-01-28,1,157343.00,16363672.00,104.00,104.00,104.00
22,2020-01-09,1,50000.00,5200000.00,104.00,104.00,104.00
23,2019-12-03,1,14335.00,1490840.00,104.00,104.00,104.00
24,2019-09-22,1,13515.00,1405560.00,104.00,104.00,104.00
25,2019-09-11,1,29975.00,3177350.00,106.00,106.00,106.00
26,2019-09-08,1,6500.00,689000.00,106.00,106.00,106.00
27,2019-08-05,2,13920.00,1475520.00,106.00,106.00,106.00
28,2019-07-24,3,45139.00,4739595.00,105.00,105.00,105.00
29,2019-07-23,1,27000.00,2835000.00,105.00,105.00,105.00
30,2019-07-04,3,29295.00,3075975.00,105.00,105.00,105.00
31,2019-06-30,1,6494.00,681870.00,105.00,105.00,105.00
32,2019-06-12,3,101070.00,10612350.00,105.00,105.00,105.00
33,2019-04-21,4,46000.00,4922000.00,107.00,107.00,107.00
34,2019-04-17,1,27248.00,2915536.00,107.00,107.00,107.00
35,2019-03-19,1,33693.00,3605151.00,107.00,107.00,107.00
36,2019-02-12,1,15825.00,1693275.00,107.00,105.00,107.00
37,2019-02-07,2,55915.00,5871075.00,105.00,105.00,105.00
38,2018-10-11,1,5000.00,525000.00,105.00,105.00,105.00
39,2018-09-30,4,18400.00,1932000.00,105.00,105.00,105.00
40,2018-07-29,1,9500.00,997500.00,105.00,105.00,105.00
41,2018-07-16,3,13600.00,1428000.00,105.00,105.00,105.00
42,2018-06-28,2,31232.00,3279360.00,105.00,105.00,105.00
43,2018-06-24,2,71060.00,7461300.00,105.00,105.00,105.00
44,2018-05-08,1,30000.00,3180000.00,106.00,106.00,106.00
45,2018-04-11,2,20000.00,2120000.00,106.00,106.00,106.00
46,2018-03-20,1,22743.00,2410758.00,106.00,106.00,106.00
47,2018-02-11,1,95000.00,10070000.00,106.00,106.00,106.00
48,2017-10-17,2,27397.00,3792183.00,139.00,137.00,139.00
49,2015-06-30,9,31475.00,5350750.00,170.00,170.00,170.00
50,2015-06-28,13,33060.00,5620200.00,170.00,170.00,170.00
