S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-11-03,1,10522.00,2756764.00,262.00,262.00,262.00
2,2021-11-01,1,247943.00,64961066.00,262.00,262.00,262.00
3,2021-10-27,1,247943.00,64961066.00,262.00,262.00,262.00
4,2021-10-26,1,19070.00,4996340.00,262.00,262.00,262.00
5,2021-07-20,1,25000.00,8100000.00,324.00,324.00,324.00
6,2021-07-15,2,3930.00,1273320.00,324.00,324.00,324.00
7,2021-02-09,6,56152.00,6625736.00,118.00,110.00,118.00
8,2020-08-13,2,39553.00,4192618.00,106.00,106.00,106.00
9,2020-02-27,1,1000.00,113000.00,113.00,113.00,113.00
10,2020-01-13,2,149145.00,16853385.00,113.00,113.00,113.00
11,2019-11-21,2,71000.00,8023000.00,113.00,113.00,113.00
12,2019-08-05,2,46000.00,5198000.00,113.00,113.00,113.00
13,2019-06-20,1,3000.00,339000.00,113.00,113.00,113.00
14,2019-02-06,1,6000.00,678000.00,115.00,113.00,113.00
15,2019-01-10,2,43070.00,4953050.00,115.00,115.00,115.00
16,2019-01-06,1,14000.00,1610000.00,115.00,115.00,115.00
17,2018-12-19,3,71506.00,8223190.00,115.00,110.00,115.00
18,2018-09-30,2,76078.00,8368580.00,110.00,110.00,110.00
19,2018-07-09,1,40000.00,4400000.00,110.00,110.00,110.00
20,2018-03-05,1,11000.00,1155000.00,105.00,105.00,105.00
21,2018-02-06,1,50000.00,5250000.00,105.00,105.00,105.00
22,2016-11-17,1,4000.00,460000.00,115.00,115.00,115.00
23,2015-08-25,1,5000.00,510000.00,102.00,102.00,102.00
24,2015-04-12,1,15435.00,1574370.00,102.00,102.00,102.00
25,2015-02-10,4,48732.00,4970664.00,102.00,102.00,102.00
26,2014-11-23,2,11000.00,1122000.00,102.00,102.00,102.00
