S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-05-03,1,5000.00,910000.00,182.00,182.00,182.00
2,2020-09-16,1,5926.00,1078532.00,182.00,182.00,182.00
3,2020-07-28,1,16165.00,2990525.00,185.00,185.00,185.00
4,2020-07-23,1,6061.00,1121285.00,185.00,185.00,185.00
5,2020-02-05,3,12000.00,1632000.00,136.00,136.00,136.00
6,2019-12-11,1,2000.00,272000.00,136.00,136.00,136.00
7,2019-12-04,1,9440.00,1283840.00,136.00,136.00,136.00
8,2016-09-12,1,2871.00,1581921.00,551.00,551.00,551.00
9,2016-09-07,1,1440.00,793440.00,551.00,551.00,551.00
10,2016-08-21,1,2600.00,1432600.00,551.00,551.00,551.00
11,2015-11-16,3,20880.00,4885920.00,234.00,234.00,234.00
12,2015-11-15,3,21600.00,5140800.00,238.00,238.00,238.00
13,2015-11-10,3,23400.00,5662800.00,242.00,242.00,242.00
14,2015-08-10,1,4000.00,984000.00,246.00,246.00,246.00
15,2015-07-13,1,11520.00,2833920.00,246.00,246.00,246.00
16,2014-12-28,1,3520.00,816640.00,232.00,232.00,232.00
17,2014-12-23,2,2160.00,501120.00,232.00,232.00,232.00
18,2014-11-13,2,15840.00,3703680.00,236.00,232.00,232.00
19,2014-08-07,2,15840.00,3801600.00,240.00,240.00,240.00
20,2014-06-29,1,4320.00,1054080.00,244.00,244.00,244.00
