S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-12-29,110,4132.00,1730523.00,430.00,409.00,416.80
2,2021-12-28,90,5055.00,2111389.00,434.00,409.00,409.00
3,2021-12-27,98,4649.00,2007627.30,453.90,416.50,430.00
4,2021-12-26,101,4808.00,2162715.00,463.00,442.10,445.90
5,2021-12-23,101,6635.00,2995650.30,468.00,444.90,448.00
6,2021-12-22,84,4255.00,1954094.00,470.00,444.00,447.00
7,2021-12-21,78,8661.00,3849123.30,459.00,436.40,443.00
8,2021-12-20,118,7119.00,3215133.90,471.20,441.10,452.00
9,2021-12-16,82,4875.00,2390478.00,508.70,480.00,480.00
10,2021-12-15,187,14255.00,7320306.50,528.80,490.10,519.00
11,2021-12-14,95,9465.00,4646099.00,518.50,458.20,518.50
12,2021-12-13,119,5768.00,2691366.00,495.90,458.00,477.00
13,2021-12-12,141,6650.00,3252850.00,509.60,470.10,506.00
14,2021-12-09,95,3576.00,1841363.00,530.00,507.00,520.00
15,2021-12-08,133,5559.00,2843827.50,538.00,500.00,538.00
16,2021-12-07,142,7356.00,3900651.00,555.00,511.60,528.00
17,2021-12-06,167,6478.00,3380613.00,555.00,495.00,545.00
18,2021-12-05,199,7328.00,3768255.50,545.00,497.00,545.00
19,2021-12-02,154,4706.00,2534887.60,556.20,525.00,525.00
20,2021-12-01,150,7020.00,3922176.00,580.00,555.00,563.00
21,2021-11-30,191,8778.00,4920487.00,573.00,539.00,570.00
22,2021-11-29,197,7635.00,4191765.00,565.00,535.10,560.00
23,2021-11-28,242,11767.00,6434468.00,590.00,527.00,554.90
24,2021-11-25,359,9960.00,5685011.70,597.70,553.70,557.00
25,2021-11-24,549,19047.00,10282668.50,567.70,490.00,565.00
26,2021-11-23,227,5314.00,2772074.70,530.40,514.10,516.10
27,2021-11-22,248,4575.00,2421487.00,535.00,522.00,528.10
28,2021-11-21,350,9353.00,5023303.00,560.00,526.50,530.00
29,2021-11-18,534,13900.00,7841682.40,598.00,540.00,548.00
30,2021-11-17,585,18598.00,10562093.50,579.50,535.00,577.00
31,2021-11-16,682,20389.00,10408575.70,526.90,470.00,526.90
32,2021-11-15,321,10219.00,4668644.00,479.90,429.00,479.00
33,2021-11-14,222,2889.00,1263337.70,459.00,416.00,437.00
34,2021-11-11,196,3812.00,1702212.00,460.60,442.00,450.00
35,2021-11-09,267,6167.00,2870880.00,477.00,456.20,470.00
36,2021-11-08,198,4543.00,2212259.50,500.00,472.00,481.00
37,2021-11-03,135,5963.00,2892001.20,499.00,472.10,484.00
38,2021-11-02,161,4051.00,1951322.00,498.00,470.00,490.00
39,2021-11-01,174,5305.00,2627338.00,517.00,490.00,490.00
40,2021-10-31,370,9397.00,4682867.80,541.20,466.00,510.00
41,2021-10-28,292,5225.00,2507073.00,499.80,452.00,499.00
42,2021-10-27,316,8020.00,3846097.50,499.80,447.00,478.00
43,2021-10-26,276,10535.00,4740218.40,468.60,434.00,465.00
44,2021-10-25,282,5561.00,2375063.00,452.00,404.10,426.00
45,2021-10-24,248,3868.00,1600156.00,424.00,388.00,411.00
46,2021-10-21,190,2307.00,957372.20,430.00,402.00,411.10
47,2021-10-20,179,2071.00,838446.40,422.40,384.00,422.40
48,2021-10-19,267,6370.00,2496810.90,417.50,380.00,384.00
49,2021-10-18,344,4363.00,1837982.90,444.00,405.00,417.50
50,2021-10-17,391,4210.00,1868883.00,470.00,421.00,444.00
51,2021-10-11,620,12360.00,5716882.00,500.00,440.00,460.00
52,2021-10-10,1393,19643.00,8682853.40,476.10,399.70,476.10
53,2021-10-06,302,9919.00,4291135.10,432.90,401.40,432.90
54,2021-10-05,49,490.00,192162.00,393.60,365.00,393.60
55,2021-10-04,98,1960.00,684137.00,357.90,325.40,357.90
56,2021-10-03,24,237.00,76497.10,325.40,301.80,325.40
57,2021-09-30,8,80.00,23137.00,295.90,274.30,295.90
58,2021-09-29,6,50.00,12993.70,269.00,253.70,269.00
59,2021-09-28,7,61.00,14501.80,248.80,226.20,248.80
60,2021-09-27,7,70.00,15428.00,226.20,209.80,226.20
61,2021-09-26,5,40.00,8033.00,205.70,197.80,205.70
62,2021-09-23,7,43.00,8184.40,194.00,186.50,194.00
63,2021-09-22,1,10.00,1865.00,186.50,186.50,186.50
