S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-12-29,416,51340.00,23216378.70,460.00,446.00,446.10
2,2021-12-28,693,92721.00,42491345.70,470.30,449.00,458.00
3,2021-12-27,2081,321653.00,183565202.40,589.00,555.00,564.40
4,2021-12-26,703,125310.00,72072663.80,583.40,570.00,574.00
5,2021-12-23,829,117797.00,67764503.70,584.00,563.10,572.00
6,2021-12-22,927,166291.00,94407620.30,576.00,547.00,574.00
7,2021-12-21,697,99591.00,54162258.80,550.00,530.00,547.00
8,2021-12-20,673,98322.00,52270829.60,546.00,519.00,526.80
9,2021-12-16,879,115214.00,62660498.60,565.00,534.00,535.30
10,2021-12-15,1782,290221.00,165862083.40,599.00,545.00,559.90
11,2021-12-14,555,81936.00,44133284.30,568.00,519.00,565.00
12,2021-12-13,1148,195086.00,101308031.90,547.00,510.00,517.00
13,2021-12-12,978,150432.00,82612453.30,574.00,537.00,537.50
14,2021-12-09,762,141310.00,80729072.90,588.00,565.00,571.00
15,2021-12-08,983,157397.00,91981843.40,603.50,575.00,577.00
16,2021-12-07,1135,192974.00,118625776.30,634.60,598.00,599.00
17,2021-12-06,1392,238826.00,144504628.50,622.30,582.00,622.20
18,2021-12-05,1153,202465.00,122531195.00,627.00,598.00,602.00
19,2021-12-02,1271,199585.00,124339306.00,660.00,611.00,620.00
20,2021-12-01,728,114361.00,74373363.50,663.00,640.00,648.00
21,2021-11-30,1168,219049.00,139911944.60,659.90,623.00,650.00
22,2021-11-29,4206,949154.00,610475340.30,691.80,605.30,617.40
23,2021-11-28,1782,449129.00,298191161.60,696.00,643.50,652.00
24,2021-11-25,688,227434.00,162184710.00,729.00,699.00,703.00
25,2021-11-24,668,159977.00,114356094.60,730.00,705.10,717.00
26,2021-11-23,754,143579.00,104271568.40,748.00,712.00,721.10
27,2021-11-22,837,462197.00,344125502.50,765.00,740.00,740.00
28,2021-11-21,1250,682071.00,509992332.60,800.80,725.20,740.00
29,2021-11-18,1686,753041.00,572850358.00,838.00,740.00,740.00
30,2021-11-17,1849,501124.00,385601053.30,806.60,759.30,762.00
31,2021-11-16,1294,493830.00,372688498.20,825.00,735.00,823.00
32,2021-11-15,1606,474864.00,354640823.70,800.20,725.00,750.00
33,2021-11-14,1425,379514.00,273993093.10,785.90,696.00,785.00
34,2021-11-11,2484,656213.00,474934521.50,809.00,714.50,714.50
35,2021-11-09,297,62320.00,49512565.90,864.40,793.80,793.80
36,2021-11-08,2279,678625.00,521003590.90,883.00,740.80,882.00
37,2021-11-03,1681,479520.00,351773848.30,803.00,720.00,803.00
38,2021-11-02,2509,651976.00,469723415.00,735.00,695.10,730.00
39,2021-11-01,2428,523925.00,365871259.10,720.00,670.00,695.00
40,2021-10-31,1262,271606.00,176748625.00,675.00,615.20,668.00
41,2021-10-28,591,129829.00,80876918.00,639.50,613.00,620.00
42,2021-10-27,881,167682.00,105148271.00,644.00,609.60,627.00
43,2021-10-26,903,181152.00,112731547.80,633.00,601.00,627.00
44,2021-10-25,1143,269663.00,162523859.10,615.00,568.00,605.00
45,2021-10-24,411,85711.00,48807725.40,604.00,549.00,604.00
46,2021-10-21,283,41305.00,23525697.60,601.00,559.00,560.00
47,2021-10-20,491,74076.00,43222157.70,612.00,566.50,578.00
48,2021-10-19,590,106382.00,59303647.60,594.60,545.00,579.00
49,2021-10-18,404,100245.00,56611437.20,594.60,555.00,594.60
50,2021-10-17,190,45499.00,26118991.10,595.00,565.00,583.00
51,2021-10-11,909,212485.00,124376048.10,643.00,574.00,576.00
52,2021-10-10,713,182631.00,106940272.00,631.30,568.00,631.30
53,2021-10-06,516,126166.00,70128287.10,586.00,535.20,586.00
54,2021-10-05,220,33835.00,18110278.00,550.70,515.10,535.00
55,2021-10-04,349,55560.00,29187968.20,539.00,516.00,523.10
56,2021-10-03,357,95118.00,50908454.80,552.80,528.00,529.00
57,2021-09-30,306,54158.00,29670959.00,565.00,535.00,542.00
58,2021-09-29,552,115966.00,63431333.20,560.80,526.00,558.10
59,2021-09-28,538,91740.00,49934758.10,567.70,537.00,540.00
60,2021-09-27,509,120679.00,66549883.20,574.00,545.00,558.00
61,2021-09-26,625,120108.00,69854394.70,610.00,566.00,570.00
62,2021-09-23,942,184035.00,109303027.60,615.00,578.20,590.00
63,2021-09-22,938,223281.00,130276095.30,600.00,557.00,597.00
64,2021-09-21,880,156700.00,85424732.00,570.00,521.50,547.00
65,2021-09-20,1108,198128.00,110263850.20,592.60,540.10,542.00
66,2021-09-16,1243,195153.00,114076651.40,605.00,570.00,581.00
67,2021-09-15,832,189100.00,115915280.10,627.00,605.00,608.00
68,2021-09-14,615,110965.00,69670702.60,645.00,619.00,624.00
69,2021-09-13,1333,251520.00,162549808.50,662.00,626.00,635.00
70,2021-09-12,1163,272647.00,170749513.10,638.00,605.00,635.00
71,2021-09-09,582,127035.00,76396832.50,624.00,585.00,597.00
72,2021-09-08,697,131583.00,79026283.60,619.00,593.00,597.00
73,2021-09-07,914,162196.00,101561005.80,645.10,610.10,619.00
74,2021-09-06,1380,310950.00,187645384.50,632.50,559.00,632.50
75,2021-09-05,1429,329453.00,194717390.10,635.00,571.50,575.00
76,2021-09-02,951,171198.00,109737821.10,665.00,630.00,635.00
77,2021-09-01,997,168856.00,111357234.00,675.10,638.00,659.10
78,2021-08-31,1578,316062.00,209920018.80,686.90,655.00,660.00
79,2021-08-29,1531,323187.00,225894946.90,720.00,678.00,690.00
80,2021-08-26,1911,462286.00,317592940.80,715.00,657.00,700.00
81,2021-08-25,1570,335708.00,228156371.30,714.00,653.70,672.00
82,2021-08-24,1798,354614.00,254578269.60,744.00,699.00,700.00
83,2021-08-19,2577,427184.00,317392960.30,777.00,724.00,727.00
84,2021-08-18,2951,787390.00,576919376.40,751.30,665.00,751.00
85,2021-08-17,1664,377862.00,252505389.00,695.00,635.00,683.00
86,2021-08-16,1795,402927.00,255328316.40,655.00,600.00,635.00
87,2021-08-15,3507,718817.00,430112193.30,652.00,574.00,612.00
88,2021-08-12,1983,623102.00,378096781.30,623.70,557.00,623.70
89,2021-08-11,1801,293733.00,166081089.50,609.00,545.00,567.00
90,2021-08-10,2295,623746.00,344346096.00,564.30,517.00,564.30
91,2021-08-09,672,124476.00,64003598.00,528.30,510.10,513.00
92,2021-08-08,1302,246061.00,127604420.10,525.00,506.00,518.00
93,2021-08-05,1527,340046.00,171859630.70,514.00,490.00,502.00
94,2021-08-04,536,98562.00,47984954.30,494.00,480.10,491.00
95,2021-08-03,343,66495.00,32165940.10,490.00,479.30,487.00
96,2021-08-02,475,90824.00,44476750.10,503.00,479.00,486.00
97,2021-08-01,919,159300.00,80041328.60,515.00,493.70,493.70
98,2021-07-29,1578,294975.00,146470589.40,500.00,487.00,498.00
99,2021-07-28,818,191788.00,93686788.40,495.00,479.00,488.00
100,2021-07-27,722,177735.00,84270765.00,484.00,456.00,479.00
101,2021-07-26,775,175535.00,82894381.00,485.00,465.20,470.00
102,2021-07-25,726,165009.00,79179837.70,489.00,476.30,480.00
103,2021-07-22,1466,321883.00,156253762.50,505.00,478.00,481.00
104,2021-07-20,542,123322.00,59190336.20,485.00,475.10,481.00
105,2021-07-19,894,228377.00,110533003.70,499.00,476.00,477.00
106,2021-07-18,1328,305402.00,144973531.80,484.50,450.00,480.00
107,2021-07-15,641,125734.00,56932562.00,460.00,445.00,445.00
108,2021-07-14,312,72890.00,32958541.00,476.00,448.00,454.00
109,2021-07-13,420,130323.00,59459589.00,464.00,444.00,454.00
110,2021-07-12,1226,314073.00,143044623.00,472.00,441.00,450.00
111,2021-07-11,1076,274411.00,122454035.00,465.00,425.00,465.00
112,2021-07-08,534,158378.00,65796928.00,424.00,405.00,423.00
113,2021-07-07,291,84224.00,34129316.00,412.00,401.00,405.00
114,2021-07-06,198,59614.00,23977423.00,413.00,396.00,402.00
115,2021-07-05,171,47013.00,18917256.00,414.00,400.00,402.00
116,2021-07-04,401,90174.00,37163655.00,432.00,408.00,408.00
117,2021-07-01,637,201675.00,82469869.00,418.00,396.00,412.00
118,2021-06-30,418,105537.00,40331948.00,408.00,373.00,395.00
119,2021-06-29,345,96151.00,37387112.00,416.00,385.00,387.00
120,2021-06-28,290,88404.00,35315497.00,408.00,391.00,397.00
121,2021-06-27,328,86984.00,34873345.00,406.00,397.00,403.00
122,2021-06-24,351,73386.00,29556194.00,411.00,395.00,402.00
123,2021-06-23,656,158773.00,66164309.00,443.00,402.00,403.00
124,2021-06-22,926,241779.00,98913695.00,425.00,389.00,422.00
125,2021-06-21,888,169823.00,69399879.00,452.00,399.00,399.00
126,2021-06-20,718,134326.00,57366090.00,449.00,412.00,431.00
127,2021-06-17,852,207194.00,91569822.00,455.00,428.00,441.00
128,2021-06-16,900,190302.00,84943038.00,469.00,425.00,440.00
129,2021-06-15,1036,202609.00,94611538.00,486.00,455.00,458.00
130,2021-06-14,1258,360180.00,178419598.00,514.00,484.00,486.00
131,2021-06-13,1363,376034.00,182050222.00,502.00,455.00,495.00
132,2021-06-10,1210,285346.00,127726635.00,461.00,436.00,460.00
133,2021-06-09,1558,324218.00,150446214.00,495.00,453.00,456.00
134,2021-06-08,1492,400699.00,193397837.00,487.00,450.00,487.00
135,2021-06-07,1539,362541.00,159142185.00,448.00,422.00,443.00
136,2021-06-06,1075,352356.00,142242113.00,417.00,395.00,416.00
137,2021-06-03,1475,413499.00,170095297.00,430.00,390.00,405.00
138,2021-06-02,1314,394493.00,150846006.00,371.00,343.00,395.00
139,2021-06-01,851,240420.00,85629410.00,371.00,343.00,369.00
140,2021-05-31,965,281170.00,101864987.00,380.00,348.00,350.00
141,2021-05-30,1747,403867.00,144619788.00,365.00,332.00,363.00
142,2021-05-27,512,155138.00,50897366.00,342.00,314.00,332.00
143,2021-05-25,390,84623.00,27640858.00,348.00,322.00,325.00
144,2021-05-24,1014,272517.00,91133911.00,357.00,323.00,332.00
145,2021-05-23,1103,266181.00,86752412.00,342.00,299.00,342.00
146,2021-05-20,441,99704.00,30671044.00,315.00,298.00,311.00
147,2021-05-19,303,63406.00,19356538.00,312.00,300.00,300.00
148,2021-05-18,406,146143.00,44308628.00,307.00,300.00,306.00
149,2021-05-17,304,108770.00,32618570.00,306.00,297.00,299.00
150,2021-05-16,567,206731.00,61406247.00,303.00,290.00,303.00
151,2021-05-13,163,37595.00,10764962.00,289.00,283.00,287.00
152,2021-05-12,103,26755.00,7582569.00,285.00,280.00,282.00
153,2021-05-11,105,30371.00,8574760.00,284.00,277.00,283.00
154,2021-05-10,71,12195.00,3401158.00,281.00,277.00,280.00
155,2021-05-09,130,24975.00,6965377.00,280.00,276.00,279.00
156,2021-05-06,69,7707.00,2155426.00,283.00,279.00,281.00
157,2021-05-05,88,15270.00,4349575.00,296.00,280.00,282.00
158,2021-05-04,93,21748.00,6113908.00,283.00,280.00,282.00
159,2021-05-03,93,17199.00,4901674.00,290.00,282.00,284.00
160,2021-05-02,139,22365.00,6380185.00,289.00,280.00,287.00
161,2021-04-29,82,17885.00,5022019.00,284.00,280.00,284.00
162,2021-04-28,105,25287.00,7100308.00,285.00,278.00,281.00
163,2021-04-27,173,54727.00,15532978.00,287.00,280.00,286.00
164,2021-04-26,216,69533.00,19682240.00,288.00,278.00,280.00
165,2021-04-25,267,135071.00,39408879.00,298.00,284.00,289.00
166,2021-04-22,246,61876.00,18032274.00,299.00,279.00,299.00
167,2021-04-21,259,71535.00,20395835.00,292.00,282.00,284.00
168,2021-04-20,399,149173.00,43102328.00,306.00,283.00,292.00
169,2021-04-19,226,45890.00,13695522.00,303.00,295.00,295.00
170,2021-04-18,283,55682.00,17075881.00,324.00,302.00,302.00
171,2021-04-15,485,126615.00,39544588.00,318.00,307.00,309.00
172,2021-04-13,539,142282.00,43275765.00,310.00,296.00,310.00
173,2021-04-12,303,85919.00,25236067.00,297.00,289.00,295.00
174,2021-04-08,196,38748.00,11347859.00,295.00,287.00,292.00
175,2021-04-07,319,76377.00,22255247.00,295.00,282.00,292.00
176,2021-04-06,188,39084.00,10974885.00,285.00,275.00,285.00
177,2021-04-05,208,46005.00,12888394.00,285.00,278.00,279.00
178,2021-04-04,225,50336.00,14118243.00,285.00,279.00,280.00
179,2021-04-01,255,48887.00,13503135.00,279.00,271.00,277.00
180,2021-03-31,188,53647.00,14461334.00,273.00,267.00,272.00
181,2021-03-30,103,18288.00,4870480.00,270.00,265.00,267.00
182,2021-03-29,86,9792.00,2605691.00,270.00,265.00,268.00
183,2021-03-25,189,38179.00,10267698.00,277.00,265.00,270.00
184,2021-03-24,131,19857.00,5338092.00,270.00,266.00,270.00
185,2021-03-23,111,18625.00,5006241.00,274.00,266.00,268.00
186,2021-03-22,124,17240.00,4692773.00,278.00,271.00,273.00
187,2021-03-21,219,52869.00,14416610.00,279.00,268.00,275.00
188,2021-03-18,168,35328.00,9419889.00,270.00,260.00,266.00
189,2021-03-17,150,31463.00,8272899.00,279.00,260.00,264.00
190,2021-03-16,210,49825.00,13140634.00,270.00,258.00,266.00
191,2021-03-15,559,97334.00,28608537.00,311.00,289.00,293.00
192,2021-03-14,191,31577.00,9341079.00,304.00,293.00,297.00
193,2021-03-10,154,26751.00,7996250.00,302.00,296.00,299.00
194,2021-03-09,231,47104.00,14150103.00,306.00,298.00,298.00
195,2021-03-07,400,69922.00,21305683.00,316.00,301.00,301.00
196,2021-03-04,184,43665.00,12903600.00,301.00,290.00,301.00
197,2021-03-03,215,40317.00,11603810.00,292.00,285.00,288.00
198,2021-03-02,242,45024.00,13237861.00,304.00,290.00,294.00
199,2021-03-01,206,47069.00,14003017.00,300.00,290.00,299.00
200,2021-02-28,322,71722.00,21374272.00,310.00,295.00,295.00
201,2021-02-25,247,77074.00,23504171.00,314.00,303.00,304.00
202,2021-02-24,314,112861.00,34792631.00,327.00,303.00,309.00
203,2021-02-23,222,58433.00,17895269.00,327.00,300.00,312.00
204,2021-02-22,294,66724.00,20846820.00,333.00,311.00,312.00
205,2021-02-21,428,89504.00,28386287.00,325.00,310.00,318.00
206,2021-02-18,290,56610.00,18203635.00,336.00,315.00,323.00
207,2021-02-17,298,70463.00,22368466.00,320.00,315.00,320.00
208,2021-02-16,374,117624.00,37163570.00,325.00,310.00,315.00
209,2021-02-15,371,113436.00,34981290.00,312.00,303.00,310.00
210,2021-02-14,266,57076.00,17163291.00,320.00,296.00,300.00
211,2021-02-11,379,94087.00,28735581.00,309.00,300.00,305.00
212,2021-02-10,266,75794.00,22673418.00,313.00,292.00,305.00
213,2021-02-09,428,133527.00,39748519.00,300.00,292.00,299.00
214,2021-02-08,321,121984.00,35262244.00,293.00,280.00,293.00
215,2021-02-07,243,74312.00,21120862.00,299.00,283.00,284.00
216,2021-02-04,334,94382.00,26982431.00,293.00,284.00,285.00
217,2021-02-03,589,156652.00,45588463.00,302.00,286.00,289.00
218,2021-02-02,201,63810.00,18346056.00,291.00,284.00,288.00
219,2021-02-01,143,63005.00,17611731.00,283.00,275.00,283.00
220,2021-01-31,213,63900.00,17653661.00,283.00,274.00,276.00
221,2021-01-28,254,88166.00,25212412.00,304.00,281.00,283.00
222,2021-01-27,202,55523.00,16036196.00,305.00,284.00,290.00
223,2021-01-26,154,41900.00,12250427.00,295.00,289.00,291.00
224,2021-01-25,199,59622.00,17516916.00,297.00,290.00,294.00
225,2021-01-24,368,135526.00,40618191.00,305.00,295.00,296.00
226,2021-01-21,275,90777.00,26271705.00,300.00,287.00,290.00
227,2021-01-20,291,111393.00,31748453.00,288.00,283.00,286.00
228,2021-01-19,448,168268.00,48061158.00,298.00,279.00,284.00
229,2021-01-18,376,206096.00,58355918.00,291.00,278.00,283.00
230,2021-01-17,355,154054.00,43458071.00,294.00,275.00,278.00
231,2021-01-13,160,37047.00,10181302.00,278.00,273.00,274.00
232,2021-01-12,178,49735.00,13521622.00,285.00,266.00,274.00
233,2021-01-11,210,61921.00,16817917.00,280.00,269.00,272.00
234,2021-01-10,419,128188.00,33632748.00,276.00,255.00,276.00
235,2021-01-07,200,66881.00,17050091.00,259.00,253.00,255.00
236,2021-01-06,189,67104.00,16547761.00,255.00,237.00,251.00
237,2021-01-05,110,31402.00,7561749.00,245.00,238.00,240.00
238,2021-01-04,130,60676.00,14635486.00,244.00,237.00,241.00
239,2021-01-03,105,37168.00,8783201.00,240.00,232.00,239.00
240,2020-12-31,100,27585.00,6441858.00,235.00,230.00,233.00
241,2020-12-30,57,8048.00,1856598.00,232.00,230.00,231.00
242,2020-12-29,92,22765.00,5268616.00,237.00,229.00,230.00
243,2020-12-28,107,33922.00,7849839.00,235.00,230.00,232.00
244,2020-12-27,104,23653.00,5560610.00,242.00,232.00,236.00
245,2020-12-24,75,20892.00,4938052.00,242.00,234.00,238.00
246,2020-12-23,101,51187.00,12189644.00,245.00,237.00,238.00
247,2020-12-22,99,14743.00,3516786.00,246.00,235.00,241.00
248,2020-12-21,180,43494.00,10011333.00,238.00,225.00,235.00
249,2020-12-20,147,33616.00,8084871.00,246.00,235.00,237.00
250,2020-12-17,95,14059.00,3481349.00,251.00,245.00,247.00
251,2020-12-16,129,34348.00,8649596.00,255.00,240.00,251.00
252,2020-12-15,155,74754.00,18910908.00,257.00,250.00,251.00
253,2020-12-14,109,21773.00,5398119.00,250.00,242.00,250.00
254,2020-12-13,120,23475.00,5777837.00,248.00,242.00,245.00
255,2020-12-10,94,25910.00,6255490.00,244.00,239.00,242.00
256,2020-12-09,200,158511.00,37818315.00,261.00,236.00,247.00
257,2020-12-08,117,36134.00,8882274.00,260.00,242.00,249.00
258,2020-12-07,126,19192.00,4606921.00,250.00,231.00,248.00
259,2020-12-06,140,30546.00,7358404.00,246.00,238.00,239.00
260,2020-12-03,197,51045.00,12640869.00,255.00,245.00,249.00
261,2020-12-02,159,52777.00,13235907.00,255.00,249.00,252.00
262,2020-12-01,156,41791.00,10643671.00,262.00,249.00,253.00
263,2020-11-30,286,60258.00,15933580.00,277.00,251.00,258.00
264,2020-11-29,421,123877.00,32553794.00,267.00,246.00,267.00
265,2020-11-26,169,53064.00,13182686.00,255.00,241.00,243.00
266,2020-11-25,179,53176.00,13275811.00,252.00,244.00,250.00
267,2020-11-24,150,61793.00,14993094.00,245.00,240.00,243.00
268,2020-11-23,147,73074.00,17568709.00,245.00,233.00,241.00
269,2020-11-22,172,57578.00,13832330.00,251.00,235.00,235.00
270,2020-11-19,143,45310.00,10637040.00,236.00,230.00,235.00
271,2020-11-18,55,12175.00,2824417.00,234.00,230.00,231.00
272,2020-11-12,66,19430.00,4480997.00,233.00,230.00,231.00
273,2020-11-11,88,21425.00,4927704.00,235.00,228.00,231.00
274,2020-11-10,93,19896.00,4574187.00,233.00,228.00,231.00
275,2020-11-09,74,23144.00,5272240.00,231.00,225.00,228.00
276,2020-11-08,97,27915.00,6325509.00,232.00,225.00,227.00
277,2020-11-05,75,19736.00,4460752.00,228.00,225.00,228.00
278,2020-11-04,70,25295.00,5805902.00,233.00,228.00,228.00
279,2020-11-03,89,24571.00,5692995.00,234.00,229.00,229.00
280,2020-11-02,85,23536.00,5518004.00,236.00,233.00,235.00
281,2020-11-01,79,27215.00,6387273.00,236.00,233.00,235.00
282,2020-10-29,147,61994.00,14735607.00,242.00,235.00,235.00
283,2020-10-28,116,25617.00,6057205.00,239.00,232.00,238.00
284,2020-10-22,66,15080.00,3521725.00,235.00,231.00,233.00
285,2020-10-21,52,7592.00,1754581.00,234.00,230.00,232.00
286,2020-10-20,44,7943.00,1819932.00,231.00,228.00,230.00
287,2020-10-19,69,13511.00,3040381.00,229.00,222.00,229.00
288,2020-10-18,47,11433.00,2548342.00,224.00,222.00,222.00
289,2020-10-15,65,11794.00,2665496.00,230.00,223.00,226.00
290,2020-10-14,79,23481.00,5362301.00,236.00,226.00,226.00
291,2020-10-13,165,50082.00,11744401.00,239.00,230.00,232.00
292,2020-10-12,232,76694.00,17828144.00,238.00,225.00,235.00
293,2020-10-11,159,70038.00,16157450.00,235.00,225.00,229.00
294,2020-10-08,179,46403.00,10773870.00,237.00,227.00,228.00
295,2020-10-07,239,83740.00,19404202.00,237.00,229.00,237.00
296,2020-10-06,234,82806.00,18998565.00,232.00,224.00,231.00
297,2020-10-05,246,93595.00,20952984.00,227.00,221.00,226.00
298,2020-10-04,285,84140.00,18464610.00,224.00,214.00,222.00
299,2020-10-01,174,45035.00,9507893.00,213.00,209.00,212.00
300,2020-09-30,73,19726.00,4073275.00,209.00,202.00,207.00
301,2020-09-29,52,10842.00,2216277.00,205.00,203.00,205.00
302,2020-09-28,61,10930.00,2246180.00,208.00,204.00,205.00
303,2020-09-27,74,11841.00,2423109.00,207.00,200.00,205.00
304,2020-09-24,61,12057.00,2451095.00,205.00,202.00,204.00
305,2020-09-23,54,7240.00,1468516.00,206.00,198.00,206.00
306,2020-09-22,100,31745.00,6421024.00,207.00,200.00,200.00
307,2020-09-21,82,14625.00,2997747.00,207.00,202.00,204.00
308,2020-09-20,133,33342.00,6913486.00,213.00,204.00,206.00
309,2020-09-17,183,53361.00,10774953.00,211.00,195.00,205.00
