S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-12-27,1,3500.00,2051000.00,586.00,586.00,586.00
2,2021-12-26,2,9000.00,5274000.00,586.00,586.00,586.00
3,2021-10-25,4,28500.00,16701000.00,586.00,586.00,586.00
4,2021-10-24,4,28500.00,16701000.00,586.00,586.00,586.00
5,2021-10-06,3,35237.00,20318882.00,586.00,575.00,586.00
6,2021-10-04,1,27000.00,15525000.00,575.00,575.00,575.00
7,2021-09-27,4,2184.00,1238248.00,572.00,561.00,572.00
8,2021-09-02,2,34938.00,31653828.00,906.00,906.00,906.00
9,2021-07-05,1,1638.00,1484028.00,906.00,906.00,906.00
10,2021-06-29,2,3000.00,2715000.00,905.00,905.00,905.00
11,2021-03-18,1,6000.00,3210000.00,535.00,535.00,535.00
12,2021-03-16,1,7000.00,3745000.00,535.00,535.00,535.00
13,2021-03-15,2,7000.00,3745000.00,535.00,535.00,535.00
14,2021-03-09,3,15400.00,8100400.00,526.00,526.00,526.00
15,2021-03-01,2,17980.00,9439500.00,525.00,525.00,525.00
16,2021-02-28,1,3000.00,1575000.00,525.00,525.00,525.00
17,2021-02-24,1,5367.00,2817675.00,525.00,525.00,525.00
18,2021-02-21,1,4020.00,2110500.00,525.00,525.00,525.00
19,2021-02-16,1,3000.00,1575000.00,525.00,525.00,525.00
20,2021-02-11,1,1450.00,761250.00,525.00,525.00,525.00
21,2021-01-25,1,25000.00,13125000.00,525.00,525.00,525.00
22,2021-01-24,1,10000.00,5250000.00,525.00,525.00,525.00
23,2021-01-19,3,7000.00,3675000.00,525.00,525.00,525.00
24,2021-01-13,2,10938.00,5742450.00,525.00,525.00,525.00
25,2020-12-31,1,6062.00,3182550.00,525.00,525.00,525.00
26,2020-12-23,1,179.00,92543.00,517.00,517.00,517.00
27,2020-11-24,1,1500.00,775500.00,517.00,517.00,517.00
28,2020-11-23,6,31500.00,16285500.00,517.00,517.00,517.00
29,2020-09-29,1,23309.00,12050753.00,517.00,517.00,517.00
30,2020-09-16,1,25010.00,10079030.00,403.00,403.00,403.00
31,2018-12-23,5,35479.00,17739500.00,500.00,500.00,500.00
32,2018-12-10,2,12099.00,6049500.00,510.00,500.00,500.00
33,2018-12-05,3,50951.00,25985010.00,680.00,510.00,510.00
