S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-12-28,1,20.00,20502.00,1025.10,1025.10,1025.10
2,2021-12-20,1,25.00,25482.50,1019.30,1019.30,1019.30
3,2021-12-15,2,125.00,130000.00,1040.00,1040.00,1040.00
4,2021-12-13,2,525.00,546000.00,1040.00,1040.00,1040.00
5,2021-12-09,1,25.00,26250.00,1050.00,1050.00,1050.00
6,2021-12-06,1,30.00,31200.00,1040.00,1040.00,1040.00
7,2021-12-01,1,25.00,26125.00,1045.00,1045.00,1045.00
8,2021-11-23,1,25.00,26125.00,1045.00,1045.00,1045.00
9,2021-11-22,1,10.00,10450.00,1045.00,1045.00,1045.00
10,2021-11-16,1,100.00,104500.00,1045.00,1045.00,1045.00
11,2021-11-15,1,25.00,26125.00,1045.00,1045.00,1045.00
12,2021-11-14,2,80.00,84400.00,1055.00,1055.00,1055.00
13,2021-11-08,1,25.00,26150.00,1046.00,1046.00,1046.00
14,2021-11-03,3,70.00,73072.00,1045.00,1041.10,1045.00
15,2021-10-31,3,50.00,52330.00,1055.00,1041.00,1041.00
16,2021-10-25,1,25.00,25875.00,1035.00,1035.00,1035.00
17,2021-10-24,2,25.00,25935.00,1038.00,1037.00,1037.00
18,2021-10-18,1,200.00,211340.00,1056.70,1056.70,1056.70
19,2021-10-17,4,225.00,233182.50,1038.00,1036.00,1036.00
20,2021-10-05,1,25.00,26375.00,1055.00,1055.00,1055.00
21,2021-10-03,1,25.00,26000.00,1040.00,1040.00,1040.00
22,2021-09-30,3,175.00,185675.00,1061.00,1061.00,1061.00
23,2021-09-29,1,150.00,156150.00,1041.00,1041.00,1041.00
24,2021-09-27,1,75.00,79500.00,1060.00,1060.00,1060.00
25,2021-09-26,3,610.00,633772.00,1040.00,1034.20,1040.00
26,2021-09-23,4,525.00,553597.50,1055.00,1044.00,1055.00
27,2021-09-20,5,315.00,326521.50,1045.00,1024.10,1024.10
28,2021-09-16,1,25.00,26125.00,1045.00,1045.00,1045.00
29,2021-09-14,4,300.00,316595.00,1060.00,1051.40,1055.10
30,2021-09-13,1,100.00,108000.00,1080.00,1080.00,1080.00
31,2021-09-12,3,350.00,376065.00,1080.50,1059.40,1080.50
32,2021-09-06,3,115.00,123720.00,1081.00,1069.90,1081.00
33,2021-09-05,1,25.00,26500.00,1060.00,1060.00,1060.00
34,2021-09-02,11,1375.00,1470572.50,1078.00,1066.00,1070.00
35,2021-09-01,3,250.00,267010.00,1086.00,1064.30,1064.30
36,2021-08-31,3,140.00,148808.00,1065.20,1062.00,1065.20
37,2021-08-29,1,25.00,26950.00,1078.00,1078.00,1078.00
38,2021-08-26,3,400.00,431300.00,1078.30,1078.20,1078.20
39,2021-08-25,2,550.00,605000.00,1100.00,1100.00,1100.00
40,2021-08-24,4,125.00,135102.50,1095.00,1069.10,1095.00
41,2021-08-19,2,75.00,80117.50,1068.30,1068.10,1068.10
42,2021-08-18,2,225.00,248612.50,1107.40,1085.30,1085.30
43,2021-08-15,7,225.00,254197.50,1130.00,1128.00,1130.00
44,2021-08-12,1,250.00,282500.00,1130.00,1130.00,1130.00
45,2021-08-11,5,200.00,223925.00,1125.00,1112.00,1125.00
46,2021-08-10,1,50.00,54515.00,1090.30,1090.30,1090.30
47,2021-08-09,2,150.00,165750.00,1111.00,1102.00,1111.00
48,2021-08-05,3,75.00,80612.50,1080.50,1072.00,1080.50
49,2021-08-04,2,50.00,54502.50,1090.10,1090.00,1090.10
50,2021-08-03,3,75.00,81380.00,1085.10,1085.00,1085.10
51,2021-08-02,4,500.00,541005.00,1090.00,1075.00,1075.00
52,2021-08-01,2,50.00,54302.50,1090.00,1082.10,1082.10
53,2021-07-29,3,275.00,299750.00,1090.00,1090.00,1090.00
54,2021-07-28,1,25.00,26950.00,1078.00,1078.00,1078.00
55,2021-07-27,2,75.00,82312.50,1100.00,1092.50,1100.00
