S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-12-29,20,9460.00,83520.80,8.98,8.78,8.87
2,2021-12-28,9,1800.00,15992.00,8.95,8.76,8.95
3,2021-12-27,30,17000.00,151335.00,9.00,8.85,8.90
4,2021-12-26,26,33350.00,295306.00,9.12,8.78,8.99
5,2021-12-23,15,3100.00,27799.00,9.05,8.78,8.95
6,2021-12-22,22,4100.00,36936.00,9.18,8.82,8.88
7,2021-12-21,20,9900.00,88807.00,9.04,8.83,8.89
8,2021-12-20,9,2100.00,19064.00,9.26,8.93,9.00
9,2021-12-16,2,430.00,4029.50,9.44,9.35,9.44
10,2021-12-15,23,23510.00,213458.00,9.27,8.93,9.27
11,2021-12-14,8,4100.00,37018.00,9.28,8.76,9.28
12,2021-12-13,30,40439.00,356635.02,9.08,8.75,8.80
13,2021-12-12,25,24066.00,216179.75,9.10,8.91,8.91
14,2021-12-09,21,8400.00,75343.30,9.10,8.88,9.00
15,2021-12-08,24,8860.00,79731.00,9.10,8.90,9.03
16,2021-12-07,19,5967.00,54476.02,9.20,8.89,9.05
17,2021-12-06,36,16400.00,149411.50,9.25,9.00,9.06
18,2021-12-05,27,36950.00,338917.28,9.30,9.07,9.07
19,2021-12-02,20,4400.00,40622.00,9.32,9.20,9.25
20,2021-12-01,8,10320.00,97425.00,9.50,9.22,9.50
21,2021-11-30,19,17300.00,161769.00,9.38,9.20,9.38
22,2021-11-29,35,15600.00,143635.00,9.38,9.15,9.20
23,2021-11-28,26,4700.00,43676.00,9.44,9.25,9.27
24,2021-11-25,22,21200.00,199338.00,9.48,9.29,9.31
25,2021-11-24,26,10600.00,99162.00,9.59,9.26,9.29
26,2021-11-23,44,17023.00,160584.97,9.50,9.38,9.41
27,2021-11-22,25,9950.00,95036.50,9.69,9.49,9.49
28,2021-11-21,22,5000.00,47475.00,9.55,9.49,9.49
29,2021-11-18,26,13362.00,125893.44,9.68,9.36,9.68
30,2021-11-17,20,5438.00,51902.72,9.70,9.51,9.55
31,2021-11-16,32,11270.00,107988.00,9.70,9.44,9.70
32,2021-11-15,34,12450.00,118724.00,9.77,9.32,9.58
33,2021-11-14,13,4700.00,45014.00,9.70,9.45,9.51
34,2021-11-11,42,23324.00,225708.40,9.80,9.60,9.60
35,2021-11-09,21,7500.00,73336.00,9.95,9.60,9.60
36,2021-11-08,30,11500.00,112548.00,9.94,9.60,9.74
37,2021-11-03,25,30870.00,305913.00,9.99,9.62,9.62
38,2021-11-02,22,17250.00,169852.00,10.00,9.70,9.80
39,2021-11-01,34,21780.00,212063.80,9.80,9.61,9.70
40,2021-10-31,36,21050.00,204270.50,9.89,9.60,9.71
41,2021-10-28,33,18160.00,172402.20,9.79,9.38,9.79
42,2021-10-27,22,8900.00,85031.00,9.70,9.27,9.50
43,2021-10-26,17,5900.00,56614.00,9.72,9.56,9.57
44,2021-10-25,22,6800.00,64148.50,9.53,9.20,9.53
45,2021-10-24,40,32553.00,301535.20,9.50,9.17,9.18
46,2021-10-21,12,10200.00,94851.00,9.40,9.22,9.35
47,2021-10-20,15,5600.00,52058.00,9.56,9.22,9.40
48,2021-10-19,18,20900.00,194253.00,9.56,9.04,9.38
49,2021-10-18,17,15150.00,144286.50,9.79,9.45,9.75
50,2021-10-17,16,14400.00,137616.00,9.60,9.44,9.60
51,2021-10-11,24,17850.00,178088.50,10.10,9.63,9.63
52,2021-10-10,21,14200.00,139258.00,9.90,9.60,9.80
53,2021-10-06,24,6200.00,59227.50,9.79,9.42,9.60
54,2021-10-05,19,15200.00,145389.00,9.69,9.41,9.42
55,2021-10-04,18,7550.00,71232.00,9.55,9.42,9.42
56,2021-10-03,45,32880.00,315180.00,9.75,9.28,9.59
57,2021-09-30,27,19900.00,187871.00,9.70,9.41,9.46
58,2021-09-29,23,8000.00,75239.00,9.60,9.32,9.60
59,2021-09-28,43,55600.00,519562.00,9.50,9.31,9.32
60,2021-09-27,45,64450.00,609091.00,9.50,9.40,9.50
61,2021-09-26,26,30600.00,293625.40,9.79,9.43,9.45
62,2021-09-23,41,41000.00,388126.25,9.60,9.39,9.60
63,2021-09-22,25,26800.00,256268.00,9.58,9.37,9.57
64,2021-09-21,37,31390.00,289827.70,9.43,9.01,9.29
65,2021-09-20,53,48650.00,458213.50,9.67,9.31,9.34
66,2021-09-16,32,37050.00,357559.50,9.79,9.60,9.67
67,2021-09-15,43,35710.00,350710.70,9.99,9.70,9.75
68,2021-09-14,31,14700.00,144767.00,9.99,9.74,9.80
69,2021-09-13,36,39250.00,386286.50,9.90,9.76,9.90
70,2021-09-12,46,23000.00,228556.00,10.10,9.70,9.91
71,2021-09-09,84,56000.00,553879.50,10.00,9.82,9.82
72,2021-09-08,76,68300.00,676118.28,10.00,9.83,9.98
73,2021-09-07,55,32140.00,320747.00,10.01,9.81,9.99
