S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-11-17,1,1300.00,1307800.00,1006.00,1006.00,1006.00
2,2021-11-14,1,5000.00,5030000.00,1006.00,1006.00,1006.00
3,2021-11-02,12,5000.00,5130000.00,1026.00,1026.00,1026.00
4,2021-09-23,1,22000.00,22129800.00,1005.90,1005.90,1005.90
5,2021-09-16,1,20000.00,19724000.00,986.20,986.20,986.20
6,2021-09-09,1,30000.00,29007000.00,966.90,966.90,966.90
7,2021-08-31,1,5000.00,4740000.00,948.00,948.00,948.00
8,2021-08-29,1,2742.00,2550060.00,930.00,930.00,930.00
9,2021-08-09,1,4764.00,4430520.00,930.00,930.00,930.00
10,2021-08-08,2,8000.00,7390000.00,930.00,920.00,930.00
11,2021-06-21,2,4278.00,3935760.00,920.00,920.00,920.00
12,2021-06-20,2,17115.00,15745800.00,920.00,920.00,920.00
13,2021-05-16,1,3000.00,2754000.00,918.00,918.00,918.00
14,2021-04-06,6,20000.00,18019430.00,901.00,865.00,901.00
15,2021-04-05,3,30000.00,25470000.00,849.00,849.00,849.00
16,2021-04-04,1,10000.00,8330000.00,833.00,833.00,833.00
17,2021-03-03,1,15000.00,12255000.00,817.00,817.00,817.00
18,2021-02-28,1,15000.00,12495000.00,833.00,833.00,833.00
19,2021-02-25,2,25000.00,21250000.00,850.00,850.00,850.00
20,2021-01-26,1,6595.00,5717865.00,867.00,867.00,867.00
21,2021-01-20,1,13000.00,11050000.00,850.00,850.00,850.00
22,2021-01-18,1,1000.00,850000.00,850.00,850.00,850.00
23,2021-01-17,1,12000.00,10200000.00,850.00,850.00,850.00
24,2021-01-13,2,10000.00,8460000.00,850.00,845.00,850.00
25,2021-01-10,1,10000.00,8400000.00,840.00,840.00,840.00
26,2021-01-07,3,3000.00,2490000.00,830.00,830.00,830.00
27,2021-01-05,2,12648.00,10497840.00,830.00,830.00,830.00
28,2020-12-28,1,2000.00,1628000.00,814.00,814.00,814.00
29,2020-12-20,1,56288.00,44974112.00,799.00,799.00,799.00
30,2020-12-14,2,10000.00,7990000.00,799.00,799.00,799.00
31,2020-11-29,1,10000.00,7840000.00,784.00,784.00,784.00
32,2020-11-25,1,5000.00,4000000.00,800.00,800.00,800.00
33,2020-10-07,1,4186.00,3306940.00,790.00,790.00,790.00
34,2020-09-22,1,10000.00,7750000.00,775.00,775.00,775.00
35,2020-09-21,1,15000.00,11625000.00,775.00,775.00,775.00
36,2020-08-30,1,20000.00,10000000.00,500.00,500.00,500.00
37,2020-02-10,1,21014.00,10507000.00,500.00,500.00,500.00
38,2020-02-09,1,22345.00,11217190.00,502.00,502.00,502.00
39,2020-01-12,2,11000.00,5500000.00,500.00,500.00,500.00
40,2020-01-07,1,10000.00,5000000.00,500.00,500.00,500.00
41,2019-12-08,1,42000.00,21336000.00,508.00,508.00,508.00
42,2019-11-13,2,20000.00,10360000.00,518.00,518.00,518.00
43,2019-09-22,2,28803.00,14919954.00,518.00,518.00,518.00
44,2019-09-11,3,10125.00,5143500.00,508.00,508.00,508.00
45,2019-09-05,1,10000.00,5080000.00,508.00,508.00,508.00
46,2019-09-04,1,10000.00,5080000.00,508.00,508.00,508.00
47,2019-09-01,1,20000.00,10300000.00,515.00,515.00,515.00
48,2019-08-07,2,12500.00,6550000.00,524.00,524.00,524.00
49,2019-08-01,3,32500.00,17225000.00,530.00,530.00,530.00
50,2019-07-16,1,65000.00,34450000.00,530.00,530.00,530.00
51,2019-07-15,1,48343.00,25428418.00,526.00,526.00,526.00
52,2019-07-07,3,20000.00,10400000.00,526.00,514.00,526.00
53,2019-07-01,1,25000.00,12600000.00,504.00,504.00,504.00
54,2019-04-30,2,24024.00,16648632.00,693.00,693.00,693.00
55,2019-01-22,1,15000.00,7980000.00,532.00,532.00,532.00
56,2019-01-10,1,3297.00,1754004.00,532.00,532.00,532.00
57,2019-01-03,1,23810.00,12666920.00,532.00,532.00,532.00
58,2018-11-18,2,4150.00,2207800.00,532.00,532.00,532.00
59,2018-11-14,1,2400.00,1276800.00,757.00,532.00,532.00
60,2018-06-19,1,4000.00,3028000.00,757.00,757.00,757.00
61,2018-06-18,1,10000.00,7570000.00,757.00,757.00,757.00
62,2018-06-04,2,6000.00,4587000.00,772.00,757.00,757.00
63,2018-04-26,1,22593.00,17780691.00,787.00,787.00,787.00
64,2018-04-16,6,1500.00,1199100.00,857.00,787.00,787.00
65,2018-04-15,6,1500.00,1331700.00,952.00,874.00,874.00
66,2018-04-12,6,1500.00,1479200.00,1057.00,971.00,971.00
67,2018-03-11,1,1000.00,1078000.00,1078.00,1078.00,1078.00
68,2018-02-28,2,31675.00,34842500.00,1100.00,1100.00,1100.00
69,2018-02-27,1,50000.00,55000000.00,1100.00,1100.00,1100.00
70,2018-02-22,1,50000.00,55000000.00,1100.00,1100.00,1100.00
71,2018-02-20,2,51875.00,57062500.00,1100.00,1100.00,1100.00
72,2018-02-14,1,50000.00,55000000.00,1100.00,1100.00,1100.00
73,2018-02-11,1,5000.00,5500000.00,1100.00,1100.00,1100.00
74,2018-01-21,1,3612.00,3973200.00,1100.00,1100.00,1100.00
75,2017-12-27,8,100000.00,109998150.00,1100.00,1071.00,1100.00
76,2017-12-06,1,3000.00,3150000.00,1050.00,1050.00,1050.00
77,2017-11-19,1,5000.00,5295000.00,1059.00,1059.00,1059.00
78,2017-11-05,2,6400.00,6912000.00,1080.00,1080.00,1080.00
79,2017-09-24,2,3000.00,3300000.00,1100.00,1100.00,1100.00
80,2017-09-20,1,100000.00,110000000.00,1100.00,1100.00,1100.00
81,2017-09-18,2,500.00,550000.00,1100.00,1100.00,1100.00
82,2017-09-17,9,162000.00,178542000.00,1150.00,1100.00,1100.00
83,2017-08-31,2,15000.00,17250000.00,1150.00,1150.00,1150.00
84,2017-08-15,5,17000.00,19570900.00,1238.00,1150.00,1150.00
85,2017-08-09,2,10000.00,12755000.00,1288.00,1263.00,1263.00
86,2017-07-26,1,10000.00,13140000.00,1314.00,1314.00,1314.00
87,2017-07-11,1,5000.00,6700000.00,1340.00,1340.00,1340.00
88,2017-07-09,1,7812.00,10647756.00,1363.00,1363.00,1363.00
89,2017-07-02,1,3750.00,5212500.00,1390.00,1390.00,1390.00
90,2017-06-28,1,3500.00,4865000.00,1390.00,1390.00,1390.00
91,2017-06-27,1,4000.00,5560000.00,1390.00,1390.00,1390.00
92,2017-06-08,1,100.00,139000.00,1390.00,1390.00,1390.00
93,2017-06-01,1,500.00,709000.00,1418.00,1418.00,1418.00
94,2017-05-15,4,4000.00,5961000.00,1535.00,1446.00,1446.00
95,2017-04-25,1,2000.00,3132000.00,1566.00,1566.00,1566.00
96,2017-04-06,1,1094.00,1747118.00,1597.00,1597.00,1597.00
97,2017-03-09,1,24083.00,38460551.00,1597.00,1597.00,1597.00
98,2017-03-07,1,4000.00,6516000.00,1629.00,1629.00,1629.00
99,2017-03-05,1,4340.00,7213080.00,1662.00,1662.00,1662.00
100,2017-02-19,2,3750.00,6415750.00,1729.00,1695.00,1695.00
101,2016-12-18,1,17340.00,30587760.00,1764.00,1764.00,1764.00
102,2016-11-08,1,3250.00,5850000.00,1800.00,1800.00,1800.00
103,2016-10-27,1,5000.00,9180000.00,1836.00,1836.00,1836.00
104,2016-09-22,1,100.00,180000.00,1800.00,1800.00,1800.00
105,2016-09-21,2,13000.00,23406500.00,1813.00,1800.00,1800.00
106,2016-09-08,4,13500.00,24998500.00,1892.00,1850.00,1850.00
107,2016-09-07,3,1500.00,2954000.00,2009.00,1930.00,1930.00
108,2016-08-04,3,13872.00,28480600.00,2114.00,2050.00,2050.00
109,2016-08-01,3,9000.00,19413000.00,2157.00,2157.00,2157.00
110,2016-07-10,3,1000.00,2200000.00,2200.00,2200.00,2200.00
111,2016-07-04,4,9500.00,20874900.00,2200.00,2075.00,2200.00
112,2016-07-03,5,500.00,980900.00,2035.00,1887.00,2035.00
113,2016-04-27,3,13000.00,24045600.00,1850.00,1810.00,1850.00
114,2016-03-27,2,5000.00,8875000.00,1775.00,1775.00,1775.00
115,2016-03-24,2,5000.00,9000000.00,1800.00,1800.00,1800.00
116,2016-03-16,1,10000.00,18000000.00,1800.00,1800.00,1800.00
117,2016-02-29,3,15000.00,27250000.00,1825.00,1800.00,1825.00
118,2016-02-17,1,5000.00,9000000.00,1800.00,1800.00,1800.00
119,2015-12-31,2,2000.00,3650000.00,1825.00,1825.00,1825.00
120,2015-12-28,2,2000.00,3600000.00,1800.00,1800.00,1800.00
121,2015-12-16,2,9000.00,16200000.00,1800.00,1800.00,1800.00
122,2015-12-07,1,2000.00,3672000.00,1836.00,1836.00,1836.00
123,2015-11-30,3,5000.00,9000000.00,1800.00,1800.00,1800.00
124,2015-11-15,6,13000.00,23396300.00,1800.00,1764.00,1800.00
125,2015-10-18,2,2500.00,4325000.00,1730.00,1730.00,1730.00
126,2015-10-01,1,3000.00,5295000.00,1765.00,1765.00,1765.00
127,2015-09-09,2,6000.00,10590000.00,1765.00,1765.00,1765.00
128,2015-09-03,3,20000.00,35300000.00,1765.00,1765.00,1765.00
129,2015-09-02,3,30000.00,52950000.00,1765.00,1765.00,1765.00
130,2015-08-05,5,2500.00,4687500.00,1951.00,1801.00,1801.00
131,2015-08-04,5,2500.00,5180000.00,2156.00,1990.00,1990.00
132,2015-07-07,1,2000.00,4400000.00,2200.00,2200.00,2200.00
133,2015-06-29,2,3850.00,8554700.00,2222.00,2222.00,2222.00
134,2015-05-24,11,15921.00,36393962.00,2475.00,2222.00,2222.00
135,2015-04-21,1,4200.00,10365600.00,2468.00,2468.00,2468.00
136,2015-03-26,2,7500.00,17943000.00,2420.00,2374.00,2420.00
137,2015-03-25,9,5035.00,11035275.00,2328.00,2075.00,2328.00
138,2015-03-24,5,500.00,1020600.00,2117.00,1963.00,2117.00
139,2015-03-23,5,5350.00,9579750.00,1925.00,1785.00,1925.00
140,2015-03-19,5,7000.00,12046000.00,1750.00,1716.00,1750.00
141,2015-03-12,1,1000.00,1716000.00,1716.00,1716.00,1716.00
142,2015-03-04,1,1000.00,1683000.00,1683.00,1683.00,1683.00
143,2015-02-05,1,4340.00,7161000.00,1650.00,1650.00,1650.00
144,2014-12-28,3,36675.00,61047250.00,1670.00,1650.00,1650.00
145,2014-11-23,1,1000.00,1666000.00,1666.00,1666.00,1666.00
146,2014-09-21,1,1785.00,3034500.00,1700.00,1700.00,1700.00
147,2014-08-19,7,19380.00,32134080.00,1691.00,1626.00,1691.00
148,2014-08-18,2,13900.00,22601400.00,1626.00,1626.00,1626.00
149,2014-08-14,2,2550.00,4146300.00,1626.00,1626.00,1626.00
150,2014-06-24,2,10020.00,16292520.00,1626.00,1626.00,1626.00
151,2014-04-30,17,37775.00,59920975.00,1626.00,1564.00,1626.00
152,2014-03-11,1,5000.00,8120000.00,1624.00,1624.00,1624.00
153,2014-03-06,2,27850.00,43811700.00,1593.00,1562.00,1593.00
154,2014-03-05,3,10000.00,15870000.00,1625.00,1562.00,1562.00
155,2014-01-16,2,5000.00,8356000.00,1691.00,1658.00,1658.00
156,2014-01-05,1,1875.00,3234375.00,1725.00,1725.00,1725.00
