S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-12-29,5,11221.00,128369.18,11.58,11.37,11.55
2,2021-12-28,18,89399.00,1010913.10,11.59,11.18,11.37
3,2021-12-27,35,157600.00,1802530.00,11.60,11.34,11.43
4,2021-12-26,11,34220.00,397415.00,11.75,11.50,11.58
5,2021-12-23,10,4700.00,55373.00,12.02,11.58,11.58
6,2021-12-22,6,1600.00,18596.00,11.79,11.51,11.79
7,2021-12-21,5,7600.00,87329.00,11.50,11.30,11.50
8,2021-12-20,9,9650.00,110110.00,11.50,11.40,11.40
9,2021-12-16,4,2000.00,22980.00,11.50,11.30,11.50
10,2021-12-15,13,7430.00,87298.00,12.08,11.50,11.50
11,2021-12-14,7,51000.00,575134.00,11.40,11.16,11.40
12,2021-12-13,28,89290.00,1005281.80,11.45,11.10,11.38
13,2021-12-12,5,26900.00,308957.00,11.50,11.43,11.45
14,2021-12-09,2,200.00,2291.00,11.50,11.41,11.50
15,2021-12-08,16,21220.00,251865.40,12.03,11.57,11.61
16,2021-12-07,14,67500.00,787186.00,11.82,11.32,11.80
17,2021-12-06,15,38950.00,445267.00,11.75,11.20,11.52
18,2021-12-05,9,10171.00,118511.58,11.85,11.55,11.75
19,2021-12-02,30,548000.00,6577300.49,12.10,11.98,11.99
20,2021-12-01,5,23050.00,276050.00,12.00,11.93,12.00
21,2021-11-30,35,188491.00,2260521.64,12.06,11.91,12.01
22,2021-11-29,47,577490.00,6936619.00,12.34,11.92,12.04
23,2021-11-28,12,38000.00,451580.00,12.00,11.85,11.85
24,2021-11-25,9,26550.00,319640.50,12.10,11.81,12.09
25,2021-11-24,18,46740.00,551836.13,12.04,11.64,12.04
26,2021-11-23,6,22400.00,264428.00,11.85,11.80,11.83
27,2021-11-22,4,1300.00,15397.00,11.99,11.79,11.99
28,2021-11-21,9,15450.00,184317.50,12.05,11.85,11.99
29,2021-11-18,14,45300.00,536475.00,11.95,11.80,11.95
30,2021-11-17,8,40100.00,482846.00,12.19,12.00,12.00
31,2021-11-16,6,2200.00,26212.00,12.13,11.79,12.13
32,2021-11-15,23,77100.00,920686.00,12.10,11.76,11.76
33,2021-11-14,14,26400.00,310982.13,12.10,11.73,11.98
34,2021-11-11,14,20800.00,250498.00,12.20,11.90,11.90
35,2021-11-09,23,142800.00,1724301.00,12.19,11.94,11.97
