S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-12-29,5,16413.00,183209.08,11.20,11.16,11.16
2,2021-12-28,4,25114.00,284301.88,11.42,11.30,11.30
3,2021-12-27,5,10016.00,110390.16,11.20,11.01,11.20
4,2021-12-26,7,5616.00,62055.48,11.20,11.00,11.20
5,2021-12-23,8,17500.00,189653.36,11.09,10.72,11.00
6,2021-12-21,7,8986.00,97558.15,10.92,10.71,10.92
7,2021-12-20,2,2948.00,31808.92,10.79,10.79,10.79
8,2021-12-16,6,10825.00,117415.64,10.99,10.69,10.99
9,2021-12-15,8,51748.00,562863.36,10.91,10.69,10.82
10,2021-12-14,9,50416.00,539114.40,10.90,10.69,10.90
11,2021-12-13,18,81600.00,885270.55,11.00,10.69,10.69
12,2021-12-12,13,46643.00,513000.42,11.10,10.89,11.00
13,2021-12-09,6,30409.00,337548.22,11.11,11.10,11.11
14,2021-12-08,5,19225.00,213689.75,11.14,11.10,11.11
15,2021-12-07,12,43242.00,481306.06,11.23,11.09,11.14
16,2021-12-06,9,32766.00,360904.40,11.09,11.00,11.09
17,2021-12-05,21,79700.00,882337.72,11.11,11.00,11.00
18,2021-12-02,25,173989.00,1969233.78,11.66,11.10,11.23
19,2021-12-01,18,60262.00,691249.90,11.50,11.40,11.45
20,2021-11-30,5,4072.00,46667.58,11.47,11.44,11.47
21,2021-11-29,5,13667.00,156487.08,11.50,11.24,11.42
22,2021-11-28,16,48174.00,553881.32,11.62,11.46,11.46
23,2021-11-25,4,3992.00,46388.04,11.63,11.62,11.62
24,2021-11-24,13,48140.00,560342.40,11.70,11.62,11.70
25,2021-11-23,7,6286.00,73114.02,11.75,11.62,11.63
26,2021-11-22,11,16139.00,188358.99,11.70,11.65,11.67
27,2021-11-21,7,13430.00,156509.50,11.66,11.65,11.65
28,2021-11-18,7,21002.00,244342.06,11.65,11.63,11.65
29,2021-11-17,15,46150.00,539817.50,11.89,11.63,11.63
30,2021-11-16,9,75354.00,881038.42,11.71,11.58,11.67
31,2021-11-15,6,8639.00,99943.21,11.60,11.55,11.56
32,2021-11-14,9,54993.00,633156.67,11.55,11.51,11.55
33,2021-11-11,10,34600.00,400520.00,11.65,11.55,11.59
34,2021-11-09,19,164768.00,1931095.40,11.81,11.55,11.55
35,2021-11-08,15,50000.00,596669.58,11.98,11.75,11.98
36,2021-11-03,3,300.00,3519.00,11.76,11.68,11.76
37,2021-11-02,6,7180.00,84032.80,11.75,11.68,11.75
38,2021-11-01,5,3100.00,36459.00,11.99,11.75,11.75
39,2021-10-31,7,8350.00,98209.50,11.98,11.56,11.98
40,2021-10-28,9,54655.00,634750.94,11.80,11.48,11.56
41,2021-10-27,6,23546.00,271602.86,11.94,11.49,11.94
42,2021-10-26,18,121338.00,1396309.76,11.52,11.30,11.49
43,2021-10-25,4,5825.00,65822.50,11.30,11.30,11.30
44,2021-10-24,17,31451.00,349254.22,11.21,10.92,11.21
45,2021-10-21,16,57828.00,638257.96,11.22,10.96,11.00
46,2021-10-20,6,7860.00,86227.80,10.98,10.83,10.98
47,2021-10-19,5,12825.00,138377.56,10.80,10.77,10.77
48,2021-10-18,11,25100.00,273520.00,11.20,10.78,10.85
49,2021-10-17,1,1248.00,13728.00,11.00,11.00,11.00
50,2021-10-11,1,1000.00,11010.00,11.01,11.01,11.01
51,2021-10-10,5,17409.00,193982.80,11.22,11.00,11.20
52,2021-10-06,10,21070.00,233901.64,11.20,10.90,11.00
53,2021-10-05,3,5909.00,63627.39,10.83,10.62,10.83
54,2021-10-04,6,29301.00,316593.20,10.81,10.80,10.80
55,2021-10-03,23,101329.00,1097027.06,11.00,10.80,10.80
56,2021-09-30,15,47892.00,523893.73,11.00,10.80,10.87
57,2021-09-29,25,79999.00,869937.69,11.01,10.83,10.84
58,2021-09-28,33,133700.00,1456824.34,11.00,10.80,10.80
59,2021-09-27,21,69275.00,762085.00,11.09,10.96,10.96
60,2021-09-26,26,120618.00,1337394.50,11.42,10.95,11.09
61,2021-09-23,12,42488.00,466894.50,11.10,10.92,10.92
62,2021-09-22,24,84898.00,940752.40,11.20,10.81,11.02
63,2021-09-21,9,13684.00,149333.76,10.96,10.71,10.91
64,2021-09-20,36,165656.00,1809297.98,11.16,10.54,10.91
65,2021-09-16,7,22032.00,250605.36,11.50,11.24,11.35
66,2021-09-15,8,25592.00,297067.20,11.62,11.60,11.60
67,2021-09-14,16,108451.00,1249960.22,11.68,11.26,11.50
68,2021-09-13,8,13664.00,156168.80,11.46,11.40,11.46
69,2021-09-12,7,42551.00,490001.70,11.60,11.50,11.55
70,2021-09-09,19,92853.00,1079688.80,11.64,11.60,11.60
71,2021-09-08,34,109000.00,1293589.40,12.00,11.70,11.80
72,2021-09-07,11,71188.00,839487.00,11.89,11.65,11.88
73,2021-09-06,12,34618.00,403231.76,11.70,11.41,11.65
74,2021-09-05,32,124158.00,1448212.50,11.80,11.57,11.62
75,2021-09-02,63,170671.00,2365660.90,14.22,13.72,13.80
76,2021-09-01,29,108821.00,1512663.14,14.00,13.85,13.95
77,2021-08-31,34,79802.00,1111217.02,13.99,13.91,13.92
78,2021-08-29,34,87573.00,1229255.19,14.25,13.78,13.96
79,2021-08-26,44,232379.00,3253070.48,14.21,13.96,13.98
80,2021-08-25,29,138196.00,1965637.05,14.40,14.15,14.20
81,2021-08-24,31,98017.00,1400310.50,14.48,13.85,14.40
82,2021-08-19,40,143495.00,2075296.00,14.69,14.40,14.40
83,2021-08-18,88,605264.00,8800454.33,14.72,14.43,14.50
84,2021-08-17,105,594384.00,8850069.90,15.10,14.65,14.90
85,2021-08-16,25,99791.00,1501204.61,15.10,15.00,15.04
86,2021-08-15,29,168818.00,2534132.75,15.20,14.96,15.10
87,2021-08-12,46,1286381.00,19504587.60,15.20,15.08,15.19
88,2021-08-11,32,193748.00,2929602.89,15.20,15.00,15.08
89,2021-08-10,51,271725.00,4082951.31,15.20,15.00,15.12
90,2021-08-09,41,213823.00,3223719.49,15.25,15.00,15.03
91,2021-08-08,29,66913.00,1012872.75,15.15,15.06,15.15
92,2021-08-05,28,182301.00,2745679.99,15.30,15.02,15.03
93,2021-08-04,47,142695.00,2155171.46,15.25,15.00,15.09
94,2021-08-03,44,109464.00,1675217.24,15.58,15.22,15.22
95,2021-08-02,31,137151.00,2124219.41,15.65,15.31,15.40
96,2021-08-01,46,164089.00,2589164.86,15.99,15.52,15.61
97,2021-07-29,34,110720.00,1703208.74,15.55,15.33,15.47
98,2021-07-28,37,166540.00,2584049.53,15.60,15.25,15.47
99,2021-07-27,42,155078.00,2382210.76,15.68,15.18,15.48
