S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-12-29,243,4050.00,1453923.00,372.00,351.20,364.00
2,2021-12-28,178,4065.00,1445544.00,362.40,351.00,358.00
3,2021-12-27,277,11881.00,4337568.60,375.00,358.00,360.00
4,2021-12-26,352,8054.00,2981678.10,377.00,362.60,375.00
5,2021-12-23,321,8049.00,2996923.70,380.00,365.10,371.00
6,2021-12-22,327,7385.00,2739578.50,378.00,357.00,378.00
7,2021-12-21,255,5216.00,1819310.00,356.90,344.00,356.90
8,2021-12-20,290,4850.00,1693137.50,362.00,343.00,347.00
9,2021-12-16,253,5854.00,2139034.10,385.50,360.00,363.00
10,2021-12-15,527,17495.00,6820720.50,412.00,363.00,372.00
11,2021-12-14,203,4849.00,1786201.50,381.70,350.00,381.70
12,2021-12-13,462,10591.00,3666838.10,386.00,332.00,347.00
13,2021-12-12,468,17386.00,6665237.80,392.00,364.00,365.00
14,2021-12-09,611,12424.00,4881113.00,404.00,385.00,393.00
15,2021-12-08,985,10795.00,4365534.00,410.00,400.00,408.00
16,2021-12-07,1644,30287.00,13054412.00,459.00,414.00,416.00
17,2021-12-06,4466,81212.00,35157169.30,499.80,409.00,433.00
18,2021-12-05,157,1533.00,695114.20,454.40,421.30,454.40
19,2021-12-02,41,390.00,159850.00,413.10,375.60,413.10
20,2021-12-01,17,150.00,55348.00,375.60,348.30,375.60
21,2021-11-30,26,171.00,57762.70,341.50,316.70,341.50
22,2021-11-29,29,194.00,57717.70,310.50,282.30,310.50
