S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-12-29,1,25.00,24000.00,960.00,960.00,960.00
2,2021-12-28,1,101.00,95778.30,948.30,948.30,948.30
3,2021-12-21,1,25.00,23707.50,948.30,948.30,948.30
4,2021-12-20,2,50.00,47345.00,947.50,946.30,947.50
5,2021-12-12,2,50.00,47405.00,948.10,948.10,948.10
6,2021-12-09,4,175.00,166275.00,950.20,950.00,950.10
7,2021-12-08,1,25.00,23707.50,948.30,948.30,948.30
8,2021-12-06,6,150.00,142105.00,949.20,946.00,946.00
9,2021-12-01,1,25.00,23780.00,951.20,951.20,951.20
10,2021-11-29,1,25.00,23780.00,951.20,951.20,951.20
11,2021-11-28,3,75.00,71439.00,952.80,951.40,951.40
12,2021-11-23,2,125.00,119600.00,958.00,952.00,958.00
13,2021-11-21,2,50.00,47875.00,960.00,955.00,960.00
14,2021-11-18,1,200.00,191000.00,955.00,955.00,955.00
15,2021-11-16,2,75.00,72000.00,960.00,960.00,960.00
16,2021-11-15,6,250.00,240263.50,969.00,955.00,969.00
17,2021-11-14,1,25.00,23775.00,951.00,951.00,951.00
18,2021-11-11,2,100.00,95600.00,956.00,956.00,956.00
19,2021-11-09,1,25.00,23852.50,954.10,954.10,954.10
20,2021-11-08,1,25.00,23775.00,951.00,951.00,951.00
21,2021-11-03,2,50.00,48200.00,968.00,960.00,968.00
22,2021-11-01,1,10.00,9680.00,968.00,968.00,968.00
23,2021-10-27,1,25.00,23750.00,950.00,950.00,950.00
24,2021-10-26,5,150.00,142906.00,955.00,952.00,955.00
25,2021-10-25,1,25.00,24000.00,960.00,960.00,960.00
26,2021-10-24,1,25.00,23925.00,957.00,957.00,957.00
27,2021-10-20,3,75.00,71325.00,952.00,950.00,952.00
28,2021-10-18,1,25.00,23852.50,954.10,954.10,954.10
29,2021-10-10,2,55.00,52802.50,960.10,960.00,960.10
30,2021-10-06,4,100.00,95825.00,965.00,955.00,965.00
31,2021-10-05,2,50.00,47775.00,958.00,953.00,958.00
32,2021-10-04,3,75.00,71875.00,959.00,958.00,958.00
33,2021-10-03,6,175.00,168512.50,964.00,962.00,962.10
34,2021-09-30,8,180.00,173855.00,973.00,961.00,966.10
35,2021-09-29,2,25.00,24216.50,980.00,961.10,961.10
36,2021-09-23,1,10.00,10000.00,1000.00,1000.00,1000.00
