S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-12-05,2,500.00,500045.00,1004.50,1000.00,1000.00
2,2021-12-01,1,50.00,51250.00,1025.00,1025.00,1025.00
3,2021-11-24,1,25.00,26125.00,1045.00,1045.00,1045.00
4,2021-11-22,1,100.00,103500.00,1035.00,1035.00,1035.00
5,2021-11-11,1,200.00,207000.00,1035.00,1035.00,1035.00
6,2021-11-09,1,100.00,103500.00,1035.00,1035.00,1035.00
7,2021-11-08,4,275.00,282725.00,1035.00,1017.00,1030.00
8,2021-10-28,3,75.00,75400.00,1016.00,1000.00,1016.00
9,2021-10-27,1,150.00,152400.00,1016.00,1016.00,1016.00
10,2021-09-16,1,150.00,155250.00,1035.00,1035.00,1035.00
11,2021-09-12,2,50.00,51925.00,1045.00,1032.00,1032.00
12,2021-09-09,1,80.00,84000.00,1050.00,1050.00,1050.00
13,2021-08-26,1,25.00,26125.00,1045.00,1045.00,1045.00
14,2021-08-25,1,50.00,52250.00,1045.00,1045.00,1045.00
15,2021-08-11,2,200.00,210000.00,1050.00,1050.00,1050.00
16,2021-08-08,1,25.00,26657.50,1066.30,1066.30,1066.30
17,2021-07-13,1,100.00,108800.00,1088.00,1088.00,1088.00
18,2021-06-30,1,25.00,26750.00,1070.00,1070.00,1070.00
19,2021-06-17,1,150.00,162150.00,1081.00,1081.00,1081.00
20,2021-06-07,1,25.00,26500.00,1060.00,1060.00,1060.00
21,2021-06-06,1,100.00,105000.00,1050.00,1050.00,1050.00
22,2021-06-02,2,100.00,105600.00,1072.00,1072.00,1056.00
23,2021-05-27,1,25.00,26800.00,1072.00,1072.00,1072.00
24,2021-05-23,1,50.00,52550.00,1051.00,1051.00,1051.00
25,2021-05-19,2,50.00,52550.00,1051.00,1051.00,1051.00
26,2021-05-12,1,25.00,26550.00,1062.00,1062.00,1062.00
27,2021-05-11,3,175.00,184000.00,1060.00,1050.00,1060.00
28,2021-05-10,3,85.00,89875.00,1060.00,1051.00,1060.00
29,2021-05-06,2,50.00,53000.00,1060.00,1060.00,1060.00
30,2021-05-04,2,200.00,211800.00,1060.00,1058.00,1060.00
31,2021-05-03,4,85.00,89375.00,1055.00,1050.00,1055.00
32,2021-05-02,6,275.00,290810.00,1060.00,1050.00,1060.00
33,2021-04-29,4,400.00,422000.00,1055.00,1055.00,1055.00
34,2021-04-28,2,50.00,52500.00,1050.00,1050.00,1050.00
