S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-08-26,1,48729.00,23195004.00,476.00,476.00,476.00
2,2019-10-14,1,60725.00,7651350.00,126.00,126.00,126.00
3,2018-07-10,5,43335.00,5460210.00,126.00,126.00,126.00
4,2018-06-06,1,5000.00,630000.00,126.00,126.00,126.00
5,2018-05-28,6,5000.00,630300.00,136.00,126.00,126.00
6,2018-05-23,7,10000.00,1385310.00,150.00,138.00,138.00
7,2016-09-06,2,124038.00,17117244.00,138.00,138.00,138.00
8,2016-07-18,3,210151.00,29000838.00,138.00,138.00,138.00
9,2016-07-14,9,234403.00,32351814.00,150.00,138.00,138.00
10,2016-07-13,6,600.00,95300.00,166.00,153.00,153.00
11,2016-07-11,6,600.00,105900.00,184.00,169.00,169.00
12,2014-10-30,1,2500.00,480000.00,192.00,192.00,192.00
13,2014-03-03,1,174248.00,32932872.00,189.00,189.00,189.00
14,2014-02-25,1,198256.00,37470384.00,189.00,189.00,189.00
15,2010-06-20,1,5000.00,1000000.00,200.00,200.00,200.00
