S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-12-09,1,17864.00,5645024.00,316.00,316.00,316.00
2,2021-11-30,1,563.00,181286.00,322.00,322.00,322.00
3,2021-09-13,1,9296.00,3216416.00,346.00,346.00,346.00
4,2021-08-18,1,5629.00,1947634.00,346.00,346.00,346.00
5,2021-01-05,1,4800.00,523200.00,109.00,109.00,109.00
6,2020-11-02,1,11260.00,1227340.00,109.00,109.00,109.00
7,2020-07-07,1,10054.00,1095886.00,109.00,109.00,109.00
8,2019-09-26,1,2240.00,244160.00,109.00,109.00,109.00
9,2019-07-17,1,5600.00,666400.00,119.00,119.00,119.00
10,2019-04-24,1,25135.00,2991065.00,119.00,119.00,119.00
11,2018-10-02,2,18354.00,2143440.00,110.00,110.00,110.00
12,2018-09-04,1,2600.00,260000.00,100.00,100.00,100.00
13,2018-04-04,1,8278.00,943692.00,114.00,114.00,114.00
14,2018-01-07,1,15081.00,1508100.00,0.00,0.00,0.00
15,2017-11-23,3,22108.00,2604744.00,118.00,116.00,116.00
16,2017-11-21,3,15081.00,1779558.00,118.00,118.00,118.00
17,2017-07-13,1,10000.00,1200000.00,120.00,120.00,120.00
18,2017-07-11,2,31857.00,3822840.00,120.00,120.00,120.00
19,2016-01-13,8,53000.00,5300000.00,100.00,100.00,100.00
20,2016-01-11,10,72500.00,7250000.00,100.00,100.00,100.00
