S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-12-29,7,3800.00,33961.00,9.10,8.93,9.10
2,2021-12-28,8,2700.00,24514.00,9.18,9.00,9.00
3,2021-12-27,24,27270.00,248514.60,9.17,9.00,9.00
4,2021-12-26,25,27600.00,249337.00,9.20,8.99,9.10
5,2021-12-23,15,4565.00,41402.05,9.17,8.97,9.17
6,2021-12-22,27,27615.00,246657.25,9.15,8.80,9.15
7,2021-12-21,10,1725.00,15501.75,9.15,8.85,9.15
8,2021-12-20,22,40501.00,360047.44,9.12,8.82,8.94
9,2021-12-16,15,8570.00,77676.80,9.48,8.82,8.99
10,2021-12-15,19,31425.00,282996.50,9.20,9.00,9.00
11,2021-12-14,5,13000.00,117304.00,9.11,8.95,9.11
12,2021-12-13,13,21449.00,191708.00,9.00,8.91,8.95
13,2021-12-12,14,24300.00,221786.00,9.17,9.00,9.09
14,2021-12-09,20,12400.00,112699.00,9.13,8.99,9.03
15,2021-12-08,19,9100.00,82592.00,9.20,8.96,8.96
16,2021-12-07,18,6500.00,59289.50,9.20,9.00,9.19
17,2021-12-06,18,13800.00,124737.00,9.15,8.97,9.15
18,2021-12-05,23,33117.00,300507.43,9.12,9.00,9.03
19,2021-12-02,32,21501.00,198140.20,9.36,9.20,9.21
20,2021-12-01,14,3700.00,34211.00,9.35,9.17,9.35
21,2021-11-30,21,17137.00,157612.40,9.30,9.18,9.21
22,2021-11-29,12,2713.00,25492.20,9.50,9.35,9.35
23,2021-11-28,21,7160.00,66512.20,9.44,9.22,9.44
24,2021-11-25,17,5250.00,49130.00,9.48,9.30,9.32
25,2021-11-24,18,38350.00,359083.00,9.50,9.31,9.32
26,2021-11-23,19,10800.00,101359.00,9.50,9.35,9.37
27,2021-11-22,23,6500.00,62025.00,9.63,9.35,9.41
28,2021-11-21,26,10200.00,96862.00,9.54,9.36,9.54
29,2021-11-18,24,14150.00,134670.20,9.68,9.40,9.50
30,2021-11-17,20,7800.00,75030.00,9.83,9.38,9.50
31,2021-11-16,28,19475.00,185424.75,9.69,9.40,9.64
32,2021-11-15,29,10610.00,100223.80,9.72,9.20,9.55
33,2021-11-14,29,13080.00,123420.50,9.54,9.36,9.54
34,2021-11-11,24,10650.00,100680.70,9.60,9.36,9.48
35,2021-11-09,39,47500.00,453306.00,9.70,9.47,9.50
36,2021-11-08,19,12255.00,118735.50,9.70,9.50,9.69
37,2021-11-03,30,26600.00,256664.00,9.78,9.60,9.61
38,2021-11-02,25,67700.00,653260.00,9.80,9.60,9.60
39,2021-11-01,21,15900.00,153921.50,9.85,9.65,9.66
40,2021-10-31,32,29500.00,286585.00,9.81,9.60,9.76
41,2021-10-28,22,19160.00,187101.50,9.90,9.70,9.78
42,2021-10-27,13,5700.00,55915.00,9.90,9.78,9.82
43,2021-10-26,14,4600.00,45765.00,10.00,9.65,9.97
44,2021-10-25,23,10350.00,100859.00,9.89,9.65,9.77
45,2021-10-24,30,25350.00,244704.21,9.90,9.54,9.70
46,2021-10-21,13,4970.00,48799.70,10.00,9.71,9.90
47,2021-10-20,13,17400.00,167502.00,9.97,9.50,9.90
48,2021-10-19,33,35911.00,338598.81,9.90,9.36,9.41
49,2021-10-18,17,13200.00,129838.00,9.89,9.70,9.89
50,2021-10-17,12,12400.00,122757.00,10.04,9.70,10.04
51,2021-10-11,9,3600.00,34611.00,9.75,9.56,9.75
52,2021-10-10,16,9200.00,89281.00,9.90,9.57,9.81
53,2021-10-06,17,9450.00,91404.50,9.89,9.61,9.62
54,2021-10-05,17,4650.00,43923.50,9.61,9.25,9.51
55,2021-10-04,23,12370.00,116027.50,9.69,9.31,9.32
56,2021-10-03,33,18180.00,171570.90,9.50,9.30,9.50
57,2021-09-30,18,12050.00,114918.50,9.65,9.42,9.52
58,2021-09-29,26,16550.00,158148.50,9.67,9.40,9.61
59,2021-09-28,34,21564.00,203289.50,9.52,9.32,9.40
60,2021-09-27,35,15600.00,146963.00,9.69,9.32,9.50
61,2021-09-26,26,10400.00,100460.90,9.80,9.58,9.59
62,2021-09-23,48,56000.00,541549.60,9.88,9.47,9.70
63,2021-09-22,31,74300.00,721626.00,10.00,9.62,9.65
64,2021-09-21,36,27650.00,268715.00,9.80,9.50,9.61
65,2021-09-20,52,50450.00,491267.00,9.89,9.71,9.71
66,2021-09-16,48,55350.00,545588.50,10.00,9.82,9.85
67,2021-09-15,16,6700.00,67234.00,10.10,9.90,9.93
68,2021-09-14,26,18800.00,186398.00,10.05,9.90,9.91
69,2021-09-13,28,21100.00,209395.96,9.98,9.85,9.92
70,2021-09-12,28,21600.00,215410.00,10.00,9.89,9.96
71,2021-09-09,54,63081.00,625125.19,10.00,9.85,9.88
72,2021-09-08,27,14900.00,149025.52,10.05,9.97,10.03
73,2021-09-07,23,9120.00,91526.00,10.09,9.95,10.00
74,2021-09-06,31,30050.00,301525.50,10.10,9.95,10.05
75,2021-09-05,55,40555.00,406688.00,10.30,9.85,9.95
76,2021-09-02,33,16950.00,170491.80,10.15,9.98,10.10
