S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-12-29,9,98.00,89470.00,920.00,905.00,915.00
2,2021-12-28,27,634.00,574786.50,938.00,882.10,905.00
3,2021-12-27,42,1074.00,998329.00,950.00,900.00,900.00
4,2021-12-26,42,741.00,694096.80,966.00,893.00,935.10
5,2021-12-23,39,2040.00,1871508.00,931.00,891.80,893.00
6,2021-12-22,26,950.00,872409.00,930.00,906.00,912.00
7,2021-12-21,26,1335.00,1206728.00,922.70,891.00,895.00
8,2021-12-20,23,392.00,342894.70,887.10,860.00,887.00
9,2021-12-16,21,455.00,405655.00,906.00,885.00,886.00
10,2021-12-15,51,2002.00,1825165.50,924.00,891.00,906.00
11,2021-12-14,20,780.00,703830.00,909.00,865.00,906.00
12,2021-12-13,65,2204.00,1933657.50,900.00,850.00,851.00
13,2021-12-12,32,955.00,852686.00,918.00,882.00,890.00
14,2021-12-09,44,1707.00,1534826.80,912.00,882.00,900.00
15,2021-12-08,55,1415.00,1294404.50,965.90,888.00,910.00
16,2021-12-07,51,1864.00,1791783.00,1020.00,904.00,904.00
17,2021-12-06,61,3009.00,2771765.00,947.00,893.20,947.00
18,2021-12-05,36,1899.00,1764574.60,970.00,920.00,930.00
19,2021-12-02,29,1051.00,1027376.00,994.00,970.00,970.00
20,2021-12-01,34,1314.00,1316170.00,1020.00,988.00,988.00
21,2021-11-30,42,1816.00,1786422.00,1004.70,971.00,990.00
22,2021-11-29,49,1463.00,1454421.00,1006.00,985.00,985.00
23,2021-11-28,62,3064.00,3065129.00,1026.00,995.00,1000.00
24,2021-11-25,24,806.00,828811.00,1055.00,1020.00,1026.00
25,2021-11-24,33,970.00,990416.50,1035.00,1000.00,1035.00
26,2021-11-23,44,1797.00,1832889.00,1035.00,1010.00,1030.00
27,2021-11-22,49,1061.00,1097041.00,1060.00,1020.00,1026.00
28,2021-11-21,49,1163.00,1220638.00,1071.00,1033.00,1035.00
29,2021-11-18,58,1852.00,1957005.20,1092.00,1038.80,1050.00
30,2021-11-17,60,2261.00,2437361.60,1091.40,1050.00,1071.00
31,2021-11-16,57,1890.00,1987101.00,1087.70,1024.10,1060.00
32,2021-11-15,57,2451.00,2539397.50,1061.80,1021.00,1025.10
33,2021-11-14,64,3813.00,3928802.50,1065.00,1018.10,1021.00
34,2021-11-11,80,2227.00,2335262.20,1076.90,1012.00,1050.00
35,2021-11-09,79,3240.00,3410240.00,1083.00,1031.00,1033.00
36,2021-11-08,43,1512.00,1697344.00,1150.00,1105.00,1105.00
37,2021-11-03,39,1682.00,1931354.00,1173.00,1127.10,1150.00
38,2021-11-02,40,1950.00,2293887.00,1212.00,1118.30,1150.00
39,2021-11-01,91,3601.00,4252741.50,1269.20,1142.00,1142.00
40,2021-10-31,143,7583.00,8516988.00,1184.20,1058.40,1164.00
41,2021-10-28,68,2670.00,2846907.90,1109.70,1048.60,1079.00
42,2021-10-27,95,5118.00,5440887.00,1100.00,1039.00,1088.00
43,2021-10-26,71,2095.00,2262597.90,1122.00,1025.00,1063.00
44,2021-10-25,62,2477.00,2512854.00,1025.00,990.00,1025.00
45,2021-10-24,39,1071.00,1051614.00,1020.00,955.00,990.00
46,2021-10-21,50,2135.00,2071149.50,1015.00,922.50,1014.00
47,2021-10-20,39,1120.00,1109991.00,1067.00,936.90,1025.00
48,2021-10-19,55,1805.00,1706565.00,970.00,930.00,970.00
49,2021-10-18,28,830.00,827717.00,1024.10,985.10,988.90
50,2021-10-17,27,700.00,734351.00,1135.00,1029.00,1045.00
51,2021-10-11,22,2058.00,2161786.00,1091.00,1029.00,1050.00
52,2021-10-10,40,2424.00,2580684.00,1122.00,1050.00,1070.00
53,2021-10-06,58,1803.00,1957342.00,1189.00,1040.00,1100.00
54,2021-10-05,47,1260.00,1324054.00,1091.40,1010.00,1090.00
55,2021-10-04,69,1575.00,1598722.80,1090.30,990.00,1070.00
56,2021-10-03,63,2525.00,2774289.00,1142.00,1050.00,1069.00
57,2021-09-30,90,2644.00,2729874.50,1119.90,992.00,1119.90
58,2021-09-29,73,2109.00,2104543.00,1072.50,960.00,1056.00
59,2021-09-28,82,3578.00,3556657.00,1064.90,971.00,975.00
60,2021-09-27,93,3031.00,3221466.00,1106.00,997.90,1065.00
61,2021-09-26,75,2429.00,2717610.00,1160.00,1080.00,1106.00
62,2021-09-23,111,3958.00,4773142.00,1240.00,1170.00,1180.10
63,2021-09-22,258,6324.00,8235787.00,1347.00,1230.00,1327.00
64,2021-09-21,126,4787.00,5577514.60,1227.00,1063.30,1227.00
65,2021-09-20,157,4631.00,5605825.00,1300.00,1155.00,1160.00
66,2021-09-16,112,4861.00,6275079.00,1305.00,1280.00,1280.00
67,2021-09-15,119,4869.00,6323873.00,1395.00,1265.00,1312.00
68,2021-09-14,68,1520.00,2074768.00,1380.00,1340.10,1379.00
69,2021-09-13,107,2965.00,4068595.00,1407.00,1353.00,1375.00
70,2021-09-12,197,7991.00,10894848.60,1390.00,1325.00,1380.00
71,2021-09-09,115,4705.00,6091584.00,1331.00,1280.00,1310.00
72,2021-09-08,139,4575.00,5975825.50,1351.00,1280.00,1305.00
73,2021-09-07,155,7207.00,9532349.00,1405.00,1278.90,1300.00
74,2021-09-06,136,3706.00,5014735.50,1410.00,1281.00,1398.00
75,2021-09-05,187,8156.00,10752107.00,1416.10,1300.50,1300.50
76,2021-09-02,148,6272.00,8710532.00,1476.00,1339.00,1445.00
77,2021-09-01,216,6391.00,8907716.00,1479.00,1300.00,1448.00
78,2021-08-31,382,14913.00,20447077.10,1479.00,1346.30,1346.30
79,2021-08-29,466,22376.00,33646922.00,1628.80,1495.80,1495.80
80,2021-08-26,514,20481.00,30084048.00,1662.00,1402.00,1662.00
81,2021-08-25,630,26750.00,39881109.10,1599.10,1468.60,1550.00
82,2021-08-24,148,4658.00,7605711.60,1776.80,1631.70,1631.70
83,2021-08-19,607,24376.00,40066835.60,1849.20,1593.00,1813.00
84,2021-08-18,603,20233.00,33103941.10,1770.00,1536.70,1770.00
85,2021-08-17,385,11943.00,19887009.30,1683.00,1560.60,1683.00
86,2021-08-16,500,15796.00,22489207.80,1537.80,1316.50,1530.00
87,2021-08-15,533,23547.00,30842591.90,1400.00,1242.00,1398.00
88,2021-08-12,308,14822.00,19553411.50,1331.00,1234.00,1331.00
89,2021-08-11,481,19474.00,23082752.00,1210.00,1080.00,1210.00
90,2021-08-10,146,8160.00,9008713.00,1143.90,1085.00,1100.00
91,2021-08-09,173,5454.00,5989406.00,1125.00,1079.50,1110.00
92,2021-08-08,209,6768.00,7418847.50,1120.00,1060.00,1100.00
93,2021-08-05,278,12292.00,13612815.00,1162.80,1085.10,1100.00
94,2021-08-04,461,14963.00,17045879.80,1185.80,1099.50,1152.60
95,2021-08-03,443,17893.00,18529633.50,1078.00,997.00,1078.00
96,2021-08-02,89,2335.00,2300174.00,1005.00,975.00,980.00
97,2021-08-01,95,5907.00,5841042.00,1005.00,961.00,989.00
98,2021-07-29,111,4385.00,4280664.50,999.60,965.00,999.00
99,2021-07-28,220,6938.00,6945198.50,1025.00,975.00,1002.00
100,2021-07-27,166,5827.00,5713956.00,1010.00,940.00,976.10
101,2021-07-26,67,2890.00,2753453.50,970.00,950.00,950.10
102,2021-07-25,145,5781.00,5553734.00,986.00,947.00,967.00
103,2021-07-22,334,16210.00,15839914.40,1000.00,941.00,967.00
104,2021-07-20,73,1060.00,982347.00,937.00,903.00,930.00
105,2021-07-19,55,1119.00,1032987.80,930.00,912.00,920.00
106,2021-07-18,101,2851.00,2634206.90,940.00,900.00,939.00
107,2021-07-15,103,4000.00,3620310.00,930.00,900.00,906.00
108,2021-07-14,59,1305.00,1187820.00,928.00,900.00,915.00
109,2021-07-13,45,771.00,697689.00,910.00,900.00,910.00
110,2021-07-12,57,2670.00,2421280.00,920.00,902.00,903.00
111,2021-07-11,91,2120.00,1933450.00,930.00,900.00,909.00
112,2021-07-08,79,2672.00,2432264.00,925.00,896.00,902.00
113,2021-07-07,44,600.00,540534.00,907.00,893.00,907.00
114,2021-07-06,90,1340.00,1227810.00,945.00,892.00,910.00
115,2021-07-05,95,1966.00,1773093.00,910.00,895.00,905.00
116,2021-07-04,83,1629.00,1489984.00,920.00,901.00,913.00
117,2021-07-01,93,4440.00,4122720.00,940.00,891.00,936.00
118,2021-06-30,80,1608.00,1488445.00,943.00,907.00,927.00
119,2021-06-29,52,1330.00,1232050.00,940.00,915.00,925.00
120,2021-06-28,50,710.00,674120.00,970.00,933.00,950.00
121,2021-06-27,118,3500.00,3331020.00,1008.00,931.00,964.00
122,2021-06-24,101,2380.00,2245770.00,965.00,920.00,960.00
123,2021-06-23,52,1115.00,1050395.00,960.00,933.00,936.00
124,2021-06-22,90,3954.00,3761428.00,991.00,936.00,951.00
125,2021-06-21,102,3410.00,3271460.00,980.00,937.00,954.00
126,2021-06-20,266,8256.00,7894878.00,1000.00,925.00,980.00
127,2021-06-17,192,4414.00,4035480.00,954.00,889.00,950.00
128,2021-06-16,171,3420.00,3178810.00,963.00,885.00,914.00
129,2021-06-15,159,4493.00,4289895.00,966.00,943.00,950.00
130,2021-06-14,125,3620.00,3513580.00,999.00,956.00,974.00
131,2021-06-13,189,6830.00,6726265.00,1005.00,970.00,970.00
132,2021-06-10,228,12413.00,12024905.00,1005.00,943.00,986.00
133,2021-06-09,105,1821.00,1800462.00,1000.00,985.00,1000.00
134,2021-06-08,88,3190.00,3173870.00,1021.00,982.00,994.00
135,2021-06-07,119,3880.00,3865440.00,1033.00,975.00,990.00
136,2021-06-06,167,3992.00,4008115.00,1021.00,993.00,996.00
137,2021-06-03,124,1684.00,1708688.00,1048.00,994.00,1012.00
138,2021-06-02,224,2625.00,2632602.00,1031.00,968.00,1030.00
139,2021-06-01,284,6215.00,6142170.00,1020.00,968.00,999.00
