S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-12-29,2,50.00,47975.00,969.00,950.00,950.00
2,2021-12-26,1,50.00,48450.00,969.00,969.00,969.00
3,2021-12-23,1,200.00,190000.00,950.00,950.00,950.00
4,2021-12-20,1,25.00,23750.00,950.00,950.00,950.00
5,2021-12-13,2,45.00,42750.00,950.00,950.00,950.00
6,2021-12-12,1,25.00,23750.00,950.00,950.00,950.00
7,2021-12-05,2,50.00,47177.50,945.00,942.10,942.10
8,2021-12-02,2,55.00,51975.00,945.00,945.00,945.00
9,2021-11-29,1,25.00,23627.50,945.10,945.10,945.10
10,2021-11-25,1,30.00,28500.00,950.00,950.00,950.00
11,2021-11-24,2,20.00,19260.00,963.00,963.00,963.00
12,2021-11-23,1,30.00,28440.00,948.00,948.00,948.00
13,2021-11-18,1,50.00,47500.00,950.00,950.00,950.00
14,2021-11-15,3,65.00,62469.00,966.90,960.00,960.00
15,2021-11-14,5,225.00,213452.50,950.10,948.00,950.00
16,2021-11-08,1,10.00,9480.00,948.00,948.00,948.00
17,2021-11-01,1,100.00,94910.00,949.10,949.10,949.10
18,2021-10-31,1,30.00,28473.00,949.10,949.10,949.10
19,2021-10-26,2,50.00,47450.00,949.00,949.00,949.00
20,2021-10-25,1,25.00,23675.00,947.00,947.00,947.00
21,2021-10-24,2,50.00,47525.00,953.00,948.00,953.00
22,2021-10-21,1,25.00,23850.00,954.00,954.00,954.00
23,2021-10-04,1,15.00,14373.00,958.20,958.20,958.20
24,2021-10-03,5,145.00,139204.50,960.10,960.00,960.00
25,2021-09-29,2,60.00,57790.00,979.00,960.00,979.00
26,2021-09-28,1,25.00,24250.00,970.00,970.00,970.00
27,2021-09-26,2,50.00,48500.00,970.00,970.00,970.00
28,2021-09-22,1,30.00,29010.00,967.00,967.00,967.00
29,2021-09-21,1,25.00,24125.00,965.00,965.00,965.00
30,2021-09-16,2,55.00,53775.00,980.00,975.00,975.00
31,2021-09-15,1,25.00,24275.00,971.00,971.00,971.00
32,2021-09-14,1,300.00,295170.00,983.90,983.90,983.90
33,2021-09-13,3,70.00,68600.00,985.00,973.00,973.00
34,2021-09-12,1,25.00,24625.00,985.00,985.00,985.00
35,2021-09-09,2,55.00,53825.00,989.00,970.00,989.00
36,2021-09-08,1,25.00,24525.00,981.00,981.00,981.00
37,2021-09-06,3,105.00,102681.00,980.00,975.20,977.00
38,2021-09-05,1,30.00,29100.00,970.00,970.00,970.00
39,2021-09-01,1,30.00,29490.00,983.00,983.00,983.00
40,2021-08-31,6,170.00,167875.00,990.00,980.00,990.00
41,2021-08-29,5,255.00,250550.00,983.00,980.00,983.00
42,2021-08-26,2,50.00,49000.00,980.00,980.00,980.00
43,2021-08-25,1,50.00,49000.00,980.00,980.00,980.00
44,2021-08-24,1,25.00,24575.00,983.00,983.00,983.00
45,2021-08-19,6,185.00,181620.00,983.00,981.00,983.00
46,2021-08-18,6,235.00,230951.00,985.00,980.00,985.00
47,2021-08-17,3,155.00,152422.00,983.40,983.20,983.40
48,2021-08-16,3,105.00,103171.00,985.00,981.00,983.20
49,2021-08-15,5,330.00,325337.50,988.00,985.10,985.10
50,2021-08-12,2,45.00,44460.00,988.00,988.00,988.00
51,2021-08-11,3,150.00,148155.00,988.50,986.10,988.50
52,2021-08-10,3,75.00,74002.50,988.00,986.00,986.10
53,2021-08-09,6,95.00,93737.00,987.00,986.20,986.20
54,2021-08-08,3,55.00,54208.00,986.20,985.00,986.20
55,2021-08-05,1,10.00,9860.00,986.00,986.00,986.00
56,2021-08-04,7,320.00,315041.00,985.60,983.00,985.00
57,2021-08-03,2,40.00,39600.00,990.00,990.00,990.00
58,2021-08-02,4,355.00,349675.00,985.00,985.00,985.00
59,2021-08-01,1,25.00,24750.00,990.00,990.00,990.00
60,2021-07-29,3,75.00,74308.00,995.00,985.10,995.00
61,2021-07-28,5,235.00,232400.00,995.00,984.00,990.00
62,2021-07-27,3,180.00,177180.00,985.00,981.00,985.00
63,2021-07-26,2,270.00,265950.00,985.00,985.00,985.00
64,2021-07-25,4,450.00,447750.00,995.00,995.00,995.00
65,2021-07-22,5,130.00,129357.00,996.00,994.00,996.00
66,2021-07-20,4,75.00,74675.00,1000.00,995.00,995.00
67,2021-07-19,3,450.00,447750.00,995.00,995.00,995.00
68,2021-07-18,2,95.00,93722.50,995.00,984.30,995.00
69,2021-07-15,1,25.00,25100.00,1004.00,1004.00,1004.00
70,2021-07-13,2,50.00,50325.00,1009.00,1004.00,1009.00
71,2021-07-12,6,147.00,147979.00,1007.00,1006.00,1006.00
72,2021-07-11,7,325.00,327300.00,1008.00,1005.00,1008.00
73,2021-07-07,2,65.00,65275.00,1005.00,1003.00,1005.00
74,2021-07-06,3,80.00,80350.00,1005.00,1004.00,1004.00
75,2021-07-05,8,275.00,275750.00,1004.00,1002.00,1002.00
76,2021-07-04,9,230.00,230810.00,1005.00,1001.00,1005.00
77,2021-07-01,2,45.00,45200.00,1005.00,1004.00,1004.00
78,2021-06-29,4,100.00,100500.00,1007.00,1003.00,1007.00
