S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-12-29,9,23000.00,237385.00,10.41,10.20,10.36
2,2021-12-28,13,20500.00,210930.00,10.50,10.21,10.21
3,2021-12-27,5,8100.00,83410.00,10.34,10.26,10.30
4,2021-12-26,10,29410.00,304404.00,10.40,10.20,10.35
5,2021-12-23,6,4400.00,45785.00,10.48,10.20,10.31
6,2021-12-22,6,21350.00,219905.00,10.30,10.30,10.30
7,2021-12-21,6,10100.00,103020.00,10.25,10.15,10.25
8,2021-12-20,13,77636.00,791845.84,10.39,10.19,10.19
9,2021-12-16,4,7100.00,72691.00,10.25,10.21,10.25
10,2021-12-15,11,29670.00,305714.30,10.49,10.14,10.27
11,2021-12-14,2,300.00,3100.00,10.34,10.33,10.34
12,2021-12-13,13,140272.00,1424779.08,10.25,10.14,10.25
13,2021-12-12,4,1600.00,16426.00,10.29,10.09,10.20
14,2021-12-09,14,41500.00,429111.00,10.49,10.01,10.49
15,2021-12-08,7,13300.00,135050.00,10.20,10.13,10.20
16,2021-12-07,14,17975.00,183321.50,10.32,10.09,10.32
17,2021-12-06,14,28700.00,290740.00,10.21,10.05,10.21
18,2021-12-05,11,21596.00,222220.20,10.54,10.15,10.17
19,2021-12-02,20,89700.00,932890.00,10.59,10.29,10.34
20,2021-12-01,6,13050.00,136595.00,10.50,10.36,10.40
21,2021-11-30,6,4500.00,46510.00,10.50,10.31,10.32
22,2021-11-29,10,34350.00,354737.50,10.49,10.30,10.33
23,2021-11-28,39,541000.00,5504510.90,10.40,10.13,10.29
24,2021-11-25,21,116925.00,1222447.50,10.75,10.40,10.50
25,2021-11-24,10,25400.00,265949.00,10.55,10.44,10.55
26,2021-11-23,16,40020.00,422877.30,10.79,10.53,10.65
27,2021-11-22,14,19200.00,203666.00,10.92,10.41,10.70
28,2021-11-21,19,64688.00,681603.66,10.62,10.50,10.55
29,2021-11-18,3,2700.00,28651.00,10.62,10.53,10.61
30,2021-11-17,5,2990.00,31757.80,10.80,10.60,10.62
31,2021-11-16,12,56000.00,594480.00,10.70,10.60,10.60
32,2021-11-15,23,39770.00,421074.70,10.85,10.50,10.67
33,2021-11-14,7,8200.00,86881.00,10.65,10.51,10.65
34,2021-11-11,13,51420.00,550826.80,11.10,10.69,10.70
35,2021-11-09,4,10360.00,112954.00,10.91,10.70,10.90
36,2021-11-08,3,12900.00,141950.00,11.01,11.00,11.00
37,2021-11-03,14,31200.00,343013.00,11.22,10.87,11.02
38,2021-11-02,15,45370.00,492864.70,11.00,10.80,10.89
39,2021-11-01,13,42269.00,454258.68,10.92,10.72,10.73
40,2021-10-31,21,63250.00,682638.00,10.95,10.50,10.92
41,2021-10-28,8,22600.00,241405.00,10.80,10.49,10.75
42,2021-10-27,10,24720.00,263722.00,10.70,10.61,10.70
43,2021-10-26,23,115700.00,1225055.60,10.70,10.52,10.67
44,2021-10-25,11,29555.00,310397.00,10.60,10.34,10.60
45,2021-10-24,12,39100.00,409061.00,10.57,10.21,10.43
46,2021-10-21,6,21400.00,221015.00,10.37,10.26,10.37
47,2021-10-20,14,73100.00,751673.00,10.37,10.26,10.37
48,2021-10-19,9,26700.00,273923.00,10.35,10.24,10.35
49,2021-10-18,2,1190.00,12405.50,10.45,10.42,10.42
50,2021-10-17,6,24500.00,255595.00,10.51,10.32,10.40
51,2021-10-11,11,88848.00,919065.28,10.44,10.31,10.44
52,2021-10-10,18,66700.00,693350.00,10.50,10.29,10.40
53,2021-10-06,33,215300.00,2225200.00,10.44,10.21,10.40
54,2021-10-05,9,27350.00,282239.50,10.38,10.27,10.37
55,2021-10-04,13,37300.00,382011.50,10.42,10.22,10.23
56,2021-10-03,23,63100.00,650117.00,10.40,10.22,10.22
57,2021-09-30,22,65000.00,676840.00,10.55,10.34,10.40
58,2021-09-29,14,38200.00,396255.00,10.47,10.25,10.40
59,2021-09-28,28,195950.00,2013970.00,10.41,10.20,10.20
60,2021-09-27,9,28500.00,296525.00,10.41,10.39,10.40
61,2021-09-26,6,5365.00,56225.20,10.50,10.47,10.48
62,2021-09-23,19,83500.00,881456.00,10.70,10.52,10.52
63,2021-09-22,17,158030.00,1675322.39,10.70,10.44,10.50
64,2021-09-21,31,140000.00,1437984.25,10.40,10.15,10.40
65,2021-09-20,29,144500.00,1507992.50,10.56,10.26,10.40
66,2021-09-16,22,99087.00,1069111.27,10.96,10.70,10.77
67,2021-09-15,25,100190.00,1085646.20,10.90,10.78,10.87
68,2021-09-14,11,47100.00,518180.00,11.05,11.00,11.00
69,2021-09-13,38,120600.00,1345056.20,11.30,11.00,11.00
70,2021-09-12,27,140815.00,1551718.10,11.19,10.99,11.09
