S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2020-10-15,2,21692.00,2603040.00,120.00,120.00,120.00
2,2020-10-14,1,4209.00,505080.00,120.00,120.00,120.00
3,2019-12-08,4,64498.00,7739760.00,120.00,120.00,120.00
4,2019-12-03,2,19210.00,2305200.00,120.00,120.00,120.00
5,2019-11-28,1,18232.00,2187840.00,120.00,120.00,120.00
6,2019-11-25,1,11064.00,1327680.00,120.00,120.00,120.00
7,2018-06-17,2,44433.00,5331960.00,120.00,120.00,120.00
8,2017-08-27,1,11709.00,3219975.00,275.00,275.00,275.00
9,2013-07-15,1,5326.00,1038570.00,195.00,195.00,195.00
10,2012-10-02,1,2000.00,390000.00,195.00,195.00,195.00
11,2011-10-17,5,5208.00,1015560.00,195.00,195.00,195.00
12,2011-07-12,10,11360.00,2215200.00,195.00,195.00,195.00
