S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-11-02,1,5000.00,2660000.00,532.00,532.00,532.00
2,2021-02-01,1,10000.00,5950000.00,595.00,595.00,595.00
3,2019-05-22,1,88596.00,26135820.00,295.00,295.00,295.00
4,2018-03-07,3,1000.00,550000.00,550.00,550.00,550.00
5,2018-01-21,1,386.00,212300.00,550.00,550.00,550.00
6,2017-02-23,1,5850.00,3042000.00,520.00,520.00,520.00
7,2017-02-22,1,1300.00,663000.00,510.00,510.00,510.00
8,2017-02-12,1,5850.00,2925000.00,500.00,500.00,500.00
9,2017-02-09,1,6500.00,3250000.00,500.00,500.00,500.00
10,2014-12-29,2,13200.00,5016000.00,380.00,380.00,380.00
