S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-12-06,7,11197.00,4056300.00,413.00,413.00,413.00
2,2021-12-01,1,15.00,1500.00,413.00,413.00,413.00
3,2021-10-25,1,2450.00,1011850.00,413.00,413.00,413.00
4,2021-07-15,1,100.00,38300.00,275.00,275.00,275.00
5,2021-06-21,1,1850.00,185000.00,275.00,275.00,275.00
6,2021-06-20,13,255.00,25500.00,275.00,275.00,275.00
7,2021-05-17,1,5000.00,1375000.00,275.00,275.00,275.00
8,2021-05-13,4,173744.00,66610956.32,275.00,275.00,275.00
9,2021-05-09,1,75000.00,20625000.00,275.00,275.00,275.00
10,2021-04-28,16,17020.00,5016230.00,275.00,275.00,275.00
11,2021-04-22,1,38500.00,10587500.00,275.00,275.00,275.00
12,2021-04-21,1,38500.00,10587500.00,275.00,275.00,275.00
13,2021-03-15,2,75000.00,20625000.00,275.00,275.00,275.00
14,2021-03-14,1,90000.00,24750000.00,275.00,275.00,275.00
15,2021-03-10,2,184840.00,50831000.00,275.00,275.00,275.00
16,2021-02-15,3,3000.00,825000.00,275.00,275.00,275.00
17,2021-02-09,2,50200.00,13704600.00,273.00,273.00,273.00
18,2021-01-28,2,174000.00,47502000.00,273.00,273.00,273.00
19,2021-01-26,1,100000.00,27800000.00,278.00,278.00,278.00
20,2021-01-25,5,302100.00,84160500.00,278.00,278.00,278.00
21,2021-01-24,4,70000.00,19834000.00,278.00,278.00,278.00
22,2021-01-21,1,43647.00,12133866.00,278.00,278.00,278.00
23,2021-01-20,3,321674.00,89425372.00,278.00,278.00,278.00
24,2021-01-19,6,390000.00,108420000.00,278.00,278.00,278.00
25,2021-01-18,3,456500.00,126907000.00,278.00,278.00,278.00
26,2021-01-13,1,20000.00,5560000.00,278.00,278.00,278.00
27,2021-01-12,1,20000.00,5660000.00,283.00,283.00,283.00
28,2021-01-11,1,15000.00,4320000.00,288.00,288.00,288.00
29,2021-01-10,1,10000.00,2930000.00,293.00,293.00,293.00
30,2021-01-07,1,10000.00,2980000.00,298.00,298.00,298.00
31,2021-01-06,1,25000.00,7600000.00,304.00,304.00,304.00
32,2020-12-30,2,157860.00,48936600.00,310.00,310.00,310.00
33,2020-12-29,1,150000.00,47400000.00,316.00,316.00,316.00
34,2020-12-15,2,200.00,55200.00,322.00,322.00,322.00
35,2020-11-23,11,9920.00,2734740.80,322.00,322.00,322.00
36,2020-11-22,4,4240.00,1139097.60,322.00,322.00,322.00
37,2020-11-05,2,1000.00,325000.00,328.00,322.00,322.00
38,2020-11-04,1,100000.00,33400000.00,334.00,334.00,334.00
39,2020-07-09,1,5001.00,765153.00,153.00,153.00,153.00
40,2019-12-23,2,14964.00,2334384.00,156.00,156.00,156.00
41,2019-03-31,2,9110.00,2596350.00,285.00,285.00,285.00
42,2019-03-05,1,6861.00,1955385.00,285.00,285.00,285.00
43,2018-11-18,1,13966.00,4888100.00,350.00,350.00,350.00
44,2018-09-27,1,116388.00,40735800.00,350.00,350.00,350.00
45,2018-09-04,2,1333.00,399900.00,300.00,300.00,300.00
46,2018-05-15,1,6600.00,2772000.00,420.00,420.00,420.00
47,2018-03-18,1,43750.00,18375000.00,420.00,420.00,420.00
48,2018-03-11,1,3000.00,1260000.00,420.00,420.00,420.00
49,2017-11-07,1,9114.00,4921560.00,540.00,540.00,540.00
50,2017-08-24,2,20475.00,11240775.00,549.00,549.00,549.00
51,2017-07-16,4,438264.00,240606936.00,549.00,549.00,549.00
52,2017-06-27,1,2285.00,1254465.00,549.00,549.00,549.00
53,2017-06-15,2,22250.00,12460000.00,560.00,560.00,560.00
54,2015-02-11,2,90000.00,9360000.00,104.00,104.00,104.00
55,2014-12-08,1,25000.00,2600000.00,104.00,104.00,104.00
56,2014-12-07,5,60000.00,6300000.00,110.00,104.00,104.00
57,2014-12-01,1,7980.00,893760.00,112.00,112.00,112.00
58,2014-10-19,4,55556.00,6222096.00,112.00,107.00,112.00
59,2014-10-12,2,30750.00,3227000.00,105.00,104.00,105.00
60,2014-08-25,5,62000.00,6430000.00,108.00,102.00,102.00
61,2014-07-06,1,100000.00,11000000.00,110.00,110.00,110.00
62,2014-06-25,5,150000.00,16500000.00,110.00,110.00,110.00
63,2014-05-26,2,7833.00,861630.00,110.00,110.00,110.00
64,2014-05-19,1,3000.00,330000.00,110.00,110.00,110.00
65,2014-04-30,1,10000.00,1100000.00,110.00,110.00,110.00
66,2014-03-23,1,6944.00,749952.00,108.00,108.00,108.00
67,2014-03-20,2,8890.00,960120.00,108.00,108.00,108.00
68,2013-11-14,15,953986.00,104938460.00,110.00,110.00,110.00
