S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-12-29,460,9993.00,5137808.30,520.00,506.00,515.00
2,2021-12-28,521,11579.00,5929142.00,518.50,500.00,513.00
3,2021-12-27,1294,57000.00,31293124.30,575.00,516.10,518.10
4,2021-12-26,1233,53959.00,28166311.80,535.70,484.00,535.70
5,2021-12-23,600,18998.00,9121089.50,493.00,456.10,487.00
6,2021-12-22,407,14021.00,6441155.80,468.00,441.00,465.00
7,2021-12-21,360,7755.00,3406484.00,444.00,427.00,443.00
8,2021-12-20,318,6260.00,2718942.30,441.00,430.70,435.00
9,2021-12-16,292,7646.00,3358501.40,442.00,433.00,441.00
10,2021-12-15,445,13047.00,6003567.50,480.00,448.10,448.50
11,2021-12-14,177,4255.00,1896407.00,453.90,430.00,453.00
12,2021-12-13,392,10004.00,4308069.00,434.50,424.40,428.00
13,2021-12-12,429,9765.00,4387903.00,467.00,441.00,441.00
14,2021-12-09,367,7180.00,3311904.00,470.00,457.00,464.90
15,2021-12-08,312,5877.00,2778124.30,485.00,468.00,471.00
16,2021-12-07,429,10016.00,4850337.40,494.00,470.00,480.00
17,2021-12-06,548,12284.00,5757192.50,481.00,460.00,478.00
18,2021-12-05,533,13407.00,6435181.00,500.00,472.00,475.00
19,2021-12-02,424,7894.00,3928085.50,510.00,495.00,495.10
20,2021-12-01,496,6502.00,3259279.00,510.00,498.00,503.00
21,2021-11-30,554,8776.00,4377601.00,505.00,490.20,500.10
22,2021-11-29,599,12780.00,6413871.00,510.00,497.00,500.00
23,2021-11-28,741,16345.00,8237416.00,520.00,495.00,507.00
24,2021-11-25,622,9434.00,4872292.00,520.00,510.00,519.00
25,2021-11-24,844,15039.00,7766996.90,523.00,506.20,520.00
26,2021-11-23,871,11153.00,5816655.00,529.00,518.20,520.00
27,2021-11-22,1092,13136.00,6941127.60,535.00,520.00,529.00
28,2021-11-21,960,12375.00,6571597.00,538.00,527.00,528.10
29,2021-11-18,891,15448.00,8330200.10,555.00,534.90,543.00
30,2021-11-17,1058,18903.00,10468773.00,565.00,545.00,546.10
31,2021-11-16,1309,25677.00,14046768.00,560.00,522.10,555.00
32,2021-11-15,989,16665.00,8742282.50,530.00,511.70,528.00
33,2021-11-14,988,14682.00,7635208.90,530.00,512.00,522.00
34,2021-11-11,849,10660.00,5619624.00,543.00,520.10,529.50
35,2021-11-09,873,17574.00,9658255.90,565.00,537.10,543.10
36,2021-11-08,641,11528.00,6564844.00,576.00,566.00,570.00
37,2021-11-03,586,14706.00,8493646.50,585.00,570.00,575.00
38,2021-11-02,577,13358.00,7580482.20,579.00,557.00,571.00
39,2021-11-01,595,11316.00,6466918.00,584.00,562.00,568.00
40,2021-10-31,984,14710.00,8283459.00,575.50,554.00,575.00
41,2021-10-28,813,14170.00,7941178.00,570.00,550.00,559.00
42,2021-10-27,994,24056.00,13576476.00,602.00,540.00,570.00
43,2021-10-26,763,14381.00,7820721.00,554.80,528.00,551.00
44,2021-10-25,706,11378.00,5941013.20,528.00,510.00,528.00
45,2021-10-24,805,10055.00,5144677.50,515.00,510.00,510.00
46,2021-10-21,452,10829.00,5584919.00,530.10,511.00,514.00
47,2021-10-20,456,12141.00,6311282.00,538.50,510.00,520.00
48,2021-10-19,632,11334.00,5840882.50,526.30,510.00,516.00
49,2021-10-18,524,8684.00,4650993.50,550.00,530.00,537.00
50,2021-10-17,436,5022.00,2724310.00,550.00,536.00,548.00
51,2021-10-11,637,13470.00,7235391.40,555.00,510.00,553.40
52,2021-10-10,544,14570.00,7594265.10,530.00,510.00,513.00
53,2021-10-06,635,10042.00,5163784.50,529.90,498.00,519.00
54,2021-10-05,663,10969.00,5625642.70,525.00,500.00,507.00
55,2021-10-04,943,11806.00,6013918.00,522.00,498.00,507.00
56,2021-10-03,1068,13889.00,7213754.50,533.00,515.00,515.00
57,2021-09-30,956,16819.00,9114803.00,555.00,535.00,535.00
58,2021-09-29,1137,14159.00,7573694.50,552.00,522.00,548.00
59,2021-09-28,1413,22765.00,12389938.50,564.00,534.00,535.00
60,2021-09-27,1565,22185.00,12682941.00,600.00,563.50,564.00
61,2021-09-26,1466,21174.00,12569677.70,615.00,590.00,592.00
62,2021-09-23,1813,29409.00,18231243.00,642.00,610.00,612.00
63,2021-09-22,1620,27893.00,17446654.70,645.00,608.00,630.00
64,2021-09-21,2195,39957.00,24309538.00,630.00,580.00,618.00
65,2021-09-20,3032,47368.00,30025350.50,701.70,616.00,618.00
66,2021-09-16,4855,51516.00,34762496.00,700.00,662.00,675.00
67,2021-09-15,16027,240404.00,170207110.10,787.80,690.00,699.00
68,2021-09-14,1332,13308.00,9683224.00,728.00,675.10,728.00
69,2021-09-13,110,1065.00,702836.50,661.90,598.60,661.90
70,2021-09-12,77,708.00,423480.50,601.80,547.10,601.80
71,2021-09-09,37,350.00,189997.50,547.10,497.40,547.10
72,2021-09-08,30,227.00,110504.60,497.40,443.20,497.40
73,2021-09-07,22,179.00,78325.00,452.20,414.90,452.20
74,2021-09-06,35,199.00,78912.10,411.10,373.80,411.10
75,2021-09-05,44,301.00,109336.00,373.80,333.90,373.80
76,2021-09-02,70,433.00,140157.90,339.90,309.00,339.90
