Date,Open,High,Low,Close,Volume
2019-03-11,321.0,306.0,300.0,306.0,20.0
2019-03-12,349.0,321.0,306.0,321.0,10.0
2019-03-13,366.0,349.0,321.0,349.0,30.0
2019-03-14,402.0,366.0,366.0,366.0,10.0
2019-03-17,422.0,402.0,384.0,402.0,50.0
2019-03-18,464.0,422.0,422.0,422.0,10.0
2019-03-19,510.0,464.0,443.0,464.0,40.0
2019-03-21,492.0,510.0,487.0,510.0,500.0
2019-03-24,490.0,555.0,486.0,492.0,31231.0
2019-03-25,489.0,496.0,484.0,490.0,10094.0
2019-03-26,489.0,490.0,481.0,489.0,5200.0
2019-03-27,485.0,494.0,480.0,489.0,5701.0
2019-03-28,483.0,498.0,481.0,485.0,3750.0
2019-03-31,479.0,498.0,480.0,483.0,4030.0
2019-04-01,477.0,484.0,476.0,479.0,3680.0
2019-04-02,480.0,483.0,477.0,477.0,4050.0
2019-04-03,477.0,481.0,473.0,480.0,3700.0
2019-04-04,466.0,480.0,474.0,477.0,1730.0
2019-04-07,482.0,473.0,463.0,466.0,3250.0
2019-04-08,474.0,490.0,459.0,482.0,3120.0
2019-04-09,468.0,487.0,474.0,474.0,2260.0
2019-04-10,471.0,477.0,465.0,468.0,2020.0
2019-04-11,466.0,473.0,459.0,471.0,2100.0
2019-04-15,469.0,473.0,462.0,466.0,1710.0
2019-04-16,471.0,480.0,463.0,469.0,990.0
2019-04-17,464.0,487.0,469.0,471.0,2230.0
2019-04-18,474.0,479.0,464.0,464.0,1670.0
2019-04-21,470.0,479.0,464.0,474.0,1430.0
2019-04-22,466.0,475.0,465.0,470.0,1350.0
2019-04-23,468.0,466.0,457.0,466.0,2434.0
2019-04-24,462.0,468.0,452.0,468.0,1655.0
2019-04-25,485.0,474.0,462.0,462.0,1980.0
2019-04-28,472.0,500.0,460.0,485.0,5761.0
2019-04-29,471.0,488.0,467.0,472.0,3909.0
2019-04-30,464.0,475.0,465.0,471.0,1290.0
2019-05-02,464.0,471.0,464.0,464.0,2100.0
2019-05-05,465.0,470.0,463.0,464.0,1960.0
2019-05-06,464.0,465.0,460.0,465.0,1420.0
2019-05-07,470.0,464.0,456.0,464.0,1710.0
2019-05-08,469.0,473.0,450.0,470.0,4104.0
2019-05-09,465.0,470.0,464.0,469.0,970.0
2019-05-12,471.0,467.0,456.0,465.0,370.0
2019-05-13,466.0,471.0,460.0,471.0,1050.0
2019-05-14,464.0,475.0,459.0,466.0,670.0
2019-05-15,455.0,471.0,459.0,464.0,1940.0
2019-05-16,442.0,461.0,450.0,455.0,3019.0
2019-05-19,449.0,463.0,442.0,442.0,2240.0
2019-05-20,450.0,459.0,435.0,449.0,1790.0
2019-05-21,450.0,466.0,433.0,450.0,1290.0
2019-05-22,445.0,463.0,446.0,450.0,1050.0
2019-05-23,441.0,468.0,445.0,445.0,1140.0
2019-05-26,442.0,448.0,438.0,441.0,1480.0
2019-05-27,440.0,449.0,438.0,442.0,915.0
2019-05-28,442.0,441.0,435.0,440.0,1080.0
2019-05-29,444.0,444.0,436.0,442.0,1840.0
2019-05-30,447.0,468.0,430.0,444.0,4693.0
2019-06-02,432.0,447.0,436.0,447.0,1040.0
2019-06-03,438.0,441.0,430.0,432.0,1420.0
2019-06-04,441.0,451.0,430.0,438.0,2140.0
2019-06-06,428.0,441.0,430.0,441.0,2223.0
2019-06-10,422.0,441.0,428.0,428.0,1450.0
2019-06-11,417.0,457.0,420.0,422.0,1090.0
2019-06-12,416.0,430.0,406.0,417.0,1810.0
2019-06-13,399.0,421.0,410.0,416.0,910.0
2019-06-16,404.0,416.0,390.0,399.0,2270.0
2019-06-17,400.0,409.0,391.0,404.0,1295.0
2019-06-18,402.0,415.0,396.0,400.0,1840.0
2019-06-19,400.0,402.0,389.0,402.0,560.0
2019-06-20,395.0,405.0,394.0,400.0,390.0
2019-06-23,400.0,404.0,395.0,395.0,620.0
2019-06-24,407.0,405.0,395.0,400.0,960.0
2019-06-25,390.0,415.0,392.0,407.0,510.0
2019-06-26,401.0,399.0,388.0,390.0,1590.0
2019-06-27,395.0,401.0,388.0,401.0,1009.0
2019-06-30,389.0,408.0,389.0,395.0,620.0
2019-07-01,397.0,394.0,382.0,389.0,790.0
2019-07-02,397.0,397.0,388.0,397.0,640.0
2019-07-03,398.0,410.0,385.0,397.0,1080.0
