Date,Open,High,Low,Close,Volume
2010-05-30,322.0,301.0,301.0,301.0,315.0
2010-05-31,328.0,322.0,305.0,322.0,300.0
2010-06-02,334.0,328.0,328.0,328.0,63.0
2010-06-03,359.0,334.0,334.0,334.0,40.0
2010-06-07,366.0,359.0,340.0,359.0,115.0
2010-06-08,380.0,366.0,366.0,366.0,20.0
2010-06-09,418.0,380.0,373.0,380.0,20.0
2010-06-10,450.0,418.0,387.0,418.0,110.0
2010-06-13,459.0,450.0,418.0,450.0,151.0
2010-06-14,465.0,459.0,459.0,459.0,70.0
2010-06-15,474.0,470.0,460.0,465.0,449.0
2010-06-16,483.0,474.0,452.0,474.0,393.0
2010-06-17,492.0,483.0,482.0,483.0,60.0
2010-06-20,500.0,492.0,489.0,492.0,193.0
2010-06-21,510.0,501.0,500.0,500.0,50.0
2010-06-22,530.0,510.0,510.0,510.0,10.0
2010-06-23,530.0,530.0,520.0,530.0,80.0
2010-06-28,519.0,530.0,530.0,530.0,90.0
2010-06-30,529.0,520.0,519.0,519.0,510.0
2010-07-04,519.0,529.0,529.0,529.0,63.0
2010-07-05,509.0,519.0,519.0,519.0,66.0
2010-07-07,490.0,509.0,509.0,509.0,124.0
2010-07-08,481.0,499.0,490.0,490.0,200.0
2010-07-18,472.0,481.0,481.0,481.0,50.0
2010-07-19,465.0,472.0,472.0,472.0,20.0
2010-07-20,450.0,465.0,465.0,465.0,30.0
2010-07-21,448.0,456.0,450.0,450.0,52.0
2010-07-22,440.0,450.0,440.0,448.0,439.0
2010-07-25,438.0,440.0,440.0,440.0,101.0
2010-07-26,446.0,438.0,438.0,438.0,100.0
2010-07-28,440.0,446.0,446.0,446.0,18.0
2010-08-03,456.0,440.0,438.0,440.0,294.0
2010-08-05,450.0,456.0,448.0,456.0,70.0
2010-08-10,442.0,450.0,450.0,450.0,80.0
2010-08-11,435.0,445.0,442.0,442.0,50.0
2010-08-16,435.0,435.0,435.0,435.0,63.0
2010-08-29,430.0,435.0,435.0,435.0,33.0
2010-09-02,446.0,430.0,430.0,430.0,20.0
2010-09-12,460.0,446.0,438.0,446.0,126.0
2010-09-13,469.0,460.0,454.0,460.0,67.0
2010-09-14,475.0,469.0,460.0,469.0,130.0
2010-09-21,466.0,475.0,475.0,475.0,123.0
2010-09-23,466.0,466.0,466.0,466.0,24.0
2010-09-26,475.0,466.0,466.0,466.0,63.0
2010-09-27,475.0,475.0,475.0,475.0,231.0
2010-09-30,466.0,475.0,475.0,475.0,20.0
2010-10-03,317.0,466.0,466.0,466.0,210.0
2010-11-14,311.0,317.0,317.0,317.0,21.0
2010-11-23,245.0,311.0,311.0,311.0,21.0
2011-03-31,245.0,245.0,245.0,245.0,21.0
2011-04-28,241.0,245.0,245.0,245.0,600.0
2011-05-08,237.0,241.0,241.0,241.0,105.0
2011-05-12,238.0,237.0,237.0,237.0,189.0
