Date,Open,High,Low,Close,Volume
2020-11-22,9.85,9.9,9.0,9.9,8000.0
2020-11-23,9.81,9.99,9.82,9.85,15820.0
2020-11-24,10.15,10.0,9.81,9.81,4010.0
2020-11-25,10.02,10.15,9.7,10.15,14100.0
2020-11-26,10.1,10.09,9.76,10.02,8060.0
2020-11-29,10.0,10.21,9.87,10.1,43400.0
2020-11-30,10.05,10.1,9.9,10.0,6830.0
2020-12-01,9.9,10.1,9.95,10.05,14850.0
2020-12-02,9.7,10.0,9.9,9.9,27100.0
2020-12-03,9.56,9.8,9.66,9.7,6750.0
2020-12-06,9.9,9.6,9.39,9.56,4280.0
2020-12-07,9.71,9.9,9.4,9.9,7050.0
2020-12-08,9.49,9.9,9.52,9.71,10100.0
2020-12-09,9.57,9.55,9.49,9.49,1750.0
2020-12-10,10.0,9.57,9.35,9.57,4500.0
2020-12-13,9.89,10.0,9.55,10.0,17300.0
2020-12-14,10.05,9.9,9.71,9.89,3450.0
2020-12-15,9.85,10.05,9.76,10.05,5500.0
2020-12-16,9.85,10.0,9.85,9.85,4000.0
2020-12-17,9.62,9.85,9.67,9.85,6900.0
2020-12-20,9.61,9.75,9.62,9.62,4200.0
2020-12-21,9.98,9.61,9.43,9.61,2700.0
2020-12-22,9.61,9.98,9.42,9.98,3220.0
2020-12-23,9.79,10.17,9.61,9.61,6200.0
2020-12-24,9.7,9.79,9.46,9.79,4500.0
2020-12-27,9.54,9.7,9.7,9.7,1650.0
2020-12-28,9.46,9.73,9.54,9.54,2700.0
2020-12-29,9.5,9.64,9.35,9.46,4500.0
2020-12-30,9.8,9.64,9.45,9.5,15850.0
2020-12-31,9.85,10.06,9.46,9.8,4900.0
2021-01-03,9.9,10.0,9.8,9.85,25700.0
2021-01-04,9.95,9.9,9.8,9.9,6000.0
2021-01-05,10.0,9.99,9.86,9.95,10100.0
2021-01-06,10.0,10.0,9.86,10.0,20900.0
2021-01-07,10.0,10.0,9.76,10.0,9200.0
2021-01-10,10.05,10.0,9.85,10.0,64000.0
2021-01-11,10.2,10.05,9.85,10.05,10050.0
2021-01-12,10.2,10.25,10.0,10.2,52000.0
2021-01-13,10.1,10.25,10.0,10.2,15540.0
2021-01-17,10.2,10.25,10.1,10.1,97300.0
2021-01-18,10.33,10.3,10.13,10.2,13700.0
2021-01-19,10.35,10.35,10.0,10.33,14550.0
2021-01-20,10.55,10.35,9.93,10.35,4500.0
2021-01-21,10.34,10.55,10.15,10.55,10900.0
2021-01-24,10.3,10.4,10.0,10.34,122750.0
2021-01-25,10.6,10.3,10.05,10.3,108150.0
2021-01-26,10.1,10.6,10.0,10.6,15900.0
2021-01-27,10.04,10.39,10.06,10.1,15100.0
2021-01-28,10.14,10.1,10.02,10.04,15800.0
2021-01-31,10.0,10.14,10.05,10.14,5300.0
2021-02-01,9.97,10.1,9.96,10.0,8680.0
2021-02-02,10.0,10.0,9.8,9.97,6490.0
2021-02-03,10.16,10.36,9.83,10.0,6800.0
2021-02-04,10.01,10.16,9.82,10.16,6250.0
2021-02-07,10.15,10.01,9.99,10.01,5100.0
2021-02-08,9.95,10.15,9.82,10.15,7950.0
2021-02-09,9.97,10.1,9.95,9.95,45300.0
2021-02-10,9.95,10.12,9.97,9.97,41750.0
2021-02-11,9.97,10.1,9.95,9.95,4100.0
2021-02-14,10.16,10.14,9.97,9.97,4950.0
2021-02-15,10.1,10.16,9.79,10.16,18850.0
2021-02-16,10.22,10.1,9.92,10.1,9800.0
2021-02-17,10.34,10.22,10.0,10.22,30200.0
2021-02-18,10.8,10.39,10.02,10.34,114080.0
2021-02-21,10.48,11.37,10.32,10.8,85250.0
2021-02-22,10.5,11.0,10.39,10.48,420050.0
2021-02-23,10.85,10.5,10.31,10.5,71100.0
2021-02-24,10.55,10.97,10.4,10.85,360130.0
2021-02-25,10.85,10.96,10.29,10.55,381610.0
2021-02-28,10.65,11.07,10.6,10.85,620234.0
2021-03-01,10.62,10.66,10.46,10.65,227249.0
2021-03-02,10.5,10.7,10.56,10.62,115800.0
2021-03-03,10.52,10.5,10.44,10.5,1920.0
2021-03-04,10.6,10.6,10.45,10.52,118699.0
2021-03-07,10.6,10.6,10.42,10.6,13410.0
2021-03-09,10.6,10.6,10.43,10.6,10600.0
2021-03-10,10.44,10.6,10.45,10.6,15900.0
2021-03-14,10.76,10.65,10.31,10.44,26300.0
2021-03-15,10.5,10.76,10.26,10.76,2200.0
2021-03-16,10.44,10.55,10.34,10.5,113100.0
2021-03-17,10.51,10.44,10.32,10.44,3330.0
2021-03-18,10.6,10.52,10.43,10.51,30300.0
2021-03-21,10.52,11.02,10.42,10.6,3790.0
2021-03-22,10.5,10.71,10.42,10.52,9020.0
2021-03-23,10.6,10.6,10.4,10.5,56400.0
2021-03-24,10.64,10.65,10.45,10.6,57700.0
2021-03-25,10.74,10.71,10.55,10.64,92650.0
2021-03-29,11.11,10.9,10.66,10.74,307300.0
2021-03-30,11.09,11.16,10.76,11.11,124747.0
2021-03-31,11.01,11.22,11.0,11.09,34300.0
2021-04-01,11.0,11.1,10.95,11.01,8300.0
2021-04-04,11.11,11.1,10.81,11.0,12603.0
2021-04-05,10.97,11.11,10.81,11.11,24950.0
2021-04-06,11.02,11.01,10.91,10.97,2800.0
2021-04-07,11.0,11.11,10.97,11.02,7800.0
2021-04-08,11.0,11.05,10.98,11.0,28850.0
2021-04-12,11.14,11.1,10.94,11.0,306250.0
2021-04-13,11.34,11.4,11.0,11.14,102220.0
