Date,Open,High,Low,Close,Volume
2020-11-26,315.0,315.0,315.0,315.0,1504.0
2020-11-29,303.0,321.0,315.0,315.0,1863.0
2020-11-30,275.0,309.0,289.0,303.0,3848.0
2020-12-01,271.0,303.0,273.0,275.0,3545.0
2020-12-02,298.0,275.0,264.0,271.0,5039.0
2020-12-03,300.0,298.0,271.0,298.0,17159.0
2020-12-06,280.0,303.0,293.0,300.0,6653.0
2020-12-07,252.0,295.0,280.0,280.0,3245.0
2020-12-08,252.0,275.0,252.0,252.0,4358.0
2020-12-09,252.0,258.0,252.0,252.0,8073.0
2020-12-10,257.0,262.0,247.0,252.0,6526.0
2020-12-13,254.0,257.0,250.0,257.0,2653.0
2020-12-14,257.0,257.0,252.0,254.0,2851.0
2020-12-15,245.0,259.0,249.0,257.0,5774.0
2020-12-16,269.0,267.0,241.0,245.0,6984.0
2020-12-17,290.0,269.0,245.0,269.0,12157.0
2020-12-20,285.0,295.0,269.0,290.0,35336.0
2020-12-21,294.0,304.0,272.0,285.0,15473.0
2020-12-22,272.0,299.0,280.0,294.0,22458.0
2020-12-23,280.0,308.0,271.0,272.0,11866.0
2020-12-24,277.0,280.0,267.0,280.0,4422.0
2020-12-27,280.0,277.0,260.0,277.0,17401.0
2020-12-28,270.0,280.0,267.0,280.0,11466.0
2020-12-29,274.0,285.0,265.0,270.0,60.0
2020-12-30,279.0,274.0,260.0,274.0,5006.0
2020-12-31,272.0,280.0,269.0,279.0,3728.0
2021-01-03,276.0,276.0,270.0,272.0,3338.0
2021-01-04,278.0,276.0,271.0,276.0,3383.0
2021-01-05,290.0,278.0,267.0,278.0,4479.0
2021-01-06,290.0,290.0,270.0,290.0,12698.0
2021-01-07,285.0,300.0,282.0,290.0,11562.0
2021-01-10,295.0,299.0,280.0,285.0,13840.0
2021-01-11,290.0,295.0,288.0,295.0,2964.0
2021-01-12,303.0,300.0,276.0,290.0,13221.0
2021-01-13,293.0,306.0,295.0,303.0,51267.0
2021-01-17,286.0,303.0,293.0,293.0,6036.0
2021-01-18,291.0,295.0,286.0,286.0,6238.0
2021-01-19,290.0,295.0,281.0,291.0,6792.0
2021-01-20,298.0,296.0,277.0,290.0,7068.0
2021-01-21,292.0,298.0,285.0,298.0,2498.0
2021-01-24,297.0,296.0,291.0,292.0,7199.0
2021-01-25,326.0,300.0,287.0,297.0,16602.0
2021-01-26,358.0,326.0,300.0,326.0,65239.0
2021-01-27,393.0,358.0,320.0,358.0,16874.0
2021-01-28,432.0,393.0,365.0,393.0,4424.0
2021-01-31,435.0,432.0,386.0,432.0,40100.0
2021-02-01,478.0,450.0,402.0,435.0,46474.0
2021-02-02,479.0,478.0,433.0,478.0,57232.0
2021-02-03,464.0,511.0,464.0,479.0,41473.0
2021-02-04,459.0,475.0,435.0,464.0,39175.0
2021-02-07,444.0,479.0,435.0,459.0,31231.0
2021-02-08,450.0,470.0,435.0,444.0,13346.0
2021-02-09,431.0,452.0,420.0,450.0,8406.0
2021-02-10,439.0,441.0,417.0,431.0,6569.0
2021-02-11,425.0,439.0,422.0,439.0,4940.0
2021-02-14,437.0,427.0,417.0,425.0,12268.0
2021-02-15,444.0,448.0,425.0,437.0,25256.0
2021-02-16,450.0,461.0,436.0,444.0,27222.0
