Date,Open,High,Low,Close,Volume
2012-06-10,147.0,141.0,136.0,141.0,950.0
2012-06-11,138.0,155.0,143.0,147.0,2898.0
2012-06-12,140.0,147.0,138.0,138.0,12254.0
2012-06-13,140.0,144.0,136.0,140.0,10961.0
2012-06-14,136.0,141.0,137.0,140.0,3464.0
2012-06-17,138.0,138.0,136.0,136.0,1720.0
2012-06-18,140.0,138.0,136.0,138.0,208.0
2012-06-19,140.0,140.0,140.0,140.0,98.0
2012-06-20,136.0,142.0,140.0,140.0,724.0
2012-06-21,135.0,138.0,136.0,136.0,2405.0
2012-06-25,138.0,137.0,135.0,135.0,3945.0
2012-06-26,136.0,138.0,134.0,138.0,3293.0
2012-06-27,141.0,136.0,136.0,136.0,475.0
2012-06-28,137.0,141.0,138.0,141.0,2074.0
2012-07-01,137.0,140.0,137.0,137.0,4050.0
2012-07-02,137.0,139.0,137.0,137.0,825.0
2012-07-03,139.0,137.0,137.0,137.0,810.0
2012-07-04,141.0,139.0,139.0,139.0,49.0
2012-07-05,140.0,141.0,141.0,141.0,148.0
2012-07-08,140.0,140.0,139.0,140.0,619.0
2012-07-09,138.0,140.0,140.0,140.0,49.0
2012-07-10,138.0,138.0,138.0,138.0,198.0
2012-07-12,138.0,138.0,138.0,138.0,1655.0
2012-07-16,145.0,138.0,138.0,138.0,98.0
2012-07-17,153.0,150.0,140.0,145.0,1226.0
2012-07-18,159.0,153.0,147.0,153.0,1639.0
2012-07-19,159.0,159.0,156.0,159.0,98.0
2012-07-22,150.0,160.0,159.0,159.0,246.0
2012-07-24,148.0,157.0,150.0,150.0,295.0
2012-07-26,146.0,148.0,148.0,148.0,49.0
2012-07-29,146.0,146.0,146.0,146.0,49.0
2012-08-01,146.0,146.0,145.0,146.0,827.0
2012-08-05,148.0,146.0,144.0,146.0,249.0
2012-08-06,152.0,148.0,146.0,148.0,1786.0
2012-08-07,158.0,152.0,147.0,152.0,1972.0
2012-08-08,155.0,158.0,155.0,158.0,40.0
2012-08-12,150.0,155.0,155.0,155.0,247.0
2012-08-13,147.0,153.0,150.0,150.0,198.0
2012-08-14,147.0,147.0,147.0,147.0,795.0
2012-08-15,147.0,147.0,147.0,147.0,109.0
2012-08-19,147.0,147.0,143.0,147.0,851.0
2012-08-21,149.0,147.0,147.0,147.0,98.0
2012-08-22,146.0,149.0,149.0,149.0,109.0
2012-08-28,148.0,150.0,146.0,146.0,532.0
2012-08-29,148.0,148.0,147.0,148.0,751.0
2012-08-30,150.0,150.0,147.0,148.0,587.0
2012-09-02,165.0,150.0,149.0,150.0,128.0
2012-09-03,180.0,165.0,150.0,165.0,1538.0
2012-09-04,162.0,180.0,168.0,180.0,473.0
2012-09-10,159.0,177.0,162.0,162.0,2891.0
2012-09-11,170.0,160.0,150.0,159.0,17222.0
2012-09-12,165.0,171.0,158.0,170.0,21357.0
2012-09-13,171.0,167.0,162.0,165.0,10038.0
2012-09-16,179.0,171.0,168.0,171.0,14390.0
2012-09-17,181.0,179.0,174.0,179.0,4226.0
2012-09-18,180.0,181.0,180.0,181.0,5895.0
2012-09-19,180.0,180.0,179.0,180.0,8811.0
2012-09-20,178.0,180.0,177.0,180.0,534.0
2012-09-23,187.0,179.0,174.0,178.0,3242.0
2012-09-24,177.0,187.0,177.0,187.0,1868.0
2012-09-25,177.0,189.0,177.0,177.0,634.0
2012-09-26,174.0,180.0,177.0,177.0,18052.0
2012-10-08,174.0,174.0,171.0,174.0,879.0
2012-10-11,174.0,174.0,174.0,174.0,12413.0
2012-10-15,171.0,174.0,174.0,174.0,2925.0
2012-11-08,168.0,171.0,171.0,171.0,49.0
2012-11-11,167.0,168.0,168.0,168.0,49.0
2012-11-26,165.0,167.0,167.0,167.0,109.0
2013-01-09,166.0,165.0,165.0,165.0,49.0
2013-01-13,163.0,173.0,165.0,166.0,10656.0
2013-01-15,158.0,163.0,163.0,163.0,494.0
2013-01-17,156.0,160.0,158.0,158.0,603.0
2013-01-23,153.0,156.0,156.0,156.0,500.0
2013-01-24,151.0,156.0,153.0,153.0,794.0
2013-02-03,150.0,151.0,151.0,151.0,148.0
2013-02-04,150.0,150.0,150.0,150.0,148.0
2013-02-13,153.0,150.0,150.0,150.0,148.0
2013-02-20,152.0,153.0,153.0,153.0,593.0
2013-02-27,149.0,152.0,152.0,152.0,59.0
2013-03-13,150.0,149.0,149.0,149.0,838.0
2013-03-14,150.0,150.0,150.0,150.0,49.0
2013-03-18,150.0,150.0,150.0,150.0,158.0
2013-03-21,153.0,150.0,150.0,150.0,347.0
2013-04-01,153.0,153.0,153.0,153.0,89.0
2013-04-07,147.0,153.0,150.0,153.0,344.0
2013-04-25,149.0,150.0,147.0,147.0,294.0
2013-04-29,148.0,149.0,147.0,149.0,218.0
2013-04-30,146.0,148.0,145.0,148.0,662.0
2013-05-02,144.0,146.0,146.0,146.0,49.0
2013-05-12,146.0,144.0,144.0,144.0,444.0
2013-06-02,145.0,146.0,146.0,146.0,15.0
2013-06-19,159.0,145.0,145.0,145.0,2925.0
2013-06-24,171.0,159.0,148.0,159.0,692.0
2013-06-25,177.0,171.0,162.0,171.0,196.0
2013-06-27,180.0,177.0,174.0,177.0,69.0
2013-06-30,177.0,180.0,175.0,180.0,12633.0
2013-07-08,171.0,177.0,177.0,177.0,100.0
2013-07-09,171.0,174.0,168.0,171.0,1139.0
2013-07-10,171.0,171.0,168.0,171.0,287.0
2013-07-11,176.0,171.0,171.0,171.0,198.0
2013-07-15,180.0,176.0,170.0,176.0,592.0
2013-07-16,186.0,180.0,179.0,180.0,147.0
2013-07-22,192.0,186.0,183.0,186.0,148.0
2013-07-23,190.0,192.0,189.0,192.0,80.0
2013-07-24,196.0,195.0,188.0,190.0,6313.0
2013-07-30,205.0,196.0,193.0,196.0,609.0
2013-07-31,225.0,205.0,195.0,205.0,255.0
2013-08-04,247.0,225.0,209.0,225.0,89.0
2013-08-05,251.0,247.0,229.0,247.0,819.0
2013-08-06,261.0,251.0,251.0,251.0,10.0
2013-08-11,266.0,261.0,256.0,261.0,50.0
2013-08-12,251.0,266.0,266.0,266.0,20.0
2013-08-15,245.0,261.0,251.0,251.0,187.0
2013-08-18,242.0,250.0,240.0,245.0,1797.0
2013-08-19,245.0,245.0,242.0,242.0,316.0
2013-08-25,245.0,246.0,245.0,245.0,455.0
2013-08-26,249.0,245.0,245.0,245.0,59.0
2013-08-27,245.0,249.0,249.0,249.0,500.0
2013-09-02,245.0,245.0,245.0,245.0,98.0
2013-09-03,245.0,245.0,245.0,245.0,49.0
2013-09-08,241.0,245.0,245.0,245.0,49.0
2013-09-09,240.0,241.0,241.0,241.0,178.0
2013-10-03,248.0,240.0,240.0,240.0,1006.0
2013-10-21,272.0,248.0,244.0,248.0,821.0
2013-10-28,292.0,272.0,252.0,272.0,424.0
2013-11-06,308.0,292.0,277.0,292.0,345.0
2013-11-07,320.0,308.0,297.0,308.0,247.0
2013-11-10,325.0,320.0,314.0,320.0,69.0
2013-11-11,325.0,325.0,314.0,325.0,9424.0
2013-11-12,333.0,325.0,317.0,325.0,15172.0
2013-11-13,333.0,333.0,328.0,333.0,315.0
2013-11-14,339.0,340.0,325.0,333.0,26643.0
2013-11-21,357.0,339.0,339.0,339.0,19.0
2013-11-24,392.0,357.0,345.0,357.0,543.0
2013-11-25,422.0,392.0,364.0,392.0,1712.0
2013-11-27,417.0,422.0,399.0,422.0,2499.0
2013-11-28,417.0,430.0,417.0,417.0,405.0
2013-12-01,458.0,417.0,409.0,417.0,782.0
2013-12-02,503.0,458.0,415.0,458.0,17746.0
2013-12-03,513.0,503.0,467.0,503.0,455.0
2013-12-04,540.0,513.0,513.0,513.0,555.0
2013-12-05,561.0,550.0,520.0,540.0,21657.0
2013-12-08,571.0,561.0,540.0,561.0,1581.0
2013-12-10,582.0,571.0,571.0,571.0,69.0
2013-12-18,593.0,582.0,582.0,582.0,69.0
2013-12-19,555.0,593.0,593.0,593.0,10.0
2013-12-22,544.0,582.0,534.0,555.0,15337.0
2013-12-29,525.0,544.0,544.0,544.0,119.0
2014-01-12,511.0,534.0,515.0,525.0,10942.0
2014-01-13,545.0,520.0,500.0,511.0,25172.0
2014-01-14,550.0,545.0,512.0,545.0,5202.0
2014-01-16,529.0,550.0,540.0,550.0,313.0
2014-01-19,530.0,539.0,529.0,529.0,563.0
2014-01-21,530.0,530.0,530.0,530.0,455.0
2014-01-22,525.0,530.0,530.0,530.0,217.0
2014-01-23,525.0,525.0,525.0,525.0,1454.0
2014-01-26,520.0,525.0,525.0,525.0,119.0
2014-01-27,515.0,525.0,520.0,520.0,562.0
2014-01-28,526.0,515.0,515.0,515.0,109.0
2014-01-29,535.0,526.0,525.0,526.0,256.0
2014-02-02,525.0,535.0,535.0,535.0,810.0
2014-02-03,526.0,525.0,525.0,525.0,69.0
2014-02-04,556.0,526.0,526.0,526.0,99.0
2014-02-05,525.0,556.0,536.0,556.0,268.0
2014-02-06,518.0,567.0,525.0,525.0,2688.0
2014-02-09,528.0,518.0,518.0,518.0,827.0
2014-02-11,528.0,528.0,528.0,528.0,49.0
2014-02-12,520.0,538.0,528.0,528.0,477.0
