Date,Open,High,Low,Close,Volume
2019-02-17,280.0,300.0,300.0,300.0,30.0
2019-02-18,266.0,300.0,280.0,280.0,60.0
2019-02-21,253.0,280.0,266.0,266.0,30.0
2019-02-24,241.0,266.0,253.0,253.0,30.0
2019-03-03,229.0,253.0,241.0,241.0,30.0
2019-03-05,214.0,241.0,229.0,229.0,30.0
2019-03-06,204.0,229.0,214.0,214.0,60.0
2019-03-07,194.0,214.0,204.0,204.0,30.0
2019-03-17,185.0,194.0,194.0,194.0,30.0
2019-04-03,170.0,185.0,185.0,185.0,30.0
2019-04-09,162.0,176.0,170.0,170.0,70.0
2019-04-10,148.0,162.0,162.0,162.0,20.0
2019-04-11,146.0,154.0,148.0,148.0,30.0
2019-04-22,139.0,146.0,141.0,146.0,30.0
2019-04-23,133.0,139.0,139.0,139.0,60.0
2019-05-09,127.0,133.0,133.0,133.0,10.0
2019-05-19,122.0,127.0,127.0,127.0,30.0
2019-05-20,116.0,122.0,122.0,122.0,30.0
2019-05-21,105.0,116.0,116.0,116.0,20.0
2019-05-22,96.0,114.0,105.0,105.0,1339.0
2019-05-23,90.0,103.0,95.0,96.0,2260.0
2019-05-26,91.0,96.0,89.0,90.0,1245.0
2019-05-27,90.0,91.0,85.0,91.0,1050.0
2019-05-28,95.0,91.0,89.0,90.0,670.0
2019-05-29,94.0,95.0,89.0,95.0,760.0
2019-05-30,90.0,96.0,94.0,94.0,750.0
2019-06-02,90.0,96.0,90.0,90.0,1140.0
2019-06-03,88.0,91.0,89.0,90.0,950.0
2019-06-04,88.0,93.0,88.0,88.0,860.0
2019-06-06,86.0,90.0,87.0,88.0,770.0
2019-06-10,86.0,87.0,85.0,86.0,740.0
2019-06-11,86.0,87.0,85.0,86.0,590.0
2019-06-12,86.0,87.0,85.0,86.0,500.0
2019-06-13,83.0,87.0,85.0,86.0,320.0
2019-06-16,82.0,90.0,83.0,83.0,1010.0
2019-06-17,84.0,84.0,82.0,82.0,240.0
2019-06-18,81.0,85.0,80.0,84.0,430.0
2019-06-19,82.0,83.0,80.0,81.0,660.0
2019-06-20,82.0,83.0,81.0,82.0,300.0
2019-06-23,84.0,82.0,81.0,82.0,160.0
2019-06-24,83.0,84.0,81.0,84.0,980.0
2019-06-25,81.0,84.0,83.0,83.0,50.0
2019-06-26,80.0,82.0,80.0,81.0,300.0
2019-06-27,81.0,80.0,78.0,80.0,320.0
2019-06-30,80.0,81.0,79.0,81.0,190.0
2019-07-01,80.0,80.0,79.0,80.0,310.0
2019-07-02,79.0,81.0,80.0,80.0,250.0
2019-07-03,80.0,80.0,79.0,79.0,220.0
2019-07-04,83.0,80.0,80.0,80.0,240.0
2019-07-07,86.0,83.0,81.0,83.0,190.0
2019-07-08,89.0,87.0,84.0,86.0,740.0
2019-07-09,86.0,90.0,86.0,89.0,630.0
2019-07-10,88.0,88.0,86.0,86.0,160.0
2019-07-11,87.0,88.0,86.0,88.0,276.0
2019-07-14,85.0,89.0,86.0,87.0,310.0
2019-07-15,84.0,87.0,85.0,85.0,465.0
2019-07-16,84.0,86.0,84.0,84.0,430.0
2019-07-17,84.0,85.0,84.0,84.0,470.0
2019-07-18,85.0,84.0,84.0,84.0,90.0
2019-07-21,86.0,85.0,84.0,85.0,30.0
2019-07-22,89.0,86.0,84.0,86.0,70.0
2019-07-23,93.0,89.0,85.0,89.0,390.0
2019-07-24,90.0,93.0,90.0,93.0,825.0
2019-07-25,86.0,93.0,90.0,90.0,440.0
2019-07-28,85.0,89.0,86.0,86.0,220.0
2019-07-29,84.0,85.0,85.0,85.0,190.0
2019-07-30,85.0,84.0,83.0,84.0,180.0
2019-07-31,83.0,85.0,83.0,85.0,210.0
2019-08-01,83.0,86.0,83.0,83.0,540.0
2019-08-04,83.0,84.0,82.0,83.0,490.0
2019-08-05,83.0,86.0,82.0,83.0,1300.0
2019-08-06,83.0,84.0,83.0,83.0,170.0
2019-08-07,82.0,84.0,82.0,83.0,310.0
2019-08-08,83.0,83.0,81.0,82.0,290.0
2019-08-11,82.0,83.0,81.0,83.0,260.0
2019-08-12,81.0,83.0,81.0,82.0,380.0
2019-08-13,83.0,81.0,81.0,81.0,290.0
2019-08-14,83.0,83.0,81.0,83.0,170.0
2019-08-15,83.0,84.0,82.0,83.0,240.0
2019-08-18,82.0,83.0,80.0,83.0,360.0
2019-08-19,81.0,83.0,81.0,82.0,380.0
2019-08-20,78.0,82.0,81.0,81.0,240.0
2019-08-21,77.0,81.0,78.0,78.0,460.0
2019-08-22,78.0,79.0,77.0,77.0,140.0
2019-08-25,77.0,78.0,76.0,78.0,430.0
2019-08-26,77.0,78.0,77.0,77.0,180.0
2019-08-27,75.0,77.0,77.0,77.0,180.0
2019-08-28,73.0,76.0,75.0,75.0,150.0
2019-08-29,75.0,75.0,73.0,73.0,310.0
2019-09-01,73.0,75.0,73.0,75.0,110.0
2019-09-02,71.0,74.0,73.0,73.0,180.0
2019-09-03,71.0,73.0,71.0,71.0,950.0
2019-09-04,70.0,72.0,71.0,71.0,290.0
2019-09-05,70.0,71.0,70.0,70.0,270.0
2019-09-08,69.0,71.0,70.0,70.0,260.0
2019-09-09,68.0,71.0,69.0,69.0,350.0
2019-09-10,71.0,69.0,68.0,68.0,180.0
2019-09-11,68.0,71.0,69.0,71.0,340.0
2019-09-12,67.0,71.0,68.0,68.0,310.0
2019-09-15,64.0,67.0,67.0,67.0,150.0
2019-09-16,64.0,67.0,64.0,64.0,540.0
2019-09-17,65.0,65.0,64.0,64.0,250.0
2019-09-19,64.0,66.0,65.0,65.0,540.0
2019-09-22,65.0,66.0,64.0,64.0,300.0
2019-09-23,64.0,65.0,64.0,65.0,150.0
2019-09-24,64.0,65.0,64.0,64.0,340.0
2019-09-25,63.0,65.0,63.0,64.0,500.0
2019-09-26,62.0,63.0,63.0,63.0,140.0
2019-09-29,62.0,64.0,62.0,62.0,330.0
2019-09-30,63.0,63.0,62.0,62.0,90.0
2019-10-01,63.0,63.0,62.0,63.0,140.0
2019-10-02,63.0,63.0,62.0,63.0,60.0
2019-10-03,63.0,63.0,63.0,63.0,60.0
2019-10-14,64.0,63.0,62.0,63.0,370.0
2019-10-15,63.0,64.0,64.0,64.0,30.0
2019-10-16,69.0,63.0,63.0,63.0,30.0
2020-02-18,74.0,69.0,62.0,69.0,880.0
2020-02-19,79.0,74.0,70.0,74.0,720.0
2020-02-20,83.0,80.0,75.0,79.0,1345.0
2020-02-23,80.0,84.0,80.0,83.0,875.0
2020-02-24,82.0,83.0,80.0,80.0,2740.0
2020-02-25,83.0,82.0,77.0,82.0,1330.0
2020-02-26,83.0,83.0,79.0,83.0,1281.0
2020-02-27,78.0,85.0,82.0,83.0,1715.0
2020-03-01,74.0,82.0,78.0,78.0,1135.0
2020-03-02,71.0,77.0,74.0,74.0,150.0
2020-03-03,68.0,74.0,71.0,71.0,580.0
2020-03-04,66.0,70.0,65.0,68.0,520.0
2020-03-05,67.0,69.0,66.0,66.0,150.0
2020-03-10,68.0,67.0,66.0,67.0,90.0
2020-03-11,67.0,68.0,65.0,68.0,610.0
2020-03-12,61.0,67.0,67.0,67.0,10.0
2020-03-15,61.0,67.0,61.0,61.0,722.0
2020-03-16,63.0,63.0,60.0,61.0,360.0
2020-03-17,61.0,63.0,62.0,63.0,350.0
2020-03-18,61.0,62.0,61.0,61.0,240.0
2020-03-19,59.0,61.0,61.0,61.0,60.0
2020-07-05,58.0,60.0,59.0,59.0,170.0
2020-07-06,56.0,58.0,56.0,58.0,720.0
2020-07-07,56.0,57.0,53.0,56.0,510.0
2020-07-08,56.0,56.0,55.0,56.0,140.0
2020-07-09,55.0,57.0,55.0,56.0,300.0
2020-07-12,52.0,56.0,54.0,55.0,720.0
2020-07-13,51.0,55.0,52.0,52.0,2430.0
2020-07-14,51.0,52.0,51.0,51.0,400.0
2020-07-15,55.0,52.0,49.0,51.0,600.0
2020-07-16,58.0,55.0,51.0,55.0,570.0
2020-07-20,58.0,58.0,57.0,58.0,680.0
2020-07-21,54.0,58.0,57.0,58.0,1060.0
2020-07-22,54.0,57.0,54.0,54.0,410.0
2020-07-23,54.0,54.0,52.0,54.0,680.0
2020-07-26,51.0,54.0,51.0,54.0,1030.0
2020-07-27,53.0,53.0,50.0,51.0,1576.0
2020-07-28,58.0,54.0,52.0,53.0,1097.0
2020-07-29,63.0,58.0,54.0,58.0,470.0
2020-07-30,64.0,63.0,59.0,63.0,1995.0
2020-08-02,63.0,67.0,63.0,64.0,3640.0
2020-08-03,57.0,63.0,58.0,63.0,1210.0
2020-08-05,56.0,62.0,57.0,57.0,1093.0
2020-08-06,58.0,57.0,54.0,56.0,880.0
2020-08-09,56.0,58.0,54.0,58.0,890.0
2020-08-10,54.0,59.0,56.0,56.0,1500.0
2020-08-11,59.0,56.0,54.0,54.0,1350.0
2020-08-12,57.0,59.0,53.0,59.0,880.0
2020-08-13,56.0,61.0,55.0,57.0,1210.0
2020-08-16,60.0,57.0,54.0,56.0,905.0
2020-08-17,56.0,60.0,55.0,60.0,850.0
2020-08-18,57.0,59.0,56.0,56.0,569.0
2020-08-19,56.0,58.0,55.0,57.0,2180.0
2020-08-20,59.0,57.0,55.0,56.0,280.0
2020-08-23,62.0,60.0,55.0,59.0,570.0
2020-08-24,62.0,62.0,56.0,62.0,3408.0
2020-08-25,62.0,63.0,59.0,62.0,1800.0
2020-08-26,60.0,64.0,61.0,62.0,328.0
2020-08-27,61.0,62.0,60.0,60.0,2999.0
2020-08-30,61.0,61.0,57.0,61.0,660.0
2020-08-31,67.0,65.0,59.0,61.0,1770.0
2020-09-02,72.0,67.0,61.0,67.0,9390.0
2020-09-03,73.0,72.0,68.0,72.0,6417.0
2020-09-06,68.0,73.0,69.0,73.0,3808.0
2020-09-07,65.0,72.0,67.0,68.0,1420.0
2020-09-08,67.0,68.0,64.0,65.0,2075.0
2020-09-09,67.0,67.0,64.0,67.0,1460.0
2020-09-10,67.0,69.0,66.0,67.0,1080.0
2020-09-13,73.0,68.0,66.0,67.0,1730.0
2020-09-14,80.0,73.0,66.0,73.0,8630.0
2020-09-15,88.0,80.0,74.0,80.0,7257.0
2020-09-16,96.0,88.0,80.0,88.0,4083.0
2020-09-17,105.0,96.0,89.0,96.0,3350.0
2020-09-20,95.0,105.0,97.0,105.0,27434.0
2020-09-21,86.0,103.0,95.0,95.0,3715.0
2020-09-22,87.0,95.0,86.0,86.0,5026.0
2020-09-23,95.0,88.0,84.0,87.0,2590.0
2020-09-24,104.0,95.0,87.0,95.0,4182.0
2020-09-27,101.0,104.0,95.0,104.0,13525.0
2020-09-28,111.0,106.0,96.0,101.0,6953.0
2020-09-29,122.0,111.0,97.0,111.0,21670.0
2020-09-30,123.0,122.0,112.0,122.0,19784.0
2020-10-01,121.0,134.0,118.0,123.0,18391.0
2020-10-04,123.0,123.0,111.0,121.0,13787.0
2020-10-05,132.0,123.0,112.0,123.0,18352.0
2020-10-06,145.0,132.0,117.0,132.0,17591.0
2020-10-07,137.0,145.0,128.0,145.0,25855.0
2020-10-08,132.0,155.0,137.0,137.0,20475.0
2020-10-11,133.0,140.0,132.0,132.0,13495.0
2020-10-12,124.0,134.0,126.0,133.0,12155.0
2020-10-13,115.0,132.0,122.0,124.0,9449.0
2020-10-14,118.0,124.0,113.0,115.0,13332.0
2020-10-15,113.0,121.0,113.0,118.0,4390.0
2020-10-18,124.0,119.0,113.0,113.0,3665.0
2020-10-19,135.0,124.0,112.0,124.0,5544.0
2020-10-20,130.0,136.0,124.0,135.0,18805.0
2020-10-21,128.0,137.0,127.0,130.0,13580.0
2020-10-22,125.0,130.0,126.0,128.0,2758.0
2020-10-28,126.0,130.0,122.0,125.0,3900.0
2020-10-29,130.0,129.0,121.0,126.0,6131.0
2020-11-01,130.0,132.0,122.0,130.0,5990.0
2020-11-02,127.0,131.0,128.0,130.0,3330.0
2020-11-03,126.0,130.0,124.0,127.0,3660.0
2020-11-04,137.0,128.0,125.0,126.0,2050.0
2020-11-05,144.0,138.0,120.0,137.0,19370.0
