Date,Open,High,Low,Close,Volume
2019-06-06,248.0,237.0,237.0,237.0,10.0
2019-06-10,260.0,248.0,248.0,248.0,10.0
2019-06-11,273.0,260.0,260.0,260.0,10.0
2019-06-12,291.0,273.0,273.0,273.0,10.0
2019-06-16,311.0,291.0,286.0,291.0,20.0
2019-06-18,326.0,311.0,305.0,311.0,20.0
2019-06-19,358.0,326.0,326.0,326.0,10.0
2019-06-23,393.0,358.0,342.0,358.0,550.0
2019-06-24,432.0,393.0,375.0,393.0,90.0
2019-06-25,434.0,432.0,412.0,432.0,890.0
2019-06-26,436.0,462.0,424.0,434.0,21479.0
2019-06-27,432.0,438.0,430.0,436.0,6495.0
2019-06-30,426.0,443.0,422.0,432.0,7780.0
2019-07-01,434.0,434.0,424.0,426.0,2960.0
2019-07-02,460.0,437.0,422.0,434.0,2060.0
2019-07-03,464.0,476.0,426.0,460.0,5670.0
2019-07-04,450.0,469.0,450.0,464.0,3691.0
2019-07-07,445.0,460.0,446.0,450.0,1590.0
2019-07-08,438.0,452.0,440.0,445.0,1928.0
2019-07-09,441.0,453.0,429.0,438.0,830.0
2019-07-10,445.0,441.0,430.0,441.0,576.0
2019-07-11,440.0,445.0,437.0,445.0,2205.0
2019-07-14,448.0,450.0,432.0,440.0,790.0
2019-07-15,446.0,448.0,433.0,448.0,1450.0
2019-07-16,454.0,450.0,441.0,446.0,1300.0
2019-07-17,454.0,459.0,441.0,454.0,1380.0
2019-07-18,465.0,461.0,452.0,454.0,560.0
2019-07-21,474.0,465.0,452.0,465.0,1705.0
2019-07-22,493.0,475.0,460.0,474.0,2250.0
2019-07-23,538.0,494.0,469.0,493.0,1954.0
2019-07-24,518.0,538.0,495.0,538.0,3695.0
2019-07-25,521.0,538.0,512.0,518.0,6768.0
2019-07-28,532.0,527.0,486.0,521.0,5185.0
2019-07-29,554.0,540.0,508.0,532.0,7930.0
2019-07-30,609.0,570.0,530.0,554.0,7035.0
2019-07-31,633.0,609.0,538.0,609.0,9471.0
2019-08-01,613.0,669.0,587.0,633.0,12138.0
2019-08-04,582.0,654.0,613.0,613.0,6605.0
2019-08-05,554.0,625.0,577.0,582.0,7514.0
2019-08-06,591.0,571.0,531.0,554.0,2950.0
2019-08-07,578.0,601.0,536.0,591.0,3728.0
2019-08-08,567.0,590.0,570.0,578.0,2070.0
2019-08-11,582.0,598.0,560.0,567.0,1150.0
2019-08-12,581.0,585.0,556.0,582.0,1160.0
2019-08-13,580.0,592.0,573.0,581.0,2038.0
2019-08-14,564.0,585.0,573.0,580.0,1170.0
2019-08-15,564.0,574.0,564.0,564.0,965.0
2019-08-18,581.0,570.0,562.0,564.0,1300.0
2019-08-19,569.0,592.0,557.0,581.0,570.0
2019-08-20,538.0,588.0,562.0,569.0,1550.0
