Date,Open,High,Low,Close,Volume
2010-05-31,234.0,230.0,230.0,230.0,50.0
2010-06-03,234.0,234.0,234.0,234.0,100.0
2010-07-25,230.0,234.0,234.0,234.0,302.0
2010-07-26,226.0,230.0,226.0,230.0,807.0
2010-07-27,226.0,226.0,226.0,226.0,180.0
2010-08-04,222.0,226.0,225.0,226.0,1939.0
2010-08-08,217.0,222.0,222.0,222.0,71.0
2010-08-30,214.0,218.0,217.0,217.0,235.0
2010-08-31,210.0,214.0,214.0,214.0,67.0
2010-09-21,210.0,210.0,210.0,210.0,101.0
2010-09-26,206.0,210.0,210.0,210.0,42.0
2010-10-06,202.0,206.0,206.0,206.0,101.0
2011-01-20,198.0,202.0,202.0,202.0,110.0
2011-02-07,198.0,198.0,198.0,198.0,34.0
2011-03-21,200.0,198.0,198.0,198.0,100.0
2011-03-27,196.0,200.0,200.0,200.0,3868.0
2012-02-13,201.0,196.0,196.0,196.0,110.0
2012-05-22,197.0,201.0,198.0,201.0,63.0
2012-06-25,200.0,197.0,197.0,197.0,30.0
2012-07-24,204.0,204.0,200.0,200.0,879.0
2012-07-25,200.0,204.0,204.0,204.0,10.0
2012-08-30,193.0,200.0,200.0,200.0,136.0
2012-09-06,184.0,196.0,193.0,193.0,78.0
2012-09-09,181.0,190.0,184.0,184.0,247.0
2012-09-10,172.0,181.0,181.0,181.0,100.0
2012-09-11,169.0,178.0,172.0,172.0,341.0
2012-09-12,153.0,169.0,169.0,169.0,134.0
2012-09-13,138.0,166.0,153.0,153.0,2168.0
2012-09-16,132.0,150.0,138.0,138.0,24867.0
2012-09-19,134.0,132.0,132.0,132.0,2500.0
2012-09-20,142.0,134.0,134.0,134.0,30.0
2012-09-23,144.0,142.0,136.0,142.0,224.0
2012-10-09,158.0,144.0,144.0,144.0,134.0
2012-10-10,173.0,158.0,146.0,158.0,442.0
2012-10-14,176.0,173.0,161.0,173.0,274.0
2012-10-18,193.0,176.0,176.0,176.0,50.0
2012-10-31,212.0,193.0,179.0,193.0,200.0
2012-11-01,230.0,212.0,196.0,212.0,420.0
2012-11-04,229.0,232.0,216.0,230.0,1282.0
2012-11-05,230.0,233.0,229.0,229.0,218.0
2012-11-20,226.0,230.0,230.0,230.0,390.0
2012-11-28,230.0,226.0,226.0,226.0,38.0
2012-12-13,218.0,230.0,230.0,230.0,20.0
2012-12-26,214.0,226.0,218.0,218.0,70.0
2012-12-27,195.0,214.0,214.0,214.0,188.0
2013-01-02,192.0,210.0,195.0,195.0,606.0
2013-01-03,190.0,192.0,188.0,192.0,390.0
2013-01-09,187.0,190.0,189.0,190.0,352.0
2013-01-16,184.0,187.0,187.0,187.0,135.0
2013-01-23,181.0,184.0,184.0,184.0,101.0
2013-01-27,184.0,181.0,181.0,181.0,78.0
2013-01-30,184.0,184.0,184.0,184.0,350.0
2013-01-31,181.0,185.0,184.0,184.0,400.0
2013-02-05,175.0,181.0,181.0,181.0,100.0
2013-02-10,192.0,178.0,175.0,175.0,347.0
2013-02-14,195.0,192.0,178.0,192.0,1400.0
2013-02-17,195.0,195.0,195.0,195.0,50.0
2013-02-21,201.0,195.0,194.0,195.0,134.0
2013-03-07,195.0,201.0,198.0,201.0,163.0
2013-03-13,195.0,197.0,194.0,195.0,632.0
2013-04-25,192.0,195.0,195.0,195.0,20777.0
2013-05-07,195.0,192.0,192.0,192.0,200.0
2013-05-08,190.0,195.0,195.0,195.0,30.0
2013-05-09,181.0,193.0,187.0,190.0,195.0
2013-05-13,184.0,187.0,181.0,181.0,714.0
2013-05-14,181.0,184.0,178.0,184.0,1452.0
2013-06-04,183.0,181.0,181.0,181.0,165.0
2013-06-09,183.0,184.0,183.0,183.0,317.0
