Date,Open,High,Low,Close,Volume
2021-01-28,1086.0,1200.0,1127.0,1127.0,300.0
2021-01-31,1089.0,1106.0,1080.0,1086.0,804.0
2021-02-01,1103.0,1107.0,1089.0,1089.0,75.0
2021-02-02,1108.0,1120.0,1103.0,1103.0,434.0
2021-02-03,1150.0,1108.0,1106.0,1108.0,105.0
2021-02-04,1150.0,1150.0,1120.0,1150.0,955.0
2021-02-07,1173.0,1150.0,1150.0,1150.0,75.0
2021-02-08,1170.0,1173.0,1106.0,1173.0,753.0
2021-02-09,1168.0,1170.0,1170.0,1170.0,40.0
2021-02-10,1180.0,1173.0,1168.0,1168.0,215.0
2021-02-11,1175.0,1180.0,1180.0,1180.0,240.0
2021-02-14,1180.0,1175.0,1169.0,1175.0,125.0
2021-02-15,1180.0,1180.0,1170.0,1180.0,215.0
2021-02-16,1185.0,1180.0,1180.0,1180.0,135.0
2021-02-17,1180.0,1185.0,1180.0,1185.0,75.0
2021-02-18,1185.0,1180.0,1180.0,1180.0,110.0
2021-02-21,1185.0,1188.0,1180.0,1185.0,530.0
2021-02-23,1185.0,1185.0,1180.0,1185.0,124.0
2021-02-24,1165.0,1190.0,1185.0,1185.0,110.0
2021-02-25,1145.0,1165.0,1162.0,1165.0,75.0
2021-02-28,1167.0,1146.0,1145.0,1145.0,125.0
2021-03-01,1170.0,1167.0,1167.0,1167.0,90.0
2021-03-02,1192.0,1190.0,1170.0,1170.0,280.0
2021-03-03,1171.0,1192.0,1192.0,1192.0,10.0
2021-03-04,1150.0,1171.0,1171.0,1171.0,75.0
2021-03-14,1173.0,1150.0,1150.0,1150.0,25.0
2021-03-15,1175.0,1173.0,1173.0,1173.0,50.0
2021-03-16,1202.0,1175.0,1170.0,1175.0,125.0
2021-03-17,1200.0,1202.0,1179.0,1202.0,125.0
2021-03-22,1180.0,1200.0,1200.0,1200.0,100.0
2021-03-29,1160.0,1181.0,1176.0,1180.0,390.0
2021-03-31,1183.0,1165.0,1160.0,1160.0,114.0
2021-04-01,1180.0,1183.0,1183.0,1183.0,140.0
2021-04-07,1162.0,1180.0,1160.0,1180.0,75.0
2021-04-15,1175.0,1162.0,1157.0,1162.0,150.0
2021-04-19,1171.0,1185.0,1175.0,1175.0,700.0
2021-04-22,1185.0,1171.0,1171.0,1171.0,300.0
2021-04-26,1162.0,1185.0,1180.0,1185.0,1334.0
2021-04-27,1185.0,1162.0,1162.0,1162.0,150.0
2021-05-02,1185.0,1185.0,1185.0,1185.0,50.0
2021-05-05,1186.0,1185.0,1185.0,1185.0,25.0
2021-05-06,1185.0,1186.0,1185.0,1186.0,75.0
2021-05-09,1186.0,1185.0,1185.0,1185.0,90.0
2021-05-10,1190.0,1190.0,1165.0,1186.0,355.0
2021-05-13,1190.0,1190.0,1188.0,1190.0,265.0
2021-05-17,1199.0,1200.0,1190.0,1190.0,170.0
2021-05-18,1200.0,1199.0,1199.0,1199.0,40.0
2021-05-23,1200.0,1200.0,1180.0,1200.0,175.0
2021-05-24,1200.0,1200.0,1199.0,1200.0,195.0
2021-05-25,1190.0,1200.0,1200.0,1200.0,50.0
2021-05-30,1213.0,1201.0,1190.0,1190.0,569.0
2021-05-31,1237.0,1213.0,1210.0,1213.0,275.0
2021-06-01,1236.0,1237.0,1237.0,1237.0,100.0
2021-06-06,1212.0,1261.0,1236.0,1236.0,240.0
2021-06-08,1206.0,1213.0,1212.0,1212.0,110.0
2021-06-10,1224.0,1206.0,1206.0,1206.0,30.0
2021-06-13,1248.0,1224.0,1200.0,1224.0,243.0
