Date,Open,High,Low,Close,Volume
2013-10-27,100.0,100.0,100.0,100.0,5000.0
2013-12-04,100.0,100.0,100.0,100.0,500.0
2014-03-03,100.0,100.0,100.0,100.0,5000.0
2014-03-24,100.0,100.0,100.0,100.0,6250.0
2014-03-25,100.0,100.0,100.0,100.0,12000.0
2014-04-20,100.0,100.0,100.0,100.0,1000.0
2014-04-23,100.0,100.0,100.0,100.0,16500.0
2014-04-30,100.0,100.0,100.0,100.0,14000.0
2014-07-01,100.0,100.0,100.0,100.0,35250.0
2014-09-15,100.0,100.0,100.0,100.0,200.0
2015-03-31,100.0,100.0,100.0,100.0,23844.0
2015-04-07,100.0,100.0,100.0,100.0,43560.0
2015-04-08,100.0,100.0,100.0,100.0,48816.0
2015-04-09,100.0,100.0,100.0,100.0,2000.0
2015-07-09,100.0,100.0,100.0,100.0,20000.0
2015-10-04,100.0,100.0,100.0,100.0,15139.0
2015-10-19,170.0,100.0,100.0,100.0,33681.0
2016-11-24,170.0,170.0,170.0,170.0,66845.0
2016-11-29,170.0,170.0,170.0,170.0,15427.0
2016-12-27,170.0,170.0,170.0,170.0,89209.0
2017-01-03,170.0,170.0,170.0,170.0,41345.0
2017-01-04,170.0,170.0,170.0,170.0,2480.0
2017-02-09,170.0,170.0,170.0,170.0,3351.0
2017-04-25,167.0,170.0,170.0,170.0,17928.0
2017-04-26,164.0,167.0,167.0,167.0,28195.0
2017-07-10,120.0,164.0,164.0,164.0,7286.0
2017-10-29,120.0,120.0,120.0,120.0,30697.0
2017-10-30,120.0,120.0,120.0,120.0,207000.0
2017-10-31,120.0,120.0,120.0,120.0,120000.0
2017-11-19,120.0,120.0,120.0,120.0,60000.0
2017-12-21,120.0,120.0,120.0,120.0,79377.0
2017-12-26,120.0,120.0,120.0,120.0,20000.0
2017-12-28,113.0,120.0,120.0,120.0,221790.0
2018-05-14,113.0,113.0,113.0,113.0,24927.0
2018-05-20,113.0,113.0,113.0,113.0,37856.0
2018-05-21,113.0,113.0,113.0,113.0,148306.0
2018-05-22,113.0,113.0,113.0,113.0,13156.0
2018-06-12,113.0,113.0,113.0,113.0,67804.0
2018-06-13,113.0,113.0,113.0,113.0,44514.0
2018-07-16,113.0,113.0,113.0,113.0,11464.0
2018-08-07,113.0,113.0,113.0,113.0,21344.0
2018-08-09,113.0,113.0,113.0,113.0,17652.0
2018-09-04,113.0,113.0,113.0,113.0,4179.0
2018-09-18,113.0,113.0,113.0,113.0,17608.0
2018-09-30,113.0,113.0,113.0,113.0,54452.0
2019-02-17,113.0,113.0,113.0,113.0,6746.0
2019-07-23,113.0,113.0,113.0,113.0,15680.0
2019-08-11,113.0,113.0,113.0,113.0,1673.0
2019-09-09,113.0,113.0,113.0,113.0,4500.0
2019-09-24,113.0,113.0,113.0,113.0,51418.0
2019-09-25,113.0,113.0,113.0,113.0,14007.0
2019-09-29,113.0,113.0,113.0,113.0,10000.0
2019-10-02,113.0,113.0,113.0,113.0,7133.0
2019-11-06,113.0,113.0,113.0,113.0,19304.0
2019-11-20,113.0,113.0,113.0,113.0,6241.0
2019-11-25,113.0,113.0,113.0,113.0,40000.0
2019-12-08,113.0,113.0,113.0,113.0,10000.0
2019-12-22,113.0,113.0,113.0,113.0,100000.0
2019-12-26,113.0,113.0,113.0,113.0,27000.0
2019-12-31,113.0,113.0,113.0,113.0,120000.0
2020-02-03,113.0,113.0,113.0,113.0,2093.0
2020-03-11,113.0,113.0,113.0,113.0,13100.0
2020-05-12,111.0,113.0,113.0,113.0,8000.0
2020-07-05,111.0,111.0,111.0,111.0,35424.0
2020-07-22,111.0,111.0,111.0,111.0,10000.0
2020-07-30,111.0,111.0,111.0,111.0,29128.0
2020-09-28,111.0,111.0,111.0,111.0,22109.0
2020-10-08,111.0,111.0,111.0,111.0,2368.0
2020-10-11,111.0,111.0,111.0,111.0,6316.0
2020-10-13,111.0,111.0,111.0,111.0,2565.0
2020-10-15,111.0,111.0,111.0,111.0,1580.0
2020-10-20,111.0,111.0,111.0,111.0,90000.0
2020-10-21,111.0,111.0,111.0,111.0,3159.0
2020-11-01,111.0,111.0,111.0,111.0,9052.0
2020-12-02,111.0,111.0,111.0,111.0,948.0
2020-12-16,111.0,111.0,111.0,111.0,6193.0
2020-12-24,113.0,111.0,111.0,111.0,2744.0
2020-12-28,113.0,113.0,113.0,113.0,31586.0
2020-12-31,113.0,113.0,113.0,113.0,31000.0
2021-01-06,111.0,113.0,113.0,113.0,599345.0
2021-01-07,111.0,111.0,111.0,111.0,22000.0
2021-01-10,147.0,111.0,111.0,111.0,189614.0
2021-04-20,146.0,147.0,147.0,147.0,22824.0
2021-06-08,146.0,146.0,146.0,146.0,26933.0
2021-06-20,146.0,146.0,146.0,146.0,11409.0
2021-06-21,146.0,146.0,146.0,146.0,4889.0
2021-07-05,146.0,146.0,146.0,146.0,2282.0
2021-07-12,146.0,146.0,146.0,146.0,10104.0
2021-08-25,146.0,146.0,146.0,146.0,36541.0
2021-10-25,146.0,146.0,146.0,146.0,34144.0
2021-10-26,146.0,146.0,146.0,146.0,27000.0
2021-10-27,146.0,146.0,146.0,146.0,23846.0
2021-10-28,146.0,146.0,146.0,146.0,5000.0
2021-11-23,146.0,146.0,146.0,146.0,29250.0
2021-11-28,146.0,146.0,146.0,146.0,21176.0
2021-12-15,146.0,146.0,146.0,146.0,9782.0
2021-12-22,146.0,146.0,146.0,146.0,105000.0
2021-12-27,146.0,146.0,146.0,146.0,12000.0
