Date,Open,High,Low,Close,Volume
2010-05-18,343.0,350.0,350.0,350.0,1188.0
2010-06-01,337.0,343.0,343.0,343.0,5000.0
2010-08-19,314.0,337.0,337.0,337.0,10160.0
2010-11-30,314.0,314.0,314.0,314.0,10.0
2011-01-02,299.0,314.0,314.0,314.0,10.0
2011-01-04,285.0,299.0,299.0,299.0,20.0
2011-01-06,271.0,285.0,285.0,285.0,20.0
2011-01-17,244.0,271.0,271.0,271.0,60.0
2011-01-24,232.0,258.0,244.0,244.0,40.0
2011-02-01,221.0,232.0,232.0,232.0,10.0
2011-02-10,221.0,221.0,221.0,221.0,10.0
2011-02-13,221.0,221.0,221.0,221.0,30.0
2011-02-14,209.0,221.0,221.0,221.0,70.0
2011-02-15,199.0,217.0,209.0,209.0,40.0
2011-02-17,180.0,199.0,199.0,199.0,10.0
2011-02-21,171.0,196.0,180.0,180.0,390.0
2011-03-01,163.0,171.0,171.0,171.0,10.0
2011-03-03,147.0,163.0,163.0,163.0,10.0
2011-03-07,133.0,160.0,147.0,147.0,350.0
2011-03-09,122.0,140.0,133.0,133.0,620.0
2011-03-10,122.0,131.0,120.0,122.0,1250.0
2011-03-13,121.0,122.0,115.0,122.0,3700.0
2011-03-14,118.0,124.0,120.0,121.0,2240.0
2011-03-15,120.0,120.0,117.0,118.0,1710.0
2011-03-16,122.0,120.0,116.0,120.0,1510.0
2011-03-17,122.0,122.0,117.0,122.0,960.0
2011-03-20,120.0,122.0,120.0,122.0,1890.0
2011-03-21,119.0,122.0,118.0,120.0,870.0
2011-03-22,120.0,120.0,117.0,119.0,430.0
2011-03-23,123.0,121.0,118.0,120.0,850.0
2011-03-24,121.0,125.0,120.0,123.0,2790.0
2011-03-27,116.0,124.0,120.0,121.0,3280.0
2011-03-28,110.0,125.0,116.0,116.0,2070.0
2011-03-29,107.0,115.0,110.0,110.0,410.0
2011-03-30,110.0,113.0,106.0,107.0,550.0
2011-03-31,108.0,110.0,106.0,110.0,430.0
2011-04-04,106.0,108.0,108.0,108.0,250.0
2011-04-05,107.0,111.0,106.0,106.0,690.0
