Date,Open,High,Low,Close,Volume
2021-04-19,9.96,10.0,9.81,9.97,9400.0
2021-04-20,9.9,10.0,9.8,9.96,17400.0
2021-04-21,9.92,10.04,9.77,9.9,12650.0
2021-04-22,9.8,10.08,9.71,9.92,10300.0
2021-04-25,9.89,9.9,9.61,9.8,15260.0
2021-04-26,9.85,9.89,9.62,9.89,23200.0
2021-04-27,10.0,9.89,9.7,9.85,13860.0
2021-04-28,9.91,10.0,9.69,10.0,12800.0
2021-04-29,9.82,9.94,9.72,9.91,14112.0
2021-05-02,9.84,9.94,9.42,9.82,30160.0
2021-05-03,9.97,9.89,9.8,9.84,20218.0
2021-05-04,9.9,9.99,9.8,9.97,16960.0
2021-05-05,9.89,9.95,9.78,9.9,16010.0
2021-05-06,9.83,9.9,9.76,9.89,15800.0
2021-05-09,9.83,9.84,9.7,9.83,10090.0
2021-05-10,9.92,9.9,9.75,9.83,24600.0
2021-05-11,9.99,9.93,9.75,9.92,21910.0
2021-05-12,9.93,10.0,9.82,9.99,27980.0
2021-05-13,9.89,10.0,9.8,9.93,15204.0
2021-05-16,9.92,9.96,9.74,9.89,29500.0
2021-05-17,9.95,10.04,9.8,9.92,37360.0
2021-05-18,10.04,9.97,9.92,9.95,23020.0
2021-05-19,9.89,10.04,9.89,10.04,32318.0
2021-05-20,9.85,10.01,9.84,9.89,62100.0
2021-05-23,9.93,10.05,9.85,9.85,69000.0
2021-05-24,9.95,9.98,9.66,9.93,26790.0
2021-05-25,9.97,10.1,9.89,9.95,23671.0
2021-05-27,10.08,9.99,9.8,9.97,24550.0
2021-05-30,10.12,10.18,9.91,10.08,69334.0
2021-05-31,10.16,10.29,9.95,10.12,68540.0
2021-06-01,10.2,10.25,10.1,10.16,91250.0
2021-06-02,10.2,10.25,10.1,10.2,35230.0
2021-06-03,10.2,10.25,10.0,10.2,69410.0
2021-06-06,10.2,10.2,10.12,10.2,47100.0
2021-06-07,10.25,10.3,10.1,10.2,57890.0
2021-06-08,10.25,10.32,10.0,10.25,82399.0
2021-06-09,10.25,10.3,10.05,10.25,39728.0
2021-06-10,10.3,10.35,10.2,10.25,83909.0
2021-06-13,10.33,10.35,10.07,10.3,140830.0
2021-06-14,10.33,10.41,10.2,10.33,37600.0
2021-06-15,10.3,10.34,10.2,10.33,36650.0
2021-06-16,10.3,10.3,10.2,10.3,59950.0
2021-06-17,10.22,10.31,10.13,10.3,45155.0
2021-06-20,10.4,10.41,10.22,10.22,42329.0
2021-06-21,10.25,10.4,10.0,10.4,68153.0
2021-06-22,10.4,10.5,10.1,10.25,26430.0
2021-06-23,10.4,10.45,10.07,10.4,56280.0
2021-06-24,10.18,10.4,10.02,10.4,26920.0
2021-06-27,10.16,10.24,10.05,10.18,38550.0
2021-06-28,10.06,10.18,10.04,10.16,13550.0
2021-06-29,10.5,10.13,10.02,10.06,28580.0
2021-06-30,10.15,10.5,10.03,10.5,37470.0
2021-07-01,10.1,10.29,10.09,10.15,28625.0
2021-07-04,10.1,10.15,10.01,10.1,15460.0
2021-07-05,10.14,10.1,10.01,10.1,9510.0
2021-07-06,10.01,10.14,9.95,10.14,50410.0
2021-07-07,10.1,10.18,10.0,10.01,19850.0
2021-07-08,10.06,10.1,9.91,10.1,8300.0
2021-07-11,10.1,10.1,9.97,10.06,16100.0
2021-07-12,10.14,10.1,9.98,10.1,29700.0
2021-07-13,10.08,10.15,9.9,10.14,22450.0
2021-07-14,10.5,10.2,9.98,10.08,7750.0
2021-07-15,10.25,10.5,10.0,10.5,41250.0
2021-07-18,10.25,10.35,10.09,10.25,20940.0
2021-07-19,10.52,10.45,10.05,10.25,32600.0
2021-07-20,11.34,10.95,10.25,10.52,246359.0
2021-07-22,10.92,11.54,10.52,11.34,1021460.0
2021-07-25,10.56,11.65,10.9,10.92,321173.0
2021-07-26,11.24,11.13,10.56,10.56,547081.0
2021-07-27,10.9,11.24,10.35,11.24,34529.0
2021-07-28,11.0,11.46,10.83,10.9,124750.0
2021-07-29,10.61,11.3,10.89,11.0,184265.0
2021-08-01,10.63,11.0,10.61,10.61,131650.0
2021-08-02,10.91,10.93,10.55,10.63,267116.0
2021-08-03,10.78,11.23,10.62,10.91,289380.0
2021-08-04,10.71,11.0,10.6,10.78,197270.0
2021-08-05,10.75,10.9,10.51,10.71,228673.0
2021-08-08,10.63,10.89,10.59,10.75,344890.0
2021-08-09,10.5,10.75,10.54,10.63,179100.0
2021-08-10,10.5,10.6,10.26,10.5,84755.0
2021-08-11,10.35,10.6,10.32,10.5,62430.0
2021-08-12,10.23,10.48,10.35,10.35,88700.0
2021-08-15,10.18,10.47,10.16,10.23,75430.0
2021-08-16,10.22,10.35,10.15,10.18,234470.0
2021-08-17,10.15,10.22,10.04,10.22,69905.0
2021-08-18,10.14,10.2,10.08,10.15,94630.0
2021-08-19,10.13,10.22,10.06,10.14,51330.0
2021-08-24,10.12,10.18,10.1,10.13,67990.0
2021-08-25,10.11,10.13,10.1,10.12,22710.0
2021-08-26,10.12,10.2,10.05,10.11,56780.0
2021-08-29,10.05,10.15,10.05,10.12,72995.0
2021-08-31,10.09,10.33,10.03,10.05,150860.0
2021-09-01,10.07,10.2,10.02,10.09,40730.0
2021-09-02,10.14,10.2,10.05,10.07,54500.0
2021-09-05,10.09,10.26,9.9,10.14,80984.0
2021-09-06,10.29,10.14,10.0,10.09,64990.0
2021-09-07,10.05,10.29,10.0,10.29,37525.0
2021-09-08,10.0,10.2,10.0,10.05,36710.0
2021-09-09,10.04,10.12,10.0,10.0,45210.0
2021-09-12,10.0,10.08,9.9,10.04,54810.0
2021-09-13,9.97,10.03,9.92,10.0,16950.0
2021-09-14,9.97,10.0,9.95,9.97,7600.0
2021-09-15,9.87,10.0,9.96,9.97,22260.0
2021-09-16,9.5,9.98,9.82,9.87,26200.0
2021-09-20,9.6,9.95,9.46,9.5,39510.0
2021-09-21,9.6,9.88,9.3,9.6,33863.0
2021-09-22,9.7,9.99,9.43,9.6,59100.0
2021-09-23,9.62,9.88,9.5,9.7,50750.0
2021-09-26,9.54,9.79,9.52,9.62,23400.0
2021-09-27,9.39,9.66,9.5,9.54,24800.0
2021-09-28,9.45,9.73,9.37,9.39,32735.0
2021-09-29,9.45,9.45,9.27,9.45,21410.0
2021-09-30,9.24,9.59,9.1,9.45,43960.0
2021-10-03,9.2,9.54,9.22,9.24,25610.0
2021-10-04,9.26,9.25,9.18,9.2,33200.0
2021-10-05,9.4,9.39,9.08,9.26,9541.0
2021-10-06,9.48,9.59,9.11,9.4,12050.0
2021-10-10,9.8,9.57,9.4,9.48,5700.0
2021-10-11,9.62,9.84,9.47,9.8,24100.0
2021-10-17,9.37,9.7,9.6,9.62,8100.0
2021-10-18,9.36,9.5,9.33,9.37,8200.0
2021-10-19,9.6,9.45,9.32,9.36,8550.0
2021-10-20,9.56,9.73,9.34,9.6,57475.0
2021-10-21,9.63,9.75,9.45,9.56,6750.0
2021-10-24,9.56,9.82,9.38,9.63,9800.0
2021-10-25,9.7,9.65,9.46,9.56,4590.0
2021-10-26,9.6,9.85,9.42,9.7,34190.0
2021-10-27,9.7,9.7,9.51,9.6,12060.0
2021-10-28,9.75,9.7,9.41,9.7,20360.0
2021-10-31,9.8,9.78,9.51,9.75,9440.0
2021-11-01,9.76,9.81,9.63,9.8,30800.0
2021-11-02,9.71,9.8,9.42,9.76,26080.0
2021-11-03,9.64,9.8,9.62,9.71,9600.0
2021-11-08,9.62,9.82,9.63,9.64,11450.0
2021-11-09,9.6,9.7,9.6,9.62,22300.0
2021-11-11,9.68,9.79,9.57,9.6,11470.0
2021-11-14,9.55,9.68,9.5,9.68,34069.0
2021-11-15,9.56,9.69,9.5,9.55,24410.0
2021-11-16,9.58,9.74,9.45,9.56,76100.0
2021-11-17,9.48,9.58,9.4,9.58,18320.0
2021-11-18,9.5,9.64,9.39,9.48,11100.0
2021-11-21,9.47,9.5,9.39,9.5,9805.0
2021-11-22,9.38,9.56,9.41,9.47,9360.0
2021-11-23,9.33,9.47,9.36,9.38,15700.0
2021-11-24,9.4,9.5,9.31,9.33,23545.0
2021-11-25,9.38,9.52,9.32,9.4,10005.0
2021-11-28,9.36,9.5,9.32,9.38,9800.0
2021-11-29,9.31,9.45,9.33,9.36,14300.0
2021-11-30,9.33,9.32,9.31,9.31,17020.0
2021-12-01,9.25,9.38,9.15,9.33,16220.0
2021-12-02,9.15,9.5,9.16,9.25,32810.0
2021-12-05,9.03,9.4,9.07,9.15,18100.0
2021-12-06,9.08,9.2,8.98,9.03,31530.0
2021-12-07,9.18,9.2,9.0,9.08,4530.0
2021-12-08,9.1,9.18,9.0,9.18,8400.0
2021-12-09,9.01,9.1,9.0,9.1,7245.0
2021-12-12,8.9,9.1,9.0,9.01,6050.0
2021-12-13,8.89,8.9,8.67,8.9,7320.0
2021-12-14,9.15,9.0,8.75,8.89,4560.0
2021-12-15,8.95,9.15,8.98,9.15,1840.0
2021-12-16,9.0,9.0,8.9,8.95,8250.0
2021-12-20,9.0,9.07,8.72,9.0,16865.0
2021-12-21,9.0,9.15,8.82,9.0,25010.0
2021-12-22,8.95,9.18,8.83,9.0,22610.0
2021-12-23,9.26,9.0,8.85,8.95,14875.0
2021-12-26,9.0,9.26,8.92,9.26,7600.0
2021-12-27,8.92,9.2,8.86,9.0,7900.0
2021-12-28,8.94,8.93,8.86,8.92,2600.0
2021-12-29,8.94,9.1,8.92,8.94,4800.0
