Date,Open,High,Low,Close,Volume
2015-06-28,170.0,170.0,170.0,170.0,33060.0
2015-06-30,139.0,170.0,170.0,170.0,31475.0
2017-10-17,106.0,139.0,137.0,139.0,27397.0
2018-02-11,106.0,106.0,106.0,106.0,95000.0
2018-03-20,106.0,106.0,106.0,106.0,22743.0
2018-04-11,106.0,106.0,106.0,106.0,20000.0
2018-05-08,105.0,106.0,106.0,106.0,30000.0
2018-06-24,105.0,105.0,105.0,105.0,71060.0
2018-06-28,105.0,105.0,105.0,105.0,31232.0
2018-07-16,105.0,105.0,105.0,105.0,13600.0
2018-07-29,105.0,105.0,105.0,105.0,9500.0
2018-09-30,105.0,105.0,105.0,105.0,18400.0
2018-10-11,105.0,105.0,105.0,105.0,5000.0
2019-02-07,107.0,105.0,105.0,105.0,55915.0
2019-02-12,107.0,107.0,105.0,107.0,15825.0
2019-03-19,107.0,107.0,107.0,107.0,33693.0
2019-04-17,107.0,107.0,107.0,107.0,27248.0
2019-04-21,105.0,107.0,107.0,107.0,46000.0
2019-06-12,105.0,105.0,105.0,105.0,101070.0
2019-06-30,105.0,105.0,105.0,105.0,6494.0
2019-07-04,105.0,105.0,105.0,105.0,29295.0
2019-07-23,105.0,105.0,105.0,105.0,27000.0
2019-07-24,106.0,105.0,105.0,105.0,45139.0
2019-08-05,106.0,106.0,106.0,106.0,13920.0
2019-09-08,106.0,106.0,106.0,106.0,6500.0
2019-09-11,104.0,106.0,106.0,106.0,29975.0
2019-09-22,104.0,104.0,104.0,104.0,13515.0
2019-12-03,104.0,104.0,104.0,104.0,14335.0
2020-01-09,104.0,104.0,104.0,104.0,50000.0
2020-01-28,104.0,104.0,104.0,104.0,157343.0
2020-07-23,123.0,104.0,104.0,104.0,27500.0
2020-10-21,123.0,123.0,123.0,123.0,25666.0
2020-11-01,123.0,123.0,123.0,123.0,23448.0
2020-12-29,123.0,123.0,123.0,123.0,10421.0
2020-12-30,123.0,123.0,123.0,123.0,73608.0
2021-01-07,123.0,123.0,123.0,123.0,11333.0
2021-01-17,123.0,123.0,123.0,123.0,1231.0
2021-03-03,123.0,123.0,123.0,123.0,15000.0
2021-04-04,123.0,123.0,123.0,123.0,100000.0
2021-04-12,121.0,123.0,123.0,123.0,20044.0
2021-04-22,121.0,121.0,121.0,121.0,22231.0
2021-04-27,121.0,121.0,121.0,121.0,6884.0
2021-06-20,121.0,121.0,121.0,121.0,19336.0
2021-06-22,121.0,121.0,121.0,121.0,50000.0
2021-06-29,121.0,121.0,121.0,121.0,5784.0
2021-07-05,121.0,121.0,121.0,121.0,5953.0
2021-07-18,381.0,121.0,121.0,121.0,6884.0
2021-09-09,381.0,381.0,381.0,381.0,63721.0
2021-09-30,381.0,381.0,381.0,381.0,20122.0
2021-10-25,381.0,381.0,381.0,381.0,12605.0
