Date,Open,High,Low,Close,Volume
2010-04-19,430.0,440.0,440.0,440.0,100.0
2010-04-25,414.0,432.0,430.0,430.0,193.0
2010-04-26,406.0,422.0,414.0,414.0,195.0
2010-04-27,400.0,410.0,406.0,406.0,150.0
2010-04-28,392.0,400.0,391.0,400.0,372.0
2010-05-10,385.0,392.0,392.0,392.0,75.0
2010-05-11,390.0,385.0,385.0,385.0,50.0
2010-05-19,397.0,390.0,386.0,390.0,118.0
2010-05-20,410.0,397.0,397.0,397.0,89.0
2010-06-13,415.0,410.0,404.0,410.0,250.0
2010-06-14,425.0,415.0,410.0,415.0,150.0
2010-06-16,417.0,425.0,418.0,425.0,510.0
2010-06-17,409.0,417.0,417.0,417.0,500.0
2010-06-21,405.0,410.0,407.0,409.0,330.0
2010-06-22,405.0,410.0,405.0,405.0,532.0
2010-06-23,397.0,405.0,405.0,405.0,250.0
2010-06-29,404.0,400.0,397.0,397.0,371.0
2010-07-01,396.0,404.0,404.0,404.0,300.0
2010-07-05,390.0,400.0,396.0,396.0,300.0
2010-07-06,388.0,390.0,390.0,390.0,76.0
2010-07-07,395.0,388.0,388.0,388.0,391.0
2010-07-08,418.0,395.0,385.0,395.0,408.0
2010-07-11,426.0,418.0,402.0,418.0,60.0
2010-07-12,418.0,426.0,426.0,426.0,20.0
2010-08-09,410.0,418.0,418.0,418.0,200.0
2010-08-18,394.0,410.0,410.0,410.0,200.0
2010-08-22,387.0,402.0,394.0,394.0,100.0
2010-08-29,373.0,387.0,387.0,387.0,100.0
2010-09-12,366.0,380.0,373.0,373.0,509.0
2010-09-13,359.0,366.0,366.0,366.0,112.0
2010-09-15,355.0,359.0,359.0,359.0,100.0
2010-09-16,355.0,355.0,355.0,355.0,101.0
2010-09-21,352.0,355.0,355.0,355.0,50.0
2010-09-26,340.0,352.0,352.0,352.0,100.0
2010-09-28,334.0,346.0,340.0,340.0,272.0
2010-09-30,330.0,334.0,334.0,334.0,47.0
2010-10-03,318.0,330.0,330.0,330.0,110.0
2010-10-05,316.0,318.0,318.0,318.0,10.0
2010-10-13,310.0,316.0,316.0,316.0,1125.0
2010-10-26,310.0,310.0,310.0,310.0,770.0
2010-11-02,310.0,310.0,310.0,310.0,40.0
2010-11-16,315.0,310.0,310.0,310.0,40.0
2010-11-24,315.0,315.0,315.0,315.0,67.0
2010-12-02,315.0,315.0,315.0,315.0,229.0
2010-12-13,320.0,315.0,315.0,315.0,89.0
2010-12-14,314.0,320.0,315.0,320.0,780.0
2010-12-16,310.0,314.0,314.0,314.0,170.0
2011-01-03,311.0,310.0,310.0,310.0,691.0
2011-01-04,312.0,311.0,311.0,311.0,98.0
