Date,Open,High,Low,Close,Volume
2020-12-16,415.0,378.0,344.0,378.0,53050.0
2020-12-17,379.0,415.0,396.0,415.0,82221.0
2020-12-20,387.0,435.0,374.0,379.0,78684.0
2020-12-21,380.0,390.0,343.0,387.0,60950.0
2020-12-22,373.0,380.0,370.0,380.0,32646.0
2020-12-23,391.0,387.0,365.0,373.0,16780.0
2020-12-24,387.0,410.0,365.0,391.0,53120.0
2020-12-27,392.0,409.0,387.0,387.0,72712.0
2020-12-28,386.0,399.0,379.0,392.0,13200.0
2020-12-29,393.0,410.0,382.0,386.0,20180.0
2020-12-30,383.0,393.0,380.0,393.0,11930.0
2020-12-31,379.0,390.0,381.0,383.0,10550.0
2021-01-03,377.0,388.0,378.0,379.0,12200.0
2021-01-04,383.0,385.0,374.0,377.0,11910.0
2021-01-05,383.0,409.0,371.0,383.0,12881.0
2021-01-06,382.0,390.0,380.0,383.0,11846.0
2021-01-07,378.0,385.0,372.0,382.0,8342.0
2021-01-10,382.0,382.0,375.0,378.0,8420.0
2021-01-11,378.0,391.0,375.0,382.0,22075.0
2021-01-12,384.0,383.0,374.0,378.0,11793.0
2021-01-13,396.0,385.0,376.0,384.0,9015.0
2021-01-17,401.0,405.0,379.0,396.0,24735.0
2021-01-18,400.0,415.0,395.0,401.0,18495.0
2021-01-19,397.0,405.0,393.0,400.0,18151.0
2021-01-20,436.0,408.0,392.0,397.0,9485.0
2021-01-21,479.0,436.0,396.0,436.0,40405.0
2021-01-24,526.0,479.0,420.0,479.0,31823.0
2021-01-25,525.0,526.0,461.0,526.0,47755.0
2021-01-26,537.0,538.0,507.0,525.0,26215.0
2021-01-27,532.0,545.0,499.0,537.0,25862.0
2021-01-28,535.0,563.0,521.0,532.0,14745.0
2021-01-31,588.0,535.0,514.0,535.0,23500.0
2021-02-01,646.0,588.0,521.0,588.0,29582.0
2021-02-02,649.0,646.0,578.0,646.0,37740.0
2021-02-03,676.0,707.0,626.0,649.0,37166.0
2021-02-04,694.0,703.0,614.0,676.0,34561.0
2021-02-07,675.0,726.0,656.0,694.0,25785.0
2021-02-08,645.0,701.0,660.0,675.0,26305.0
2021-02-09,640.0,707.0,635.0,645.0,31817.0
2021-02-10,620.0,677.0,622.0,640.0,26200.0
2021-02-11,613.0,640.0,618.0,620.0,15428.0
2021-02-14,643.0,630.0,604.0,613.0,20260.0
2021-02-15,650.0,650.0,610.0,643.0,40120.0
2021-02-16,635.0,650.0,627.0,650.0,28531.0
2021-02-17,650.0,648.0,629.0,635.0,34932.0
2021-02-18,650.0,659.0,630.0,650.0,21616.0
2021-02-21,647.0,670.0,634.0,650.0,41465.0
2021-02-22,645.0,663.0,637.0,647.0,18510.0
2021-02-23,646.0,647.0,635.0,645.0,17585.0
2021-02-24,643.0,655.0,635.0,646.0,20264.0
2021-02-25,622.0,650.0,636.0,643.0,13120.0
2021-02-28,625.0,633.0,615.0,622.0,14411.0
2021-03-01,618.0,635.0,600.0,625.0,14902.0
2021-03-02,624.0,656.0,617.0,618.0,8426.0
2021-03-03,643.0,642.0,608.0,624.0,16220.0
2021-03-04,637.0,646.0,624.0,643.0,12160.0
2021-03-07,640.0,643.0,635.0,637.0,7910.0
2021-03-09,657.0,641.0,625.0,640.0,14810.0
2021-03-10,696.0,663.0,631.0,657.0,13721.0
2021-03-14,681.0,710.0,634.0,696.0,44120.0
2021-03-15,672.0,730.0,671.0,681.0,25060.0
2021-03-16,667.0,693.0,667.0,672.0,8842.0
2021-03-17,674.0,685.0,647.0,667.0,7630.0
2021-03-18,680.0,678.0,654.0,674.0,6396.0
2021-03-21,685.0,691.0,630.0,680.0,21793.0
2021-03-22,715.0,690.0,654.0,685.0,12700.0
2021-03-23,705.0,716.0,651.0,715.0,43777.0
2021-03-24,697.0,725.0,696.0,705.0,18923.0
2021-03-25,683.0,735.0,680.0,697.0,10820.0
2021-03-29,690.0,697.0,677.0,683.0,13610.0
2021-03-30,689.0,707.0,659.0,690.0,5594.0
2021-03-31,702.0,695.0,680.0,689.0,7189.0
2021-04-01,704.0,702.0,676.0,702.0,17953.0
2021-04-04,708.0,707.0,690.0,704.0,9826.0
2021-04-05,714.0,718.0,691.0,708.0,11655.0
2021-04-06,727.0,738.0,696.0,714.0,14289.0
2021-04-07,732.0,750.0,702.0,727.0,23145.0
2021-04-08,758.0,740.0,713.0,732.0,10293.0
2021-04-12,833.0,800.0,730.0,758.0,25683.0
2021-04-13,823.0,833.0,764.0,833.0,45712.0
2021-04-15,804.0,884.0,805.0,823.0,40059.0
2021-04-18,782.0,820.0,790.0,804.0,29998.0
2021-04-19,790.0,804.0,771.0,782.0,13642.0
2021-04-20,778.0,802.0,760.0,790.0,11927.0
2021-04-21,774.0,805.0,766.0,778.0,11935.0
2021-04-22,739.0,775.0,761.0,774.0,10350.0
2021-04-25,730.0,770.0,732.0,739.0,18366.0
2021-04-26,770.0,759.0,703.0,730.0,13105.0
2021-04-27,772.0,770.0,717.0,770.0,9220.0
2021-04-28,790.0,785.0,726.0,772.0,6769.0
2021-04-29,805.0,798.0,758.0,790.0,8804.0
2021-05-02,793.0,810.0,762.0,805.0,16014.0
2021-05-03,792.0,810.0,782.0,793.0,16942.0
2021-05-04,780.0,807.0,778.0,792.0,6540.0
2021-05-05,760.0,792.0,778.0,780.0,7210.0
2021-05-06,777.0,788.0,760.0,760.0,9309.0
2021-05-09,796.0,826.0,750.0,777.0,30693.0
2021-05-10,808.0,798.0,763.0,796.0,5919.0
2021-05-11,845.0,812.0,796.0,808.0,12944.0
2021-05-12,840.0,864.0,805.0,845.0,33795.0
2021-05-13,830.0,867.0,830.0,840.0,24444.0
2021-05-16,835.0,872.0,825.0,830.0,25792.0
2021-05-17,853.0,851.0,821.0,835.0,20835.0
2021-05-18,840.0,877.0,835.0,853.0,27370.0
2021-05-19,824.0,869.0,823.0,840.0,25322.0
2021-05-20,830.0,840.0,816.0,824.0,21914.0
2021-05-23,818.0,837.0,808.0,830.0,12830.0
2021-05-24,810.0,837.0,815.0,818.0,12269.0
2021-05-25,839.0,827.0,807.0,810.0,10215.0
2021-05-27,807.0,860.0,799.0,839.0,36891.0
2021-05-30,790.0,849.0,800.0,807.0,26738.0
2021-05-31,780.0,820.0,788.0,790.0,30437.0
2021-06-01,819.0,793.0,770.0,780.0,24965.0
2021-06-02,796.0,793.0,770.0,819.0,19008.0
2021-06-03,781.0,835.0,794.0,796.0,18901.0
2021-06-06,788.0,790.0,775.0,781.0,6435.0
2021-06-07,792.0,800.0,781.0,788.0,20385.0
2021-06-08,786.0,806.0,776.0,792.0,12447.0
2021-06-09,864.0,800.0,777.0,786.0,6139.0
2021-06-10,950.0,864.0,771.0,864.0,96143.0
2021-06-13,959.0,950.0,907.0,950.0,17664.0
2021-06-14,974.0,1045.0,925.0,959.0,81217.0
2021-06-15,935.0,1026.0,967.0,974.0,79578.0
2021-06-16,903.0,970.0,878.0,935.0,51201.0
2021-06-17,875.0,938.0,899.0,903.0,16795.0
2021-06-20,855.0,914.0,846.0,875.0,30764.0
2021-06-21,887.0,908.0,841.0,855.0,25140.0
2021-06-22,860.0,929.0,840.0,887.0,11837.0
2021-06-23,861.0,895.0,850.0,860.0,10960.0
2021-06-24,873.0,899.0,843.0,861.0,12090.0
2021-06-27,856.0,890.0,845.0,873.0,12282.0
2021-06-28,843.0,876.0,845.0,856.0,9045.0
2021-06-29,835.0,888.0,841.0,843.0,6893.0
2021-06-30,835.0,855.0,825.0,835.0,15060.0
2021-07-01,835.0,868.0,825.0,835.0,7561.0
2021-07-04,826.0,835.0,821.0,835.0,1774.0
