Date,Open,High,Low,Close,Volume
2021-03-16,446.0,446.0,438.0,446.0,30.0
2021-03-17,446.0,446.0,446.0,446.0,4.0
2021-03-18,463.0,446.0,446.0,446.0,1.0
2021-03-22,490.0,463.0,440.0,463.0,31.0
2021-03-23,508.0,490.0,472.0,490.0,30.0
2021-03-24,538.0,508.0,499.0,508.0,20.0
2021-03-25,591.0,538.0,518.0,538.0,30.0
2021-03-29,602.0,591.0,564.0,591.0,50.0
2021-03-30,662.0,602.0,602.0,602.0,10.0
2021-03-31,708.0,662.0,614.0,662.0,50.0
2021-04-01,736.0,708.0,695.0,708.0,20.0
2021-04-04,765.0,736.0,722.0,736.0,20.0
2021-04-05,841.0,765.0,718.0,765.0,32.0
2021-04-06,925.0,841.0,780.0,841.0,50.0
2021-04-07,1017.0,925.0,857.0,925.0,60.0
2021-04-12,1099.0,1017.0,943.0,1017.0,90.0
2021-04-13,1208.0,1099.0,1037.0,1099.0,50.0
2021-04-15,1328.0,1208.0,1120.0,1208.0,70.0
2021-04-18,1460.0,1328.0,1232.0,1328.0,80.0
2021-04-19,1606.0,1460.0,1354.0,1460.0,120.0
2021-04-20,1766.0,1606.0,1489.0,1606.0,120.0
2021-04-21,1942.0,1766.0,1686.0,1766.0,270.0
2021-04-22,2136.0,1942.0,1801.0,1942.0,370.0
2021-04-25,2349.0,2136.0,1980.0,2136.0,1025.0
2021-04-26,2583.0,2349.0,2178.0,2349.0,1231.0
2021-04-27,2841.0,2583.0,2466.0,2583.0,1390.0
2021-04-28,3125.0,2841.0,2766.0,2841.0,1280.0
2021-04-29,3437.0,3125.0,2979.0,3125.0,1850.0
2021-05-02,3780.0,3437.0,3281.0,3437.0,1810.0
2021-05-03,4158.0,3780.0,3608.0,3780.0,2420.0
2021-05-04,4573.0,4158.0,3969.0,4158.0,2430.0
2021-05-05,5030.0,4573.0,4365.0,4573.0,2245.0
2021-05-06,4527.0,5030.0,4801.0,5030.0,12843.0
2021-05-09,4700.0,5493.0,4527.0,4527.0,51088.0
2021-05-10,4725.0,4845.0,4263.0,4700.0,28160.0
2021-05-11,4670.0,4800.0,4650.0,4725.0,6971.0
2021-05-12,4585.0,4700.0,4651.0,4670.0,6316.0
2021-05-13,4657.0,4670.0,4584.0,4585.0,9166.0
2021-05-16,4638.0,4660.0,4560.0,4657.0,11595.0
2021-05-17,4645.0,4664.0,4605.0,4638.0,7610.0
2021-05-18,4600.0,4665.0,4620.0,4645.0,8135.0
2021-05-19,4615.0,4674.0,4578.0,4600.0,6930.0
2021-05-20,4590.0,4650.0,4530.0,4615.0,8460.0
2021-05-23,4583.0,4618.0,4525.0,4590.0,4561.0
2021-05-24,4571.0,4620.0,4565.0,4583.0,5060.0
2021-05-25,4400.0,4600.0,4561.0,4571.0,3725.0
2021-05-27,4339.0,4504.0,4388.0,4400.0,12727.0
2021-05-30,4322.0,4484.0,4303.0,4339.0,5070.0
2021-05-31,4305.0,4400.0,4314.0,4322.0,4288.0
2021-06-01,4320.0,4350.0,4290.0,4305.0,3375.0
2021-06-02,4752.0,4350.0,4290.0,4320.0,3588.0
2021-06-03,5227.0,4752.0,4320.0,4752.0,13953.0
2021-06-06,5390.0,5227.0,4989.0,5227.0,19299.0
2021-06-07,5299.0,5749.0,4999.0,5390.0,39897.0
2021-06-08,5232.0,5600.0,5250.0,5299.0,7851.0
2021-06-09,5188.0,5560.0,5050.0,5232.0,5274.0
2021-06-10,5102.0,5330.0,5150.0,5188.0,5106.0
2021-06-13,5050.0,5400.0,5101.0,5102.0,4948.0
2021-06-14,5030.0,5170.0,5050.0,5050.0,5019.0
2021-06-15,5035.0,5300.0,5002.0,5030.0,4994.0
2021-06-16,5004.0,5304.0,4875.0,5035.0,7023.0
2021-06-17,4840.0,5237.0,5000.0,5004.0,3842.0
