Date,Open,High,Low,Close,Volume
2011-11-03,289.0,330.0,312.0,312.0,60.0
2011-11-06,274.0,306.0,289.0,289.0,70.0
2011-11-08,249.0,284.0,274.0,274.0,50.0
2011-11-13,233.0,269.0,249.0,249.0,90.0
2011-11-14,210.0,245.0,233.0,233.0,130.0
2011-11-15,189.0,229.0,210.0,210.0,150.0
2011-11-16,171.0,206.0,189.0,189.0,100.0
2011-11-17,154.0,186.0,171.0,171.0,90.0
2011-11-20,146.0,168.0,154.0,154.0,8140.0
2011-11-21,160.0,151.0,142.0,146.0,7170.0
2011-11-22,153.0,160.0,144.0,160.0,17060.0
2011-11-23,158.0,161.0,151.0,153.0,10630.0
2011-11-24,162.0,160.0,156.0,158.0,10850.0
2011-11-27,160.0,162.0,156.0,162.0,18790.0
2011-11-28,160.0,163.0,155.0,160.0,8150.0
2011-11-29,169.0,162.0,156.0,160.0,13200.0
2011-11-30,162.0,169.0,157.0,169.0,18900.0
2011-12-01,152.0,166.0,157.0,162.0,19450.0
2011-12-04,137.0,159.0,152.0,152.0,80.0
2011-12-11,140.0,149.0,137.0,137.0,100.0
2011-12-12,135.0,140.0,128.0,140.0,1370.0
2011-12-13,142.0,144.0,134.0,135.0,1600.0
2011-12-14,141.0,142.0,136.0,142.0,1000.0
2011-12-15,145.0,141.0,139.0,141.0,790.0
2011-12-18,149.0,145.0,143.0,145.0,60.0
2011-12-19,151.0,149.0,143.0,149.0,570.0
2011-12-20,146.0,151.0,149.0,151.0,220.0
2011-12-21,146.0,148.0,146.0,146.0,190.0
2011-12-22,148.0,148.0,146.0,146.0,130.0
2011-12-26,146.0,148.0,145.0,148.0,130.0
2011-12-27,142.0,148.0,146.0,146.0,380.0
2011-12-28,144.0,144.0,141.0,142.0,670.0
2011-12-29,146.0,144.0,143.0,144.0,1510.0
2012-01-01,148.0,150.0,146.0,146.0,1820.0
2012-01-02,151.0,150.0,142.0,148.0,450.0
2012-01-03,150.0,154.0,145.0,151.0,950.0
2012-01-04,152.0,150.0,148.0,150.0,1590.0
2012-01-05,153.0,152.0,151.0,152.0,940.0
2012-01-08,156.0,153.0,149.0,153.0,990.0
2012-01-09,160.0,158.0,153.0,156.0,970.0
2012-01-10,164.0,160.0,156.0,160.0,700.0
2012-01-11,161.0,164.0,157.0,164.0,1000.0
2012-01-12,159.0,165.0,160.0,161.0,1700.0
2012-01-16,157.0,161.0,159.0,159.0,1100.0
2012-01-17,161.0,158.0,156.0,157.0,1310.0
2012-01-18,160.0,161.0,157.0,161.0,1200.0
2012-01-19,159.0,160.0,160.0,160.0,530.0
2012-01-22,157.0,160.0,159.0,159.0,1000.0
2012-01-23,155.0,157.0,154.0,157.0,580.0
2012-01-25,157.0,155.0,154.0,155.0,140.0
2012-01-26,163.0,160.0,155.0,157.0,300.0
2012-01-29,162.0,165.0,160.0,163.0,1610.0
2012-01-31,164.0,166.0,162.0,162.0,1390.0
2012-02-01,165.0,165.0,162.0,164.0,60.0
2012-02-02,165.0,165.0,162.0,165.0,620.0
2012-02-05,161.0,165.0,160.0,165.0,430.0
2012-02-06,161.0,165.0,160.0,161.0,810.0
2012-02-07,162.0,163.0,161.0,161.0,510.0
2012-02-08,162.0,165.0,162.0,162.0,2320.0
2012-02-09,161.0,163.0,160.0,162.0,560.0
2012-02-12,162.0,161.0,161.0,161.0,390.0
2012-02-13,159.0,169.0,160.0,162.0,290.0
2012-02-14,162.0,160.0,159.0,159.0,250.0
2012-02-15,160.0,162.0,153.0,162.0,850.0
2012-02-16,164.0,160.0,159.0,160.0,730.0
2012-02-21,160.0,164.0,159.0,164.0,1940.0
2012-02-23,162.0,166.0,160.0,160.0,800.0
2012-02-26,161.0,162.0,159.0,162.0,100.0
2012-02-27,161.0,161.0,160.0,161.0,1150.0
2012-02-28,167.0,161.0,160.0,161.0,60.0
2012-02-29,162.0,167.0,164.0,167.0,40.0
2012-03-01,163.0,165.0,162.0,162.0,230.0
2012-03-05,171.0,165.0,163.0,163.0,340.0
2012-03-06,165.0,171.0,161.0,171.0,300.0
2012-03-11,164.0,174.0,165.0,165.0,620.0
2012-03-12,170.0,164.0,162.0,164.0,30.0
2012-03-13,169.0,170.0,165.0,170.0,490.0
2012-03-14,170.0,173.0,167.0,169.0,1550.0
2012-03-15,170.0,172.0,169.0,170.0,1260.0
2012-03-19,168.0,173.0,170.0,170.0,60.0
2012-03-20,171.0,169.0,167.0,168.0,280.0
2012-03-21,166.0,171.0,160.0,171.0,1130.0
2012-03-25,168.0,168.0,162.0,166.0,860.0
2012-03-26,169.0,168.0,167.0,168.0,190.0
2012-03-27,170.0,169.0,169.0,169.0,270.0
2012-03-28,167.0,170.0,170.0,170.0,100.0
2012-03-29,168.0,167.0,167.0,167.0,120.0
2012-04-01,171.0,168.0,165.0,168.0,290.0
2012-04-02,170.0,171.0,169.0,171.0,1430.0
2012-04-03,170.0,172.0,170.0,170.0,1350.0
2012-04-04,169.0,176.0,170.0,170.0,1290.0
2012-04-05,175.0,169.0,168.0,169.0,80.0
2012-04-08,179.0,175.0,170.0,175.0,700.0
2012-04-09,179.0,181.0,175.0,179.0,850.0
2012-04-10,194.0,185.0,176.0,179.0,1490.0
2012-04-11,191.0,194.0,182.0,194.0,1160.0
2012-04-12,197.0,200.0,184.0,191.0,2510.0
2012-04-15,200.0,200.0,194.0,197.0,180.0
2012-04-16,196.0,200.0,200.0,200.0,1310.0
2012-04-17,210.0,212.0,196.0,196.0,2780.0
2012-04-18,209.0,214.0,193.0,210.0,2130.0
2012-04-19,229.0,222.0,209.0,209.0,2070.0
2012-04-22,251.0,229.0,213.0,229.0,300.0
2012-04-24,271.0,251.0,233.0,251.0,320.0
2012-04-25,291.0,271.0,256.0,271.0,170.0
2012-04-26,279.0,291.0,276.0,291.0,1810.0
2012-04-29,270.0,307.0,279.0,279.0,3240.0
2012-04-30,265.0,274.0,252.0,270.0,2230.0
2012-05-02,280.0,265.0,265.0,265.0,20.0
2012-05-03,285.0,280.0,270.0,280.0,1160.0
2012-05-07,279.0,285.0,285.0,285.0,30.0
2012-05-08,272.0,284.0,279.0,279.0,2330.0
2012-05-09,255.0,277.0,267.0,272.0,2450.0
2012-05-10,241.0,267.0,248.0,255.0,3370.0
2012-05-13,233.0,256.0,240.0,241.0,430.0
2012-05-14,249.0,237.0,229.0,233.0,150.0
2012-05-15,268.0,249.0,237.0,249.0,450.0
2012-05-16,288.0,268.0,253.0,268.0,880.0
2012-05-17,260.0,288.0,273.0,288.0,1340.0
2012-05-20,259.0,283.0,260.0,260.0,1330.0
2012-05-21,256.0,266.0,245.0,259.0,2080.0
2012-05-22,242.0,259.0,249.0,256.0,270.0
2012-05-23,250.0,251.0,242.0,242.0,40.0
2012-05-24,270.0,251.0,234.0,250.0,2730.0
2012-05-27,245.0,270.0,255.0,270.0,760.0
2012-05-29,221.0,265.0,245.0,245.0,50.0
2012-05-30,231.0,241.0,221.0,221.0,2700.0
2012-05-31,247.0,243.0,217.0,231.0,2760.0
2012-06-03,253.0,247.0,235.0,247.0,430.0
2012-06-04,239.0,253.0,245.0,253.0,680.0
2012-06-05,234.0,248.0,238.0,239.0,2300.0
2012-06-06,248.0,245.0,229.0,234.0,1520.0
2012-06-07,230.0,248.0,233.0,248.0,850.0
2012-06-10,234.0,260.0,225.0,230.0,2410.0
2012-06-11,233.0,234.0,234.0,234.0,390.0
