Date,Open,High,Low,Close,Volume
2012-12-17,414.0,395.0,380.0,395.0,30.0
2012-12-18,450.0,414.0,414.0,414.0,10.0
2012-12-19,490.0,450.0,434.0,450.0,40.0
2012-12-20,534.0,490.0,472.0,490.0,31.0
2012-12-23,609.0,534.0,514.0,534.0,40.0
2012-12-24,645.0,609.0,544.0,609.0,1292.0
2012-12-26,709.0,645.0,598.0,645.0,91.0
2012-12-27,779.0,709.0,677.0,709.0,1260.0
2012-12-31,856.0,779.0,744.0,779.0,6361.0
2013-01-01,941.0,856.0,817.0,856.0,40.0
2013-01-02,1035.0,941.0,260.0,941.0,26591.0
2013-01-03,1251.0,1035.0,959.0,1035.0,1573.0
2013-01-07,1295.0,1251.0,1194.0,1251.0,11538.0
2013-01-08,1166.0,1321.0,1251.0,1295.0,8462.0
2013-01-09,1050.0,1270.0,1166.0,1166.0,5575.0
2013-01-10,1000.0,1143.0,1050.0,1050.0,2609.0
2013-01-13,950.0,1029.0,990.0,1000.0,8816.0
2013-01-15,931.0,999.0,948.0,950.0,4209.0
2013-01-16,926.0,940.0,919.0,931.0,1956.0
2013-01-17,903.0,932.0,915.0,926.0,3713.0
2013-01-20,917.0,935.0,884.0,903.0,1931.0
2013-01-21,950.0,935.0,895.0,917.0,1308.0
2013-01-22,970.0,969.0,904.0,950.0,607.0
2013-01-23,950.0,975.0,935.0,970.0,1882.0
2013-01-24,930.0,989.0,925.0,950.0,1717.0
2013-01-27,924.0,965.0,920.0,930.0,1613.0
2013-01-28,930.0,932.0,915.0,924.0,2067.0
2013-01-30,930.0,936.0,921.0,930.0,855.0
2013-01-31,919.0,940.0,925.0,930.0,1442.0
2013-02-03,920.0,940.0,919.0,919.0,2609.0
2013-02-04,921.0,930.0,902.0,920.0,1557.0
2013-02-05,907.0,930.0,910.0,921.0,1868.0
2013-02-06,920.0,917.0,905.0,907.0,1037.0
2013-02-07,900.0,920.0,892.0,920.0,1392.0
2013-02-10,880.0,905.0,900.0,900.0,618.0
2013-02-12,897.0,912.0,880.0,880.0,4393.0
2013-02-13,808.0,905.0,840.0,897.0,21258.0
2013-02-14,800.0,880.0,808.0,808.0,13260.0
2013-02-19,791.0,825.0,797.0,800.0,3313.0
2013-02-20,780.0,816.0,784.0,791.0,3091.0
2013-02-21,762.0,805.0,780.0,780.0,2252.0
2013-02-24,725.0,779.0,736.0,762.0,3195.0
2013-02-25,700.0,770.0,717.0,725.0,2420.0
2013-02-26,687.0,714.0,695.0,700.0,1765.0
