Date,Open,High,Low,Close,Volume
2010-04-15,671.0,693.0,671.0,671.0,484.0
2010-04-19,655.0,670.0,658.0,659.0,709.0
2010-04-20,617.0,658.0,652.0,655.0,433.0
2010-04-21,624.0,647.0,615.0,617.0,1557.0
2010-04-22,602.0,632.0,598.0,624.0,1679.0
2010-04-25,601.0,612.0,600.0,602.0,1035.0
2010-04-26,580.0,609.0,601.0,601.0,403.0
2010-04-27,581.0,600.0,570.0,580.0,1633.0
2010-04-28,592.0,586.0,570.0,581.0,1078.0
2010-04-29,586.0,592.0,592.0,592.0,42.0
2010-05-09,600.0,595.0,586.0,586.0,339.0
2010-05-10,660.0,605.0,596.0,600.0,183.0
2010-05-11,714.0,660.0,612.0,660.0,1231.0
2010-05-12,720.0,714.0,673.0,714.0,1588.0
2010-05-13,661.0,771.0,710.0,720.0,3036.0
2010-05-16,687.0,729.0,649.0,661.0,1114.0
2010-05-17,735.0,687.0,661.0,687.0,1450.0
2010-05-18,730.0,735.0,675.0,735.0,1100.0
2010-05-19,741.0,738.0,716.0,730.0,1299.0
2010-05-20,740.0,747.0,730.0,741.0,1821.0
2010-05-23,740.0,740.0,730.0,740.0,1397.0
2010-05-24,766.0,742.0,728.0,740.0,1899.0
2010-05-25,750.0,790.0,735.0,766.0,1035.0
2010-05-26,825.0,810.0,750.0,750.0,1433.0
2010-05-30,783.0,825.0,765.0,825.0,3084.0
2010-05-31,780.0,874.0,772.0,783.0,1771.0
2010-06-01,775.0,780.0,746.0,780.0,2640.0
2010-06-02,775.0,780.0,765.0,775.0,407.0
2010-06-03,735.0,790.0,765.0,775.0,1228.0
2010-06-06,755.0,775.0,735.0,735.0,1234.0
2010-06-07,775.0,755.0,740.0,755.0,706.0
2010-06-08,782.0,775.0,748.0,775.0,3363.0
2010-06-09,780.0,782.0,759.0,782.0,2879.0
2010-06-10,771.0,785.0,775.0,780.0,1003.0
2010-06-13,761.0,783.0,771.0,771.0,2253.0
2010-06-14,751.0,770.0,760.0,761.0,412.0
2010-06-15,771.0,758.0,750.0,751.0,1018.0
2010-06-16,759.0,780.0,755.0,771.0,819.0
2010-06-17,765.0,775.0,759.0,759.0,602.0
2010-06-20,755.0,765.0,759.0,765.0,546.0
2010-06-21,750.0,770.0,755.0,755.0,823.0
2010-06-22,750.0,750.0,742.0,750.0,1007.0
2010-06-23,735.0,750.0,740.0,750.0,400.0
2010-06-24,696.0,745.0,731.0,735.0,324.0
2010-06-29,695.0,725.0,696.0,696.0,1382.0
2010-06-30,720.0,701.0,694.0,695.0,2681.0
2010-07-01,719.0,750.0,708.0,720.0,1747.0
2010-07-04,710.0,720.0,713.0,719.0,2147.0
2010-07-05,701.0,720.0,710.0,710.0,523.0
2010-07-06,710.0,701.0,700.0,701.0,702.0
2010-07-07,710.0,710.0,710.0,710.0,250.0
2010-07-08,715.0,720.0,705.0,710.0,1794.0
2010-07-11,704.0,715.0,715.0,715.0,88.0
2010-07-12,704.0,705.0,690.0,704.0,2160.0
2010-07-13,705.0,704.0,690.0,704.0,1099.0
2010-07-14,705.0,705.0,696.0,705.0,806.0
2010-07-15,700.0,705.0,705.0,705.0,86.0
2010-07-18,716.0,706.0,700.0,700.0,708.0
2010-07-19,728.0,716.0,700.0,716.0,487.0
2010-07-20,745.0,728.0,705.0,728.0,558.0
2010-07-21,740.0,745.0,719.0,745.0,1393.0
2010-07-22,730.0,743.0,730.0,740.0,508.0
2010-07-25,721.0,741.0,730.0,730.0,277.0
2010-07-26,729.0,742.0,721.0,721.0,844.0
2010-07-27,719.0,729.0,715.0,729.0,134.0
2010-07-28,725.0,719.0,705.0,719.0,1868.0
2010-07-29,721.0,725.0,717.0,725.0,1024.0
2010-08-01,711.0,728.0,721.0,721.0,325.0
2010-08-02,717.0,722.0,709.0,711.0,1288.0
2010-08-03,740.0,720.0,715.0,717.0,233.0
2010-08-04,719.0,740.0,720.0,740.0,1274.0
2010-08-05,716.0,736.0,719.0,719.0,749.0
