Date,Open,High,Low,Close,Volume
2018-04-24,9.8,10.0,10.0,10.0,1000.0
2018-04-29,9.5,9.81,9.8,9.8,1800.0
2018-05-02,9.5,9.6,9.5,9.5,1700.0
2018-05-03,9.5,9.5,9.4,9.5,1150.0
2018-05-06,9.5,9.5,9.5,9.5,900.0
2018-05-08,9.35,9.5,9.36,9.5,1600.0
2018-05-10,9.4,9.35,9.32,9.35,1000.0
2018-05-16,9.23,9.4,9.4,9.4,500.0
2018-05-21,9.23,9.23,9.23,9.23,1000.0
2018-05-22,9.07,9.23,9.23,9.23,140.0
2018-05-27,9.15,9.07,9.07,9.07,5000.0
2018-05-28,9.52,9.15,9.15,9.15,2000.0
2018-05-29,9.52,9.52,9.33,9.52,3700.0
2018-05-31,9.0,9.6,9.52,9.52,4600.0
2018-06-04,9.18,9.33,9.0,9.0,1600.0
2018-06-07,9.0,9.18,9.0,9.18,1100.0
2018-06-10,8.82,9.13,8.95,9.0,5600.0
2018-06-11,8.82,8.91,8.82,8.82,1100.0
2018-06-13,9.0,8.82,8.82,8.82,500.0
2018-06-17,8.82,9.0,9.0,9.0,500.0
2018-06-18,8.9,8.82,8.82,8.82,500.0
2018-06-27,9.0,8.9,8.9,8.9,1000.0
2018-06-28,9.1,9.05,9.0,9.0,1000.0
2018-07-01,8.95,9.1,9.03,9.1,3000.0
2018-07-04,9.0,9.03,8.95,8.95,1500.0
2018-07-08,9.0,9.13,9.0,9.0,400.0
2018-07-11,9.0,9.0,9.0,9.0,1000.0
2018-07-12,9.19,9.0,9.0,9.0,1825.0
2018-07-16,9.18,9.19,9.01,9.19,500.0
2018-07-18,9.55,9.37,9.18,9.18,3000.0
2018-07-19,9.55,9.55,9.18,9.55,1500.0
2018-07-22,9.55,9.55,9.36,9.55,1700.0
2018-07-25,9.4,9.55,9.36,9.55,10500.0
2018-07-26,9.21,9.4,9.4,9.4,1300.0
2018-07-29,9.2,9.4,9.21,9.21,2500.0
2018-07-30,9.07,9.2,9.05,9.2,5200.0
2018-07-31,8.89,9.08,9.05,9.07,1100.0
2018-08-01,9.07,8.93,8.89,8.89,15000.0
2018-08-02,9.01,9.07,9.07,9.07,2000.0
2018-08-05,9.0,9.07,9.01,9.01,5500.0
2018-08-07,8.9,9.0,9.0,9.0,100.0
2018-08-08,8.72,8.9,8.9,8.9,100.0
2018-08-09,8.89,8.72,8.72,8.72,200.0
2018-08-13,8.89,8.89,8.89,8.89,5000.0
2018-08-14,8.9,8.89,8.89,8.89,1000.0
2018-08-16,8.58,8.9,8.9,8.9,1000.0
2018-08-20,8.6,8.75,8.58,8.58,700.0
2018-08-23,8.6,8.6,8.6,8.6,1000.0
2018-08-28,8.57,8.6,8.6,8.6,2500.0
2018-08-29,8.74,8.57,8.57,8.57,100.0
2018-08-30,9.27,8.74,8.74,8.74,1000.0
2018-09-03,9.31,9.27,8.91,9.27,5700.0
2018-09-04,9.3,9.31,9.31,9.31,400.0
2018-09-05,9.55,9.3,9.3,9.3,1000.0
2018-09-06,9.55,9.55,9.49,9.55,10000.0
2018-09-09,9.5,9.55,9.5,9.55,4500.0
2018-09-10,9.5,9.5,9.4,9.5,3625.0
2018-09-12,9.7,9.5,9.5,9.5,1000.0
2018-09-13,9.7,9.7,9.69,9.7,10100.0
2018-09-16,9.7,9.7,9.6,9.7,3600.0
2018-09-17,9.7,9.7,9.7,9.7,5000.0
2018-09-18,9.7,9.7,9.7,9.7,2200.0
2018-09-20,10.0,9.7,9.7,9.7,300.0
