Date,Open,High,Low,Close,Volume
2010-04-26,155.0,176.0,158.0,158.0,463.0
2010-05-11,158.0,155.0,155.0,155.0,34.0
2010-05-12,155.0,158.0,158.0,158.0,80.0
2010-05-18,158.0,155.0,155.0,155.0,34.0
2010-05-26,161.0,158.0,158.0,158.0,10.0
2010-06-03,164.0,161.0,161.0,161.0,34.0
2010-06-15,161.0,164.0,164.0,164.0,72.0
2010-07-05,164.0,162.0,161.0,161.0,76.0
2010-08-08,167.0,164.0,164.0,164.0,23.0
2010-08-15,164.0,167.0,167.0,167.0,497.0
2010-08-29,161.0,164.0,164.0,164.0,10.0
2010-09-02,158.0,161.0,161.0,161.0,104.0
2011-01-09,160.0,158.0,158.0,158.0,102.0
2011-02-08,163.0,160.0,160.0,160.0,21.0
2011-02-10,163.0,163.0,160.0,163.0,123.0
2011-02-16,163.0,163.0,163.0,163.0,34.0
2011-02-17,160.0,163.0,163.0,163.0,34.0
2011-03-10,157.0,160.0,160.0,160.0,34.0
2011-04-10,154.0,157.0,157.0,157.0,68.0
2011-04-11,157.0,154.0,154.0,154.0,21.0
2011-04-18,154.0,157.0,157.0,157.0,102.0
2011-05-12,147.0,154.0,154.0,154.0,34.0
2011-07-28,141.0,147.0,147.0,147.0,10.0
2011-08-11,137.0,145.0,141.0,141.0,50.0
2011-08-15,135.0,139.0,137.0,137.0,30.0
2011-08-16,133.0,135.0,135.0,135.0,34.0
2011-08-17,131.0,133.0,133.0,133.0,10.0
2011-08-24,131.0,131.0,131.0,131.0,146.0
2011-09-08,129.0,131.0,131.0,131.0,10.0
2011-09-15,127.0,129.0,129.0,129.0,34.0
2011-09-18,127.0,127.0,127.0,127.0,21.0
2011-09-21,129.0,127.0,127.0,127.0,68.0
2011-10-02,127.0,129.0,127.0,129.0,88.0
2011-10-12,127.0,127.0,127.0,127.0,34.0
2011-11-14,127.0,127.0,127.0,127.0,34.0
2011-11-15,127.0,127.0,127.0,127.0,374.0
2011-12-01,125.0,127.0,125.0,127.0,74.0
2011-12-04,135.0,125.0,125.0,125.0,5000.0
2011-12-05,133.0,135.0,127.0,135.0,5302.0
2012-01-04,131.0,133.0,133.0,133.0,68.0
2012-02-07,129.0,131.0,131.0,131.0,34.0
2012-03-01,127.0,129.0,129.0,129.0,34.0
2012-03-04,129.0,127.0,127.0,127.0,100.0
2012-03-29,137.0,129.0,125.0,129.0,612.0
2012-04-01,139.0,137.0,129.0,137.0,580.0
2012-04-03,140.0,139.0,139.0,139.0,50.0
2012-06-10,138.0,140.0,140.0,140.0,136.0
2012-06-14,138.0,138.0,138.0,138.0,624.0
2012-08-21,137.0,138.0,138.0,138.0,68.0
2012-08-22,139.0,137.0,137.0,137.0,34.0
2012-08-23,138.0,139.0,139.0,139.0,100.0
2012-08-26,138.0,138.0,138.0,138.0,40.0
2012-08-27,144.0,138.0,138.0,138.0,238.0
2012-08-28,144.0,144.0,140.0,144.0,209.0
2012-08-29,144.0,144.0,142.0,144.0,3532.0
2012-08-30,142.0,144.0,142.0,144.0,2740.0
2012-09-02,143.0,142.0,142.0,142.0,68.0
2012-09-03,145.0,143.0,140.0,143.0,847.0
2012-09-04,142.0,145.0,145.0,145.0,34.0
2012-09-09,146.0,143.0,142.0,142.0,68.0
2012-09-10,144.0,146.0,144.0,146.0,50.0
2012-09-11,143.0,144.0,144.0,144.0,68.0
2012-09-12,143.0,145.0,143.0,143.0,268.0
2012-09-13,145.0,145.0,143.0,143.0,16309.0
2012-09-25,145.0,145.0,144.0,145.0,189.0
2012-09-27,147.0,147.0,145.0,145.0,168.0
2012-10-01,149.0,147.0,147.0,147.0,58.0
2012-10-02,149.0,149.0,149.0,149.0,68.0
2012-10-04,147.0,149.0,149.0,149.0,34.0
2012-10-11,149.0,147.0,147.0,147.0,68.0
2012-10-14,163.0,149.0,149.0,149.0,34.0
2012-10-15,163.0,163.0,151.0,163.0,1316.0
2012-10-17,163.0,163.0,163.0,163.0,200.0
2012-11-05,170.0,163.0,160.0,163.0,134.0
2012-11-06,167.0,172.0,166.0,170.0,186.0
2012-11-07,170.0,167.0,167.0,167.0,42.0
2012-11-22,173.0,170.0,170.0,170.0,34.0
2012-11-26,170.0,173.0,173.0,173.0,68.0
2012-11-28,167.0,170.0,170.0,170.0,5000.0
2012-12-06,167.0,167.0,167.0,167.0,5000.0
2012-12-09,164.0,167.0,167.0,167.0,5000.0
2012-12-13,164.0,164.0,164.0,164.0,4000.0
2012-12-19,165.0,164.0,164.0,164.0,2062.0
2013-02-24,163.0,165.0,165.0,165.0,21.0
2013-03-14,151.0,163.0,160.0,163.0,446.0
2013-03-18,144.0,160.0,151.0,151.0,510.0
2013-03-19,146.0,148.0,144.0,144.0,1500.0
2013-05-09,142.0,146.0,146.0,146.0,21.0
2013-05-13,140.0,144.0,142.0,142.0,68.0
2013-05-21,138.0,140.0,140.0,140.0,123.0
2013-05-28,140.0,138.0,138.0,138.0,63.0
2013-05-30,142.0,140.0,140.0,140.0,400.0
2013-06-02,144.0,142.0,142.0,142.0,34.0
2013-06-03,146.0,144.0,144.0,144.0,34.0
2013-06-04,147.0,146.0,144.0,146.0,163.0
2013-06-05,124.0,147.0,145.0,147.0,87.0
2013-07-03,126.0,126.0,124.0,124.0,76.0
2013-07-30,128.0,126.0,126.0,126.0,34.0
2013-08-04,130.0,128.0,128.0,128.0,340.0
2013-08-05,132.0,130.0,130.0,130.0,29.0
2013-08-11,134.0,132.0,132.0,132.0,10.0
2013-08-13,137.0,134.0,134.0,134.0,39.0
2013-08-15,141.0,137.0,136.0,137.0,48.0
2013-08-20,139.0,141.0,139.0,141.0,68.0
2013-08-25,151.0,139.0,139.0,139.0,1334.0
2013-08-27,166.0,151.0,141.0,151.0,693.0
2013-08-29,181.0,166.0,154.0,166.0,140.0
2013-09-01,184.0,181.0,169.0,181.0,90.0
2013-09-02,199.0,184.0,184.0,184.0,10.0
2013-09-03,214.0,199.0,187.0,199.0,240.0
2013-09-04,196.0,218.0,202.0,214.0,2443.0
2013-09-05,193.0,210.0,195.0,196.0,657.0
2013-09-08,190.0,193.0,193.0,193.0,21.0
2013-09-10,192.0,190.0,190.0,190.0,48.0
2013-09-11,198.0,192.0,189.0,192.0,582.0
2013-09-16,200.0,198.0,195.0,198.0,79.0
2013-09-17,194.0,200.0,199.0,200.0,144.0
2013-09-19,191.0,200.0,194.0,194.0,222.0
2013-09-22,188.0,191.0,191.0,191.0,34.0
2013-09-25,185.0,188.0,188.0,188.0,100.0
2013-09-26,182.0,185.0,185.0,185.0,230.0
2013-09-30,182.0,182.0,182.0,182.0,79.0
2013-10-01,177.0,182.0,179.0,182.0,82.0
2013-10-03,174.0,180.0,177.0,177.0,50.0
2013-10-07,171.0,174.0,174.0,174.0,48.0
2013-10-08,174.0,171.0,171.0,171.0,39.0
2013-10-10,171.0,174.0,174.0,174.0,10.0
2013-10-21,177.0,171.0,171.0,171.0,374.0
2013-10-22,175.0,177.0,174.0,177.0,44.0
2013-10-23,178.0,175.0,174.0,175.0,48.0
2013-10-24,175.0,178.0,175.0,178.0,73.0
2013-10-28,175.0,175.0,175.0,175.0,30.0
2013-10-29,176.0,175.0,175.0,175.0,273.0
2013-10-31,193.0,176.0,176.0,176.0,39.0
2013-11-14,199.0,193.0,179.0,193.0,402.0
2013-11-24,206.0,199.0,196.0,199.0,2034.0
2013-11-25,226.0,206.0,202.0,206.0,619.0
2013-11-27,246.0,226.0,210.0,226.0,118.0
2013-11-28,246.0,246.0,230.0,246.0,89.0
2013-12-01,250.0,246.0,242.0,246.0,168.0
2014-05-04,255.0,250.0,250.0,250.0,14.0
2014-05-08,270.0,255.0,255.0,255.0,39.0
2014-05-25,275.0,270.0,270.0,270.0,500.0
2014-06-08,295.0,275.0,275.0,275.0,24.0
2014-06-11,300.0,295.0,280.0,295.0,40.0
2014-06-12,306.0,300.0,300.0,300.0,48.0
2014-06-15,324.0,306.0,306.0,306.0,10.0
2014-06-16,0.0,324.0,312.0,324.0,30.0
2014-06-18,354.0,342.0,342.0,336.0,10.0
2014-06-19,382.0,354.0,348.0,354.0,36.0
2014-06-23,396.0,382.0,361.0,382.0,176.0
2014-06-24,419.0,396.0,389.0,396.0,20.0
2014-06-25,427.0,419.0,403.0,419.0,117.0
2014-06-26,469.0,427.0,427.0,427.0,10.0
2014-07-02,515.0,469.0,435.0,469.0,50.0
2014-07-03,535.0,515.0,478.0,515.0,240.0
2014-07-06,545.0,535.0,525.0,535.0,20.0
2014-07-07,588.0,545.0,545.0,545.0,10.0
2014-07-09,610.0,588.0,555.0,588.0,598.0
2014-07-10,671.0,610.0,599.0,610.0,20.0
2014-07-13,738.0,671.0,622.0,671.0,64.0
2014-07-14,811.0,738.0,684.0,738.0,103.0
2014-07-15,892.0,811.0,752.0,811.0,199.0
2014-07-16,981.0,892.0,827.0,892.0,273.0
2014-07-17,1030.0,981.0,909.0,981.0,4539.0
2014-07-20,994.0,1030.0,980.0,1030.0,1093.0
