Date,Open,High,Low,Close,Volume
2010-04-22,170.0,171.0,171.0,171.0,100.0
2010-05-17,170.0,170.0,170.0,170.0,151.0
2010-05-18,167.0,170.0,170.0,170.0,61.0
2010-06-06,170.0,167.0,167.0,167.0,31.0
2010-06-09,164.0,170.0,170.0,170.0,500.0
2010-06-28,158.0,167.0,164.0,164.0,20.0
2010-07-04,152.0,161.0,158.0,158.0,60.0
2010-07-05,145.0,155.0,152.0,152.0,20.0
2010-07-12,143.0,149.0,145.0,145.0,20020.0
2010-07-13,135.0,143.0,143.0,143.0,27000.0
2010-07-19,131.0,141.0,135.0,135.0,276.0
2010-07-20,129.0,133.0,130.0,131.0,330.0
2010-07-21,127.0,129.0,129.0,129.0,12.0
2010-08-03,127.0,127.0,127.0,127.0,2000.0
2010-08-04,129.0,127.0,127.0,127.0,9522.0
2010-08-08,131.0,129.0,129.0,129.0,80.0
2010-08-11,129.0,131.0,131.0,131.0,23.0
2010-08-19,127.0,129.0,129.0,129.0,100.0
2010-08-30,128.0,127.0,127.0,127.0,178.0
2010-09-12,126.0,128.0,128.0,128.0,100.0
2010-11-21,130.0,126.0,126.0,126.0,11844.0
2010-11-24,132.0,130.0,128.0,130.0,690.0
2010-12-22,134.0,132.0,132.0,132.0,70.0
2010-12-23,136.0,134.0,134.0,134.0,14.0
2010-12-27,136.0,136.0,136.0,136.0,14.0
2010-12-29,138.0,138.0,136.0,136.0,6404.0
2011-01-10,133.0,138.0,138.0,138.0,14.0
2011-02-02,131.0,136.0,133.0,133.0,1060.0
2011-03-16,131.0,131.0,131.0,131.0,14.0
2011-03-22,129.0,131.0,131.0,131.0,173.0
2011-03-24,125.0,129.0,129.0,129.0,28.0
2011-03-31,127.0,127.0,125.0,125.0,53.0
2011-05-02,125.0,127.0,127.0,127.0,600.0
2011-05-09,129.0,125.0,125.0,125.0,64.0
2011-05-18,120.0,129.0,127.0,129.0,28.0
2011-06-14,118.0,127.0,120.0,120.0,2218.0
2011-07-04,116.0,118.0,118.0,118.0,28.0
2011-08-25,116.0,116.0,116.0,116.0,120.0
2011-08-28,114.0,116.0,116.0,116.0,166.0
2011-11-08,112.0,114.0,114.0,114.0,14.0
2012-01-04,110.0,112.0,112.0,112.0,18.0
2012-01-05,108.0,110.0,110.0,110.0,28.0
2012-01-31,106.0,108.0,108.0,108.0,36.0
2012-02-01,106.0,106.0,106.0,106.0,121.0
2012-02-02,98.0,106.0,105.0,106.0,530.0
2012-02-05,98.0,104.0,98.0,98.0,1807.0
2012-02-07,97.0,99.0,98.0,98.0,2263.0
2012-02-12,100.0,97.0,97.0,97.0,231.0
2012-02-21,97.0,100.0,98.0,100.0,104.0
2012-03-01,95.0,98.0,97.0,97.0,47.0
2012-03-12,95.0,96.0,95.0,95.0,80.0
2012-03-13,96.0,95.0,95.0,95.0,80.0
2012-04-05,97.0,96.0,96.0,96.0,100.0
2012-04-10,98.0,97.0,97.0,97.0,100.0
2012-07-04,99.0,98.0,98.0,98.0,20.0
2012-08-14,100.0,99.0,99.0,99.0,58.0
2012-08-19,106.0,100.0,100.0,100.0,820.0
2012-08-21,110.0,106.0,102.0,106.0,102.0
2012-08-27,112.0,110.0,108.0,110.0,22.0
2012-09-02,122.0,112.0,112.0,112.0,82.0
2012-10-01,124.0,122.0,114.0,122.0,500.0
2012-10-02,136.0,124.0,124.0,124.0,34.0
2012-10-03,146.0,136.0,126.0,136.0,3887.0
2012-10-04,151.0,146.0,138.0,146.0,900.0
2012-10-07,150.0,153.0,148.0,151.0,1313.0
2012-10-08,147.0,152.0,150.0,150.0,133.0
2012-10-11,143.0,147.0,147.0,147.0,100.0
2012-10-14,146.0,148.0,143.0,143.0,1331.0
2012-10-15,145.0,146.0,142.0,146.0,715.0
2012-10-17,143.0,145.0,145.0,145.0,32.0
2012-10-18,145.0,143.0,143.0,143.0,34.0
2012-11-01,144.0,145.0,145.0,145.0,130.0
2012-11-04,147.0,147.0,143.0,144.0,4536.0
2012-11-05,146.0,147.0,146.0,147.0,927.0
2012-11-06,144.0,146.0,145.0,146.0,1100.0
2012-11-20,142.0,144.0,144.0,144.0,100.0
2012-11-25,140.0,142.0,142.0,142.0,100.0
2012-11-26,140.0,140.0,140.0,140.0,100.0
2012-11-29,138.0,140.0,140.0,140.0,58.0
2012-12-09,136.0,138.0,138.0,138.0,533.0
2012-12-10,138.0,136.0,136.0,136.0,500.0
2012-12-17,136.0,138.0,138.0,138.0,110.0
2012-12-19,144.0,136.0,136.0,136.0,285.0
2013-01-21,146.0,144.0,138.0,144.0,185.0
2013-01-22,141.0,146.0,146.0,146.0,51.0
2013-01-28,141.0,145.0,141.0,141.0,925.0
2013-01-30,140.0,143.0,141.0,141.0,150.0
2013-01-31,146.0,140.0,140.0,140.0,3448.0
2013-02-10,148.0,146.0,142.0,146.0,1200.0
2013-02-12,147.0,148.0,148.0,148.0,180.0
2013-02-13,148.0,147.0,146.0,147.0,2834.0
2013-02-14,146.0,148.0,147.0,148.0,1840.0
2013-02-20,131.0,148.0,146.0,146.0,1420.0
2013-05-07,132.0,131.0,131.0,131.0,37358.0
2013-06-06,134.0,132.0,132.0,132.0,465.0
2013-06-09,134.0,134.0,134.0,134.0,51.0
2013-06-10,132.0,136.0,134.0,134.0,240.0
2013-06-20,132.0,132.0,132.0,132.0,751.0
2013-06-26,133.0,132.0,132.0,132.0,115.0
2013-07-02,134.0,133.0,133.0,133.0,10189.0
2013-07-03,134.0,134.0,134.0,134.0,373.0
2013-07-09,134.0,134.0,134.0,134.0,500.0
2013-07-15,134.0,136.0,134.0,134.0,4127.0
2013-07-16,136.0,134.0,134.0,134.0,1750.0
2013-07-17,138.0,136.0,133.0,136.0,1194.0
2013-07-18,142.0,138.0,138.0,138.0,1000.0
2013-07-29,144.0,142.0,140.0,142.0,233.0
2013-07-31,144.0,144.0,144.0,144.0,85.0
2013-08-01,158.0,146.0,144.0,144.0,1400.0
2013-08-05,172.0,158.0,146.0,158.0,4450.0
2013-08-06,164.0,173.0,160.0,172.0,3163.0
2013-08-07,155.0,170.0,161.0,164.0,1269.0
2013-08-11,149.0,161.0,155.0,155.0,86.0
2013-08-12,153.0,152.0,149.0,149.0,108.0
2013-08-13,162.0,153.0,148.0,153.0,322.0
2013-08-14,178.0,162.0,156.0,162.0,143.0
2013-08-20,195.0,178.0,165.0,178.0,11087.0
2013-08-25,214.0,195.0,181.0,195.0,745.0
2013-08-26,235.0,214.0,198.0,214.0,6254.0
2013-08-27,258.0,235.0,218.0,235.0,8124.0
2013-08-29,283.0,258.0,239.0,258.0,9666.0
2013-09-01,275.0,283.0,263.0,283.0,22854.0
2013-09-02,265.0,291.0,275.0,275.0,10085.0
2013-09-03,250.0,270.0,265.0,265.0,549.0
2013-09-04,241.0,260.0,250.0,250.0,662.0
2013-09-05,248.0,245.0,241.0,241.0,321.0
2013-09-08,247.0,253.0,245.0,248.0,167.0
2013-09-09,251.0,252.0,247.0,247.0,319.0
2013-09-10,248.0,251.0,251.0,251.0,290.0
2013-09-11,251.0,251.0,248.0,248.0,730.0
2013-09-15,252.0,252.0,244.0,251.0,2651.0
2013-09-16,251.0,256.0,251.0,252.0,129.0
2013-09-17,250.0,251.0,248.0,251.0,530.0
2013-09-19,250.0,254.0,246.0,250.0,3574.0
2013-09-22,247.0,255.0,250.0,250.0,1890.0
2013-09-24,249.0,249.0,247.0,247.0,1425.0
2013-09-25,250.0,249.0,243.0,249.0,265.0
2013-09-26,247.0,253.0,250.0,250.0,1292.0
2013-09-29,248.0,249.0,247.0,247.0,1066.0
2013-09-30,247.0,248.0,248.0,248.0,1134.0
2013-10-02,250.0,247.0,247.0,247.0,2000.0
