Date,Open,High,Low,Close,Volume
2010-04-19,441.0,490.0,490.0,490.0,30.0
2010-04-20,433.0,481.0,441.0,441.0,340.0
2010-04-21,390.0,433.0,433.0,433.0,40.0
2010-04-22,376.0,425.0,390.0,390.0,450.0
2010-04-25,362.0,383.0,376.0,376.0,100.0
2010-04-26,348.0,370.0,362.0,362.0,780.0
2010-04-28,342.0,355.0,348.0,348.0,140.0
2010-04-29,332.0,348.0,342.0,342.0,60.0
2010-05-09,330.0,337.0,332.0,332.0,180.0
2010-05-11,324.0,330.0,330.0,330.0,20.0
2010-05-16,324.0,325.0,324.0,324.0,180.0
2010-05-24,330.0,324.0,324.0,324.0,500.0
2010-05-30,336.0,330.0,330.0,330.0,760.0
2010-06-03,336.0,336.0,336.0,336.0,200.0
2010-06-20,335.0,336.0,336.0,336.0,340.0
2010-06-21,335.0,335.0,335.0,335.0,1300.0
2010-06-22,335.0,335.0,335.0,335.0,300.0
2010-06-23,336.0,335.0,335.0,335.0,680.0
2010-06-28,339.0,336.0,336.0,336.0,30.0
2010-06-29,336.0,339.0,335.0,339.0,2590.0
2010-06-30,156.0,342.0,336.0,336.0,380.0
2010-07-19,153.0,156.0,156.0,156.0,80.0
2010-08-16,150.0,153.0,153.0,153.0,190.0
2010-11-25,153.0,150.0,150.0,150.0,60.0
2010-12-07,150.0,153.0,153.0,153.0,20.0
2011-01-04,153.0,150.0,150.0,150.0,120.0
2011-01-05,153.0,153.0,153.0,153.0,120.0
2011-01-17,150.0,153.0,153.0,153.0,60.0
2011-01-20,148.0,156.0,150.0,150.0,1660.0
2011-01-24,148.0,148.0,148.0,148.0,890.0
2011-02-02,146.0,148.0,148.0,148.0,630.0
2011-02-06,144.0,146.0,146.0,146.0,480.0
2011-02-13,140.0,144.0,144.0,144.0,1110.0
2011-02-14,142.0,142.0,140.0,140.0,970.0
2011-02-15,146.0,142.0,142.0,142.0,1320.0
2011-02-20,146.0,146.0,144.0,146.0,120.0
