Date,Open,High,Low,Close,Volume
2015-01-05,140.0,0.0,0.0,100.0,126262.0
2015-01-08,105.0,140.0,140.0,140.0,285854.0
2015-01-11,138.0,0.0,0.0,105.0,153819.0
2015-01-12,132.0,138.0,138.0,138.0,73958.0
2015-01-19,122.0,136.0,132.0,132.0,6000.0
2015-01-20,112.0,126.0,122.0,122.0,23193.0
2015-01-22,103.0,116.0,112.0,112.0,9000.0
2015-01-25,100.0,107.0,103.0,103.0,21000.0
2015-01-26,100.0,101.0,100.0,100.0,35686.0
2015-01-27,115.0,100.0,100.0,100.0,2228456.0
2015-02-22,110.0,0.0,0.0,115.0,43790.0
2015-02-26,118.0,110.0,102.0,110.0,126774.0
2015-03-01,122.0,118.0,112.0,118.0,22036.0
2015-03-02,132.0,122.0,120.0,122.0,25000.0
2015-03-04,136.0,132.0,124.0,132.0,70386.0
2015-03-09,140.0,136.0,134.0,136.0,13000.0
2015-04-01,120.0,140.0,138.0,140.0,100000.0
2015-04-09,146.0,0.0,0.0,120.0,38925.0
2015-04-13,146.0,146.0,142.0,146.0,427203.0
2015-05-24,148.0,146.0,146.0,146.0,425741.0
2015-05-25,148.0,148.0,148.0,148.0,17317.0
2015-06-08,150.0,148.0,148.0,148.0,72935.0
2015-06-23,150.0,150.0,150.0,150.0,49041.0
2015-06-28,150.0,150.0,150.0,150.0,42234.0
2015-06-30,150.0,150.0,150.0,150.0,114819.0
2015-07-08,150.0,150.0,150.0,150.0,3076.0
2015-07-14,150.0,150.0,150.0,150.0,486562.0
2015-07-15,150.0,150.0,150.0,150.0,327112.0
2015-07-22,147.0,150.0,150.0,150.0,19462.0
2015-07-23,149.0,147.0,147.0,147.0,7998.0
2015-07-29,150.0,149.0,149.0,149.0,446664.0
2015-08-03,151.0,150.0,150.0,150.0,65199.0
2015-08-06,154.0,151.0,151.0,151.0,12164.0
2015-08-12,157.0,154.0,154.0,154.0,72500.0
2015-09-24,0.0,157.0,157.0,157.0,31994.0
2016-10-04,201.0,205.0,205.0,205.0,116262.0
2017-01-16,201.0,201.0,201.0,201.0,1016306.0
2017-01-18,201.0,201.0,201.0,201.0,25000.0
2017-01-22,201.0,201.0,201.0,201.0,300000.0
2017-01-23,197.0,201.0,201.0,201.0,518825.0
2017-01-24,191.0,201.0,197.0,197.0,79450.0
2017-01-25,185.0,194.0,191.0,191.0,895903.0
2017-01-26,188.0,188.0,185.0,185.0,61678.0
2017-02-12,188.0,188.0,188.0,188.0,98581.0
2017-02-16,191.0,188.0,188.0,188.0,17406.0
2017-02-23,191.0,191.0,191.0,191.0,116419.0
2017-03-07,191.0,191.0,191.0,191.0,22283.0
2017-03-29,191.0,191.0,191.0,191.0,21800.0
2017-03-30,190.0,191.0,191.0,191.0,24328.0
2017-04-04,190.0,190.0,190.0,190.0,7527.0
2017-04-20,190.0,190.0,190.0,190.0,39000.0
2017-04-24,190.0,190.0,190.0,190.0,4619.0
