Date,Open,High,Low,Close,Volume
2021-06-02,998.0,1000.0,1000.0,995.0,380.0
2021-06-03,1000.0,1000.0,998.0,998.0,205.0
2021-06-06,1000.0,1000.0,990.0,1000.0,175.0
2021-06-07,1001.0,1005.0,990.0,1000.0,425.0
2021-06-08,996.0,1001.0,995.0,1001.0,470.0
2021-06-09,995.0,1001.0,995.0,996.0,450.0
2021-06-10,1000.0,1000.0,995.0,995.0,255.0
2021-06-13,1008.0,1005.0,990.0,1000.0,590.0
2021-06-14,999.0,1008.0,996.0,1008.0,260.0
2021-06-15,1001.0,1005.0,995.0,999.0,925.0
2021-06-16,1000.0,1001.0,996.0,1001.0,120.0
2021-06-17,1000.0,1001.0,1000.0,1000.0,300.0
2021-06-20,1001.0,1000.0,997.0,1000.0,290.0
2021-06-21,1002.0,1003.0,1001.0,1001.0,75.0
2021-06-22,1002.0,1005.0,1000.0,1002.0,140.0
2021-06-23,1010.0,1002.0,1000.0,1002.0,75.0
2021-06-24,1005.0,1010.0,1000.0,1010.0,355.0
2021-06-27,1005.0,1005.0,1002.0,1005.0,210.0
2021-06-28,1007.0,1005.0,1005.0,1005.0,220.0
2021-06-29,1004.0,1007.0,1003.0,1007.0,100.0
2021-07-01,1005.0,1005.0,1004.0,1004.0,45.0
2021-07-04,1002.0,1005.0,1001.0,1005.0,230.0
2021-07-05,1004.0,1004.0,1002.0,1002.0,275.0
2021-07-06,1005.0,1005.0,1004.0,1004.0,80.0
2021-07-07,1008.0,1005.0,1003.0,1005.0,65.0
2021-07-11,1006.0,1008.0,1005.0,1008.0,325.0
2021-07-12,1009.0,1007.0,1006.0,1006.0,147.0
2021-07-13,1004.0,1009.0,1004.0,1009.0,50.0
2021-07-15,995.0,1004.0,1004.0,1004.0,25.0
2021-07-18,995.0,995.0,984.3,995.0,95.0
2021-07-19,995.0,995.0,995.0,995.0,450.0
2021-07-20,996.0,1000.0,995.0,995.0,75.0
2021-07-22,995.0,996.0,994.0,996.0,130.0
2021-07-25,985.0,995.0,995.0,995.0,450.0
2021-07-26,985.0,985.0,985.0,985.0,270.0
2021-07-27,990.0,985.0,981.0,985.0,180.0
2021-07-28,995.0,995.0,984.0,990.0,235.0
2021-07-29,990.0,995.0,985.1,995.0,75.0
2021-08-01,985.0,990.0,990.0,990.0,25.0
2021-08-02,990.0,985.0,985.0,985.0,355.0
2021-08-03,985.0,990.0,990.0,990.0,40.0
2021-08-04,986.0,985.6,983.0,985.0,320.0
2021-08-05,986.2,986.0,986.0,986.0,10.0
2021-08-08,986.2,986.2,985.0,986.2,55.0
2021-08-09,986.1,987.0,986.2,986.2,95.0
2021-08-10,988.5,988.0,986.0,986.1,75.0
2021-08-11,988.0,988.5,986.1,988.5,150.0
2021-08-12,985.1,988.0,988.0,988.0,45.0
2021-08-15,983.2,988.0,985.1,985.1,330.0
2021-08-16,983.4,985.0,981.0,983.2,105.0
2021-08-17,985.0,983.4,983.2,983.4,155.0
2021-08-18,983.0,985.0,980.0,985.0,235.0
2021-08-19,983.0,983.0,981.0,983.0,185.0
2021-08-24,980.0,983.0,983.0,983.0,25.0
2021-08-25,980.0,980.0,980.0,980.0,50.0
2021-08-26,983.0,980.0,980.0,980.0,50.0
2021-08-29,990.0,983.0,980.0,983.0,255.0
2021-08-31,983.0,990.0,980.0,990.0,170.0
2021-09-01,970.0,983.0,983.0,983.0,30.0
2021-09-05,977.0,970.0,970.0,970.0,30.0
2021-09-06,981.0,980.0,975.2,977.0,105.0
2021-09-08,989.0,981.0,981.0,981.0,25.0
2021-09-09,985.0,989.0,970.0,989.0,55.0
2021-09-12,973.0,985.0,985.0,985.0,25.0
2021-09-13,983.9,985.0,973.0,973.0,70.0
2021-09-14,971.0,983.9,983.9,983.9,300.0
2021-09-15,975.0,971.0,971.0,971.0,25.0
2021-09-16,965.0,980.0,975.0,975.0,55.0
2021-09-21,967.0,965.0,965.0,965.0,25.0
2021-09-22,970.0,967.0,967.0,967.0,30.0
2021-09-26,970.0,970.0,970.0,970.0,50.0
2021-09-28,979.0,970.0,970.0,970.0,25.0
2021-09-29,960.0,979.0,960.0,979.0,60.0
2021-10-03,958.2,960.1,960.0,960.0,145.0
2021-10-04,954.0,958.2,958.2,958.2,15.0
2021-10-21,953.0,954.0,954.0,954.0,25.0
2021-10-24,947.0,953.0,948.0,953.0,50.0
2021-10-25,949.0,947.0,947.0,947.0,25.0
2021-10-26,949.1,949.0,949.0,949.0,50.0
2021-10-31,949.1,949.1,949.1,949.1,30.0
2021-11-01,948.0,949.1,949.1,949.1,100.0
2021-11-08,950.0,948.0,948.0,948.0,10.0
2021-11-14,960.0,950.1,948.0,950.0,225.0
2021-11-15,950.0,966.9,960.0,960.0,65.0
2021-11-18,948.0,950.0,950.0,950.0,50.0
2021-11-23,963.0,948.0,948.0,948.0,30.0
2021-11-24,950.0,963.0,963.0,963.0,20.0
2021-11-25,945.1,950.0,950.0,950.0,30.0
2021-11-29,945.0,945.1,945.1,945.1,25.0
2021-12-02,942.1,945.0,945.0,945.0,55.0
2021-12-05,950.0,945.0,942.1,942.1,50.0
2021-12-12,950.0,950.0,950.0,950.0,25.0
2021-12-13,950.0,950.0,950.0,950.0,45.0
2021-12-20,950.0,950.0,950.0,950.0,25.0
2021-12-23,969.0,950.0,950.0,950.0,200.0
2021-12-26,950.0,969.0,969.0,969.0,50.0
2021-12-29,950.0,969.0,950.0,950.0,50.0
