Date,Open,High,Low,Close,Volume
2018-01-16,10.15,10.0,10.0,10.0,6300.0
2018-01-17,10.14,10.15,10.0,10.15,13200.0
2018-01-21,10.1,10.15,10.1,10.14,32150.0
2018-01-23,10.0,10.2,10.1,10.1,23500.0
2018-01-24,10.0,10.1,10.0,10.0,13500.0
2018-01-25,10.0,10.0,10.0,10.0,3000.0
2018-01-28,10.05,10.0,10.0,10.0,3000.0
2018-01-29,10.09,10.2,10.05,10.05,2100.0
2018-01-31,9.96,10.09,9.97,10.09,51000.0
2018-02-01,9.9,10.09,9.96,9.96,8300.0
2018-02-04,9.81,9.9,9.9,9.9,4500.0
2018-02-05,9.9,10.0,9.78,9.81,19500.0
2018-02-06,9.8,9.9,9.71,9.9,19900.0
2018-02-07,9.7,9.88,9.73,9.8,1700.0
2018-02-08,9.66,9.7,9.69,9.7,7100.0
2018-02-11,9.75,9.7,9.66,9.66,15200.0
2018-02-12,9.8,9.8,9.61,9.75,8700.0
2018-02-15,9.6,9.8,9.8,9.8,2000.0
2018-02-18,9.6,9.6,9.6,9.6,11500.0
2018-02-20,9.6,9.79,9.6,9.6,4800.0
2018-02-21,9.6,9.6,9.6,9.6,12500.0
2018-02-22,9.46,9.6,9.56,9.6,21100.0
2018-02-25,9.48,9.46,9.46,9.46,1000.0
2018-02-26,9.47,9.48,9.45,9.48,3500.0
2018-02-28,9.26,9.67,9.45,9.47,22400.0
2018-03-04,9.2,9.45,9.26,9.26,5000.0
2018-03-05,9.35,9.3,9.16,9.2,23100.0
2018-03-06,9.4,9.35,9.16,9.35,12100.0
2018-03-07,9.68,9.41,9.2,9.4,55800.0
2018-03-11,9.75,9.68,9.27,9.68,5500.0
2018-03-13,9.7,9.75,9.75,9.75,10000.0
2018-03-14,9.75,9.7,9.5,9.7,44500.0
2018-03-15,9.6,9.75,9.65,9.75,16700.0
2018-03-18,9.7,9.8,9.6,9.6,15000.0
2018-03-19,9.85,9.7,9.69,9.7,22500.0
2018-03-20,9.57,9.85,9.85,9.85,4300.0
2018-03-22,9.23,9.75,9.57,9.57,3500.0
2018-03-26,9.2,9.5,9.22,9.23,15400.0
2018-03-27,9.59,9.2,9.1,9.2,9000.0
2018-03-28,9.65,9.59,9.38,9.59,18500.0
2018-03-29,9.5,9.79,9.36,9.65,10000.0
2018-04-01,9.31,9.7,9.5,9.5,49350.0
2018-04-02,9.23,9.5,9.3,9.31,105500.0
2018-04-03,10.0,9.4,9.15,9.23,8850.0
2018-04-05,10.0,10.0,9.41,10.0,20700.0
2018-04-08,9.88,10.0,9.8,10.0,25800.0
2018-04-09,9.75,9.99,9.85,9.88,29500.0
2018-04-10,9.94,9.8,9.7,9.75,25200.0
2018-04-11,9.85,9.94,9.85,9.94,27650.0
2018-04-12,9.65,9.85,9.8,9.85,8000.0
2018-04-15,9.85,9.65,9.65,9.65,1000.0
2018-04-16,10.0,9.85,9.75,9.85,3100.0
2018-04-17,10.01,10.0,9.8,10.0,2000.0
2018-04-18,9.9,10.01,10.01,10.01,5000.0
2018-04-19,9.95,10.0,9.75,9.9,19780.0
2018-04-22,9.9,9.99,9.9,9.95,48800.0
2018-04-23,9.86,9.9,9.75,9.9,59000.0
2018-04-24,9.7,10.0,9.8,9.86,9300.0
2018-04-25,9.6,9.85,9.66,9.7,6700.0
2018-04-26,9.35,9.6,9.55,9.6,3500.0
2018-04-29,9.45,9.5,9.35,9.35,11500.0
2018-05-02,9.32,9.45,9.3,9.45,14700.0
2018-05-03,9.53,9.32,9.32,9.32,2000.0
2018-05-06,9.6,9.53,9.27,9.53,4100.0
2018-05-07,9.69,9.72,9.6,9.6,6800.0
2018-05-08,9.6,9.69,9.5,9.69,600.0
2018-05-09,9.6,9.6,9.5,9.6,11800.0
2018-05-10,9.55,9.6,9.41,9.6,2100.0
2018-05-14,9.6,9.55,9.36,9.55,3290.0
2018-05-16,9.6,9.6,9.45,9.6,3400.0
2018-05-17,9.6,9.6,9.6,9.6,2500.0
2018-05-20,9.5,9.64,9.45,9.6,4800.0
2018-05-21,9.65,9.64,9.45,9.5,7700.0
2018-05-22,9.75,9.65,9.6,9.65,8800.0
2018-05-24,9.56,9.75,9.75,9.75,2000.0
2018-05-28,9.5,9.56,9.56,9.56,8000.0
2018-05-29,9.38,9.55,9.37,9.5,8100.0
2018-05-31,9.5,9.5,9.38,9.38,2000.0
2018-06-04,9.36,9.5,9.5,9.5,19000.0
2018-06-06,9.32,9.36,9.36,9.36,500.0
2018-06-07,9.13,9.36,9.32,9.32,10700.0
2018-06-10,9.2,9.3,9.13,9.13,5500.0
2018-06-11,9.1,9.2,9.0,9.2,9750.0
2018-06-12,9.03,9.28,9.1,9.1,2700.0
2018-06-14,8.9,9.1,9.03,9.03,3000.0
2018-06-17,8.8,8.9,8.9,8.9,400.0
2018-06-19,8.98,8.8,8.8,8.8,2500.0
2018-06-24,9.05,8.98,8.8,8.98,1500.0
2018-06-25,9.2,9.05,9.0,9.05,1200.0
2018-06-27,9.2,9.2,9.05,9.2,3620.0
2018-06-28,8.92,9.2,9.2,9.2,1100.0
2018-07-01,9.02,9.1,8.92,8.92,3200.0
2018-07-03,9.1,9.02,9.0,9.02,3000.0
2018-07-04,9.2,9.1,9.02,9.1,3000.0
2018-07-05,8.91,9.2,9.1,9.2,6000.0
2018-07-08,8.91,9.1,8.9,8.91,15100.0
2018-07-09,8.91,9.0,8.91,8.91,1500.0
2018-07-11,8.82,8.91,8.91,8.91,200.0
2018-07-12,9.2,8.92,8.82,8.82,2000.0
2018-07-15,9.56,9.38,8.83,9.2,22750.0
2018-07-16,9.56,9.56,9.2,9.56,700.0
2018-07-17,9.56,9.56,9.56,9.56,9500.0
2018-07-18,9.75,9.56,9.56,9.56,1500.0
2018-07-19,9.4,9.75,9.75,9.75,1500.0
2018-07-22,9.0,9.75,9.4,9.4,9500.0
2018-07-23,9.48,9.21,9.0,9.0,31000.0
2018-07-24,9.29,9.48,9.11,9.48,155000.0
2018-07-25,9.0,9.3,9.29,9.29,1500.0
2018-07-26,9.0,9.3,9.0,9.0,100800.0
2018-07-29,9.18,9.15,8.9,9.0,4600.0
2018-07-30,9.2,9.18,8.66,9.18,52500.0
2018-07-31,9.1,9.2,9.14,9.2,18000.0
2018-08-01,9.1,9.15,9.1,9.1,12000.0
2018-08-02,9.01,9.1,9.1,9.1,1000.0
2018-08-05,9.1,9.14,9.01,9.01,23000.0
2018-08-06,9.0,9.1,9.03,9.1,11000.0
2018-08-07,9.0,9.1,9.0,9.0,3500.0
2018-08-09,9.18,9.15,9.0,9.0,6100.0
2018-08-12,9.36,9.18,9.06,9.18,24100.0
2018-08-13,9.35,9.36,9.11,9.36,2550.0
2018-08-14,9.36,9.35,9.2,9.35,22500.0
2018-08-15,9.45,9.36,9.36,9.36,1500.0
2018-08-16,9.35,9.45,9.45,9.45,3000.0
2018-08-20,9.11,9.49,9.35,9.35,900.0
2018-08-21,8.9,9.16,9.0,9.11,2700.0
2018-08-26,8.87,9.0,8.9,8.9,1100.0
2018-08-29,8.95,8.87,8.86,8.87,2000.0
2018-08-30,8.95,9.05,8.95,8.95,1100.0
2018-09-02,9.02,8.95,8.95,8.95,1000.0
2018-09-03,9.36,9.2,9.02,9.02,8700.0
2018-09-06,9.17,9.38,9.2,9.36,12000.0
2018-09-09,9.17,9.17,9.17,9.17,2000.0
2018-09-10,9.35,9.17,9.17,9.17,6500.0
2018-09-11,9.4,9.35,9.35,9.35,1500.0
2018-09-12,9.5,9.5,9.4,9.4,8240.0
2018-09-16,9.5,9.88,9.21,9.5,16090.0
2018-09-17,9.69,9.5,9.5,9.5,6000.0
2018-09-20,9.6,9.69,9.69,9.69,5000.0
2018-09-23,9.79,9.6,9.6,9.6,2000.0
2018-09-25,9.99,9.79,9.65,9.79,8050.0
2018-09-26,9.94,9.99,9.97,9.99,21000.0
2018-09-27,9.62,9.94,9.94,9.94,2000.0
2018-09-30,9.6,9.8,9.62,9.62,7600.0
2018-10-01,9.79,9.65,9.6,9.6,33000.0
2018-10-02,9.9,9.79,9.79,9.79,2000.0
2018-10-03,9.85,9.9,9.9,9.9,500.0
2018-10-04,9.7,9.85,9.85,9.85,2800.0
2018-10-07,9.53,9.7,9.7,9.7,4300.0
2018-10-08,9.53,9.53,9.53,9.53,3000.0
2018-10-09,9.53,9.71,9.53,9.53,19500.0
2018-10-11,9.55,9.72,9.53,9.53,3600.0
2018-10-14,9.54,9.55,9.55,9.55,1000.0
2018-10-15,9.55,9.54,9.54,9.54,500.0
2018-10-23,9.5,9.7,9.53,9.55,6100.0
2018-10-24,9.42,9.6,9.5,9.5,5500.0
2018-10-25,9.3,9.5,9.42,9.42,3700.0
2018-10-28,9.23,9.3,9.29,9.3,900.0
2018-10-29,9.25,9.23,9.15,9.23,1900.0
2018-10-30,9.22,9.25,9.23,9.25,1500.0
2018-10-31,9.25,9.22,9.13,9.22,600.0
2018-11-01,9.25,9.25,9.25,9.25,500.0
2018-11-05,9.0,9.25,9.25,9.25,100.0
2018-11-12,9.0,9.1,8.92,9.0,11000.0
2018-11-13,9.0,9.1,9.0,9.0,6500.0
2018-11-14,9.0,9.32,9.0,9.0,8000.0
2018-11-15,9.0,9.01,9.0,9.0,1000.0
2018-11-20,9.0,9.0,8.83,9.0,200.0
2018-11-21,9.0,9.1,9.0,9.0,100.0
2018-11-22,9.1,9.0,9.0,9.0,1100.0
2018-11-25,9.0,9.1,9.0,9.1,3000.0
2018-11-26,9.16,9.1,9.0,9.0,2500.0
2018-11-27,9.19,9.16,9.0,9.16,9000.0
2018-11-28,9.19,9.3,9.16,9.19,5000.0
2018-11-29,9.15,9.25,9.19,9.19,3000.0
2018-12-02,9.1,9.19,9.1,9.15,2100.0
2018-12-04,9.0,9.15,9.1,9.1,500.0
2018-12-09,8.99,9.1,9.0,9.0,2100.0
2018-12-11,8.69,9.0,8.99,8.99,15000.0
2018-12-12,8.8,8.99,8.69,8.69,10000.0
2018-12-13,8.8,8.8,8.69,8.8,2500.0
2018-12-16,9.0,8.8,8.8,8.8,1000.0
2018-12-17,9.0,9.0,8.63,9.0,15200.0
2018-12-18,9.18,9.0,9.0,9.0,1000.0
2018-12-20,9.19,9.18,8.83,9.18,3600.0
2018-12-23,9.1,9.19,9.18,9.19,2000.0
2018-12-25,9.27,9.19,9.1,9.1,200.0
2018-12-26,9.27,9.27,9.1,9.27,2000.0
2018-12-30,9.1,9.27,9.27,9.27,500.0
2018-12-31,9.2,9.27,9.0,9.1,33700.0
2019-01-02,9.15,9.2,9.1,9.2,2000.0
2019-01-03,9.1,9.2,9.15,9.15,3000.0
2019-01-06,8.94,9.15,9.1,9.1,4500.0
2019-01-07,9.1,9.1,8.94,8.94,250.0
2019-01-08,9.14,9.1,8.94,9.1,7100.0
2019-01-09,9.32,9.27,9.02,9.14,24300.0
2019-01-10,9.15,9.5,9.14,9.32,5300.0
2019-01-13,9.56,9.32,9.15,9.15,200.0
2019-01-14,9.3,9.56,9.0,9.56,105600.0
2019-01-15,9.5,9.56,9.3,9.3,29700.0
2019-01-16,9.33,9.5,9.2,9.5,14100.0
2019-01-17,9.33,9.5,9.33,9.33,2000.0
2019-01-20,9.03,9.33,9.15,9.33,3300.0
2019-01-21,8.95,9.33,9.01,9.03,21500.0
2019-01-22,9.18,9.03,8.95,8.95,300.0
2019-01-23,9.07,9.18,8.85,9.18,7300.0
2019-01-24,9.12,9.18,9.03,9.07,11500.0
2019-01-27,9.3,9.12,9.07,9.12,1500.0
2019-01-28,9.18,9.3,9.05,9.3,10100.0
2019-01-29,9.25,9.3,9.17,9.18,2500.0
2019-01-30,9.1,9.25,9.04,9.25,2500.0
2019-01-31,9.04,9.25,9.1,9.1,2900.0
2019-02-03,9.1,9.1,9.04,9.04,17000.0
2019-02-04,9.02,9.16,9.02,9.1,21500.0
2019-02-05,9.2,9.1,9.02,9.02,5950.0
2019-02-06,9.2,9.2,9.02,9.2,2500.0
2019-02-07,9.1,9.2,9.15,9.2,25500.0
2019-02-10,9.2,9.2,9.02,9.1,7750.0
2019-02-11,9.2,9.2,9.1,9.2,13000.0
2019-02-12,9.05,9.2,9.2,9.2,1000.0
