Date,Open,High,Low,Close,Volume
2011-10-31,297.0,315.0,315.0,315.0,10.0
2012-03-25,297.0,309.0,297.0,297.0,150.0
2012-04-01,292.0,297.0,297.0,297.0,90.0
2013-08-18,272.0,292.0,292.0,292.0,60.0
2013-08-19,258.0,287.0,272.0,272.0,60.0
2013-08-20,248.0,267.0,258.0,258.0,40.0
2013-08-25,244.0,253.0,248.0,248.0,7189.0
2013-08-26,245.0,244.0,244.0,244.0,38.0
2013-08-27,239.0,245.0,245.0,245.0,130.0
2013-09-01,216.0,241.0,239.0,239.0,666.0
2013-09-03,195.0,235.0,216.0,216.0,300.0
2013-09-09,195.0,212.0,195.0,195.0,6256.0
2013-09-10,202.0,197.0,190.0,195.0,10301.0
2013-09-11,201.0,202.0,190.0,202.0,5286.0
2013-09-12,200.0,201.0,196.0,201.0,1044.0
2013-09-15,196.0,205.0,196.0,200.0,2367.0
2013-09-16,198.0,204.0,196.0,196.0,1212.0
2013-09-17,193.0,201.0,193.0,198.0,734.0
2013-09-19,198.0,198.0,193.0,193.0,577.0
2013-09-22,196.0,201.0,195.0,198.0,2369.0
2013-09-23,199.0,196.0,191.0,196.0,617.0
2013-09-24,196.0,199.0,194.0,199.0,726.0
2013-09-25,196.0,197.0,194.0,196.0,828.0
2013-09-26,201.0,198.0,196.0,196.0,377.0
2013-09-29,198.0,201.0,196.0,201.0,484.0
2013-09-30,198.0,200.0,193.0,198.0,4997.0
2013-10-01,196.0,198.0,194.0,198.0,534.0
2013-10-02,194.0,200.0,196.0,196.0,42.0
2013-10-03,195.0,194.0,194.0,194.0,56.0
2013-10-06,200.0,195.0,192.0,195.0,135.0
2013-10-07,200.0,202.0,184.0,200.0,1463.0
2013-10-08,198.0,205.0,200.0,200.0,1366.0
2013-10-09,200.0,200.0,193.0,198.0,562.0
2013-10-10,167.0,204.0,198.0,200.0,1439.0
2013-10-29,170.0,167.0,167.0,167.0,28.0
2013-11-11,167.0,170.0,170.0,170.0,58.0
2013-11-14,173.0,167.0,167.0,167.0,56.0
2013-11-24,176.0,173.0,170.0,173.0,1084.0
2013-11-26,188.0,176.0,176.0,176.0,10.0
2013-12-01,188.0,188.0,179.0,188.0,86.0
2013-12-02,197.0,188.0,188.0,188.0,500.0
2013-12-03,200.0,197.0,191.0,197.0,30.0
2013-12-05,204.0,200.0,200.0,200.0,290.0
2013-12-08,208.0,204.0,204.0,204.0,53.0
2013-12-10,208.0,208.0,208.0,208.0,12.0
2013-12-11,208.0,212.0,208.0,208.0,28.0
2013-12-12,216.0,208.0,204.0,208.0,84.0
2013-12-16,220.0,216.0,212.0,216.0,853.0
2013-12-18,224.0,220.0,220.0,220.0,13.0
2013-12-19,246.0,224.0,224.0,224.0,232.0
2013-12-22,250.0,246.0,228.0,246.0,531.0
2013-12-23,260.0,250.0,250.0,250.0,181.0
2013-12-24,275.0,260.0,250.0,260.0,695.0
2013-12-26,285.0,275.0,265.0,275.0,221.0
2013-12-29,296.0,285.0,275.0,285.0,487.0
2013-12-31,292.0,296.0,290.0,296.0,405.0
2014-01-01,277.0,292.0,292.0,292.0,131.0
2014-01-02,277.0,287.0,272.0,277.0,983.0
2014-01-05,280.0,282.0,277.0,277.0,1186.0
2014-01-06,304.0,288.0,280.0,280.0,487.0
2014-01-07,316.0,304.0,288.0,304.0,2291.0
2014-01-08,331.0,316.0,310.0,316.0,400.0
2014-01-09,354.0,334.0,316.0,331.0,1045.0
2014-01-12,367.0,354.0,325.0,354.0,6751.0
2014-01-13,368.0,367.0,347.0,367.0,1193.0
2014-01-14,371.0,368.0,340.0,368.0,1236.0
2014-01-16,371.0,375.0,370.0,371.0,1235.0
2014-01-19,380.0,378.0,371.0,371.0,605.0
2014-01-20,397.0,387.0,373.0,380.0,3983.0
2014-01-21,388.0,397.0,378.0,397.0,1937.0
2014-01-22,382.0,397.0,388.0,388.0,889.0
2014-01-23,355.0,396.0,382.0,382.0,938.0
2014-01-26,338.0,375.0,355.0,355.0,2169.0
2014-01-27,335.0,350.0,337.0,338.0,1644.0
2014-01-28,336.0,341.0,334.0,335.0,684.0
2014-01-29,330.0,336.0,331.0,336.0,513.0
2014-02-02,363.0,330.0,310.0,330.0,447.0
2014-02-03,399.0,363.0,335.0,363.0,940.0
2014-02-04,394.0,399.0,370.0,399.0,4270.0
2014-02-05,391.0,422.0,393.0,394.0,2658.0
2014-02-06,377.0,394.0,391.0,391.0,168.0
2014-02-09,365.0,390.0,377.0,377.0,278.0
2014-02-10,372.0,370.0,365.0,365.0,130.0
2014-02-11,362.0,372.0,358.0,372.0,412.0
2014-02-12,375.0,365.0,362.0,362.0,238.0
2014-02-13,402.0,382.0,369.0,375.0,472.0
2014-02-16,387.0,402.0,380.0,402.0,1114.0
2014-02-17,395.0,394.0,387.0,387.0,466.0
2014-02-18,410.0,405.0,387.0,395.0,1512.0
2014-02-20,410.0,418.0,395.0,410.0,1506.0
2014-02-23,425.0,418.0,404.0,410.0,1166.0
2014-02-24,439.0,433.0,418.0,425.0,2805.0
2014-02-25,425.0,439.0,412.0,439.0,1124.0
2014-02-26,418.0,433.0,417.0,425.0,726.0
2014-03-03,410.0,418.0,418.0,418.0,205.0
2014-03-04,423.0,410.0,402.0,410.0,501.0
2014-03-05,405.0,423.0,410.0,423.0,282.0
2014-03-06,421.0,415.0,400.0,405.0,1699.0
2014-03-09,418.0,421.0,413.0,421.0,487.0
2014-03-10,400.0,418.0,418.0,418.0,224.0
2014-03-11,400.0,419.0,392.0,400.0,1876.0
2014-03-12,399.0,400.0,392.0,400.0,326.0
2014-03-13,386.0,405.0,392.0,399.0,967.0
2014-03-19,398.0,392.0,386.0,386.0,403.0
2014-03-20,391.0,398.0,381.0,398.0,3108.0
2014-03-23,398.0,395.0,390.0,391.0,161.0
2014-03-24,405.0,398.0,384.0,398.0,1157.0
2014-03-25,400.0,410.0,393.0,405.0,1181.0
2014-03-26,417.0,410.0,400.0,400.0,885.0
2014-03-27,433.0,417.0,405.0,417.0,1980.0
2014-03-31,430.0,433.0,409.0,433.0,2374.0
2014-04-01,432.0,433.0,425.0,430.0,1379.0
2014-04-02,422.0,434.0,425.0,432.0,543.0
2014-04-03,445.0,434.0,422.0,422.0,3259.0
2014-04-06,432.0,445.0,414.0,445.0,13755.0
2014-04-07,438.0,442.0,432.0,432.0,3122.0
2014-04-09,444.0,438.0,423.0,438.0,1037.0
2014-04-10,450.0,448.0,437.0,444.0,1949.0
2014-04-13,450.0,452.0,432.0,450.0,6902.0
2014-04-15,450.0,451.0,447.0,450.0,1313.0
2014-04-16,445.0,454.0,441.0,450.0,418.0
2014-04-17,449.0,445.0,440.0,445.0,1096.0
2014-04-20,450.0,449.0,441.0,449.0,271.0
2014-04-21,460.0,457.0,445.0,450.0,1523.0
2014-04-22,464.0,460.0,442.0,460.0,856.0
2014-04-23,456.0,464.0,449.0,464.0,2500.0
2014-04-27,455.0,456.0,441.0,456.0,1453.0
2014-04-28,472.0,461.0,441.0,455.0,10346.0
2014-04-29,470.0,472.0,460.0,472.0,6102.0
2014-04-30,517.0,470.0,458.0,470.0,1909.0
2014-05-04,535.0,517.0,479.0,517.0,6808.0
2014-05-05,542.0,562.0,527.0,535.0,5488.0
2014-05-06,535.0,559.0,539.0,542.0,4829.0
2014-05-07,536.0,550.0,530.0,535.0,12076.0
2014-05-08,429.0,545.0,530.0,536.0,7414.0
2014-05-20,414.0,429.0,398.0,429.0,1442.0
