Date,Open,High,Low,Close,Volume
2010-05-25,300.0,300.0,300.0,300.0,16.0
2010-06-23,306.0,300.0,300.0,300.0,39.0
2010-07-06,311.0,306.0,306.0,306.0,120.0
2010-07-08,310.0,311.0,301.0,311.0,169.0
2010-07-20,304.0,310.0,310.0,310.0,15.0
2010-07-28,304.0,304.0,304.0,304.0,39.0
2010-08-09,305.0,304.0,304.0,304.0,20.0
2010-08-10,304.0,305.0,305.0,305.0,60.0
2010-08-17,304.0,304.0,304.0,304.0,40.0
2010-09-12,304.0,304.0,304.0,304.0,53.0
2010-09-13,298.0,304.0,304.0,304.0,30.0
2010-09-14,295.0,298.0,298.0,298.0,86.0
2010-09-15,295.0,295.0,295.0,295.0,40.0
2010-09-20,300.0,295.0,295.0,295.0,22.0
2010-09-27,300.0,300.0,300.0,300.0,60.0
2010-09-28,300.0,300.0,300.0,300.0,19.0
2010-10-26,300.0,305.0,300.0,300.0,38.0
2010-10-27,295.0,300.0,300.0,300.0,66.0
2010-10-28,301.0,295.0,295.0,295.0,44.0
2010-11-16,301.0,301.0,300.0,301.0,41.0
2010-11-23,301.0,301.0,301.0,301.0,22.0
2010-11-25,301.0,301.0,301.0,301.0,42.0
2010-11-29,301.0,301.0,301.0,301.0,3099.0
2010-12-01,307.0,301.0,301.0,301.0,341.0
2010-12-28,307.0,307.0,307.0,307.0,44.0
2010-12-29,313.0,307.0,307.0,307.0,64.0
2011-01-02,313.0,313.0,313.0,313.0,100.0
2011-01-04,313.0,313.0,313.0,313.0,2702.0
2011-01-05,313.0,313.0,313.0,313.0,18.0
2011-01-09,307.0,313.0,313.0,313.0,44.0
2011-01-20,313.0,307.0,307.0,307.0,20.0
2011-02-03,313.0,313.0,313.0,313.0,148.0
2011-02-10,319.0,313.0,313.0,313.0,84.0
2011-02-15,325.0,319.0,319.0,319.0,22.0
2011-02-16,331.0,325.0,325.0,325.0,158.0
2011-02-21,337.0,331.0,331.0,331.0,12.0
2011-03-01,298.0,337.0,337.0,337.0,22.0
2011-03-09,300.0,298.0,298.0,298.0,44.0
2011-03-17,301.0,300.0,300.0,300.0,30.0
2011-04-10,307.0,301.0,301.0,301.0,132.0
2011-04-27,307.0,307.0,307.0,307.0,60.0
2011-04-28,301.0,307.0,307.0,307.0,86.0
2011-05-25,300.0,301.0,301.0,301.0,20.0
2011-06-29,290.0,300.0,300.0,300.0,36.0
2011-07-26,290.0,294.0,290.0,290.0,300.0
2011-08-01,295.0,290.0,290.0,290.0,22.0
2011-08-02,300.0,295.0,295.0,295.0,22.0
2011-08-07,300.0,300.0,300.0,300.0,46.0
2011-08-09,301.0,300.0,300.0,300.0,45.0
2011-08-10,302.0,301.0,301.0,301.0,12.0
2011-08-11,308.0,302.0,302.0,302.0,308.0
2011-08-18,338.0,308.0,308.0,308.0,11.0
2011-08-25,346.0,338.0,314.0,338.0,50.0
2011-09-01,374.0,346.0,333.0,346.0,1416.0
2011-09-04,360.0,380.0,352.0,374.0,501.0
2011-09-05,353.0,374.0,360.0,360.0,315.0
2011-09-07,357.0,353.0,353.0,353.0,100.0
2011-09-08,350.0,357.0,350.0,357.0,140.0
2011-09-13,345.0,350.0,343.0,350.0,532.0
2011-09-14,345.0,350.0,345.0,345.0,264.0
2011-09-15,339.0,345.0,339.0,345.0,120.0
2011-09-18,345.0,339.0,339.0,339.0,1186.0
2011-09-19,345.0,345.0,345.0,345.0,22.0
2011-09-20,344.0,351.0,345.0,345.0,101.0
2011-09-21,345.0,345.0,344.0,344.0,137.0
2011-10-17,346.0,350.0,344.0,345.0,135.0
2011-10-19,352.0,346.0,346.0,346.0,75.0
2011-10-31,359.0,352.0,352.0,352.0,18.0
2011-11-02,366.0,359.0,359.0,359.0,107.0
2011-11-03,373.0,366.0,365.0,366.0,54.0
2011-11-06,375.0,373.0,373.0,373.0,15.0
2011-11-13,368.0,375.0,375.0,375.0,60.0
2011-11-15,373.0,374.0,368.0,368.0,298.0
2011-11-17,366.0,373.0,368.0,373.0,74.0
2011-12-04,359.0,366.0,366.0,366.0,37.0
2011-12-18,358.0,359.0,359.0,359.0,300.0
2011-12-21,351.0,358.0,358.0,358.0,30.0
2011-12-29,340.0,351.0,351.0,351.0,152.0
2012-01-02,346.0,344.0,340.0,340.0,59.0
2012-01-03,343.0,346.0,346.0,346.0,63.0
2012-01-05,344.0,343.0,343.0,343.0,22.0
2012-01-08,350.0,344.0,344.0,344.0,18.0
2012-01-11,350.0,350.0,350.0,350.0,15.0
2012-01-18,350.0,350.0,350.0,350.0,107.0
2012-01-26,350.0,350.0,350.0,350.0,39.0
2012-02-05,350.0,350.0,350.0,350.0,107.0
2012-02-06,345.0,350.0,350.0,350.0,125.0
2012-02-09,340.0,350.0,345.0,345.0,209.0
2012-02-12,340.0,340.0,340.0,340.0,126.0
2012-02-16,334.0,340.0,340.0,340.0,240.0
2012-02-21,328.0,340.0,334.0,334.0,220.0
2012-02-26,326.0,328.0,328.0,328.0,66.0
2012-03-13,320.0,330.0,326.0,326.0,214.0
2012-03-14,314.0,320.0,320.0,320.0,60.0
2012-03-20,308.0,314.0,314.0,314.0,810.0
2012-04-04,308.0,308.0,308.0,308.0,939.0
2012-04-05,314.0,308.0,308.0,308.0,899.0
2012-04-15,306.0,314.0,314.0,314.0,792.0
2012-04-19,300.0,308.0,302.0,306.0,888.0
2012-04-26,300.0,300.0,300.0,300.0,200.0
2012-04-29,306.0,300.0,300.0,300.0,11.0
2012-05-30,312.0,306.0,306.0,306.0,172.0
2012-06-03,318.0,312.0,312.0,312.0,10.0
2012-06-04,336.0,318.0,318.0,318.0,64.0
2012-06-05,361.0,336.0,324.0,336.0,30.0
2012-06-06,365.0,361.0,342.0,361.0,400.0
2012-06-07,350.0,365.0,363.0,365.0,206.0
2012-06-10,343.0,362.0,350.0,350.0,1466.0
2012-06-11,340.0,343.0,343.0,343.0,10.0
2012-06-12,334.0,340.0,340.0,340.0,93.0
2012-06-13,331.0,334.0,334.0,334.0,51.0
2012-06-17,325.0,331.0,330.0,331.0,44.0
2012-06-18,337.0,325.0,325.0,325.0,23.0
2012-06-19,343.0,337.0,331.0,337.0,178.0
2012-06-20,337.0,343.0,343.0,343.0,60.0
2012-06-27,335.0,337.0,337.0,337.0,80.0
2012-07-04,335.0,335.0,335.0,335.0,60.0
2012-07-08,347.0,335.0,335.0,335.0,20.0
2012-07-09,353.0,347.0,341.0,347.0,158.0
2012-07-19,355.0,353.0,353.0,353.0,10.0
2012-07-26,390.0,355.0,355.0,355.0,466.0
2012-07-30,397.0,390.0,362.0,390.0,86.0
2012-07-31,420.0,397.0,397.0,397.0,10.0
2012-08-07,419.0,420.0,404.0,420.0,49.0
2012-08-12,460.0,419.0,419.0,419.0,192.0
2012-08-26,505.0,460.0,427.0,460.0,109.0
2012-08-27,555.0,505.0,469.0,505.0,50.0
2012-08-28,610.0,555.0,515.0,555.0,65.0
2012-08-29,622.0,610.0,566.0,610.0,316.0
2012-08-30,605.0,671.0,622.0,622.0,1233.0
2012-09-02,600.0,610.0,595.0,605.0,426.0
2012-09-03,595.0,600.0,593.0,600.0,75.0
2012-09-04,584.0,600.0,588.0,595.0,1114.0
